Summary: {Weight} {token}: {words[0:10]}
0.1091066    4 recommendation : 薦挙, 吹挙, 推挙, 挙
TOKEN[21]: 0.0080193    2 made
	made WORD[21,   1]: 0.0062787 出挙
	made WORD[21,   2]: 0.0017406 挙がる
TOKEN[22]: 0.0079916    4 one
	one WORD[22,   1]: 0.0039217 挙げる
	one WORD[22,   2]: 0.0020025 一挙
	one WORD[22,   3]: 0.0010890 挙手
	one WORD[22,   4]: 0.0009784 挙がる
TOKEN[23]: 0.0079127    2 whole
	whole WORD[23,   1]: 0.0044189 挙党
	whole WORD[23,   2]: 0.0034937 挙国
TOKEN[24]: 0.0079071    3 action
	action WORD[24,   1]: 0.0032186 暴挙
	action WORD[24,   2]: 0.0024419 挙
	action WORD[24,   3]: 0.0022466 一挙
TOKEN[25]: 0.0075995    1 leg
	leg WORD[25,   1]: 0.0075995 挙げ足
TOKEN[26]: 0.0075160    1 interest
	interest WORD[26,   1]: 0.0075160 出挙
TOKEN[27]: 0.0074408    2 lifting
	lifting WORD[27,   1]: 0.0044453 挙げ足
	lifting WORD[27,   2]: 0.0029955 挙上
TOKEN[28]: 0.0074000    2 grand
	grand WORD[28,   1]: 0.0045528 壮挙
	grand WORD[28,   2]: 0.0028472 大挙
TOKEN[29]: 0.0073772    3 group
	group WORD[29,   1]: 0.0027053 旗挙
	group WORD[29,   2]: 0.0027053 旗挙げ
	group WORD[29,   3]: 0.0019665 挙る
TOKEN[30]: 0.0070203    2 nomination
	nomination WORD[30,   1]: 0.0035101 吹挙
	nomination WORD[30,   2]: 0.0035101 推挙
TOKEN[31]: 0.0069533    2 banner
	banner WORD[31,   1]: 0.0034767 旗挙
	banner WORD[31,   2]: 0.0034767 旗挙げ
TOKEN[32]: 0.0068200    2 come
	come WORD[32,   1]: 0.0051123 挙がる
	come WORD[32,   2]: 0.0017077 挙げる
TOKEN[33]: 0.0067966    2 deed
	deed WORD[33,   1]: 0.0041861 義挙
	deed WORD[33,   2]: 0.0026105 快挙
TOKEN[34]: 0.0066931    1 commendable
	commendable WORD[34,   1]: 0.0066931 美挙
TOKEN[35]: 0.0063626    1 go
	go WORD[35,   1]: 0.0063626 挙がる
TOKEN[36]: 0.0063375    3 position
	position WORD[36,   1]: 0.0021588 吹挙
	position WORD[36,   2]: 0.0021588 推挙
	position WORD[36,   3]: 0.0020199 挙
TOKEN[37]: 0.0061405    2 raised
	raised WORD[37,   1]: 0.0038249 挙げ足
	raised WORD[37,   2]: 0.0023156 挙がる
TOKEN[38]: 0.0061120    1 ambitious
	ambitious WORD[38,   1]: 0.0061120 壮挙
TOKEN[39]: 0.0060529    1 attempt
	attempt WORD[39,   1]: 0.0060529 再挙
TOKEN[40]: 0.0060443    1 praiseworthy
	praiseworthy WORD[40,   1]: 0.0060443 美挙
TOKEN[41]: 0.0055196    1 discrimination
	discrimination WORD[41,   1]: 0.0055196 妄挙
TOKEN[42]: 0.0055182    2 give
	give WORD[42,   1]: 0.0036814 挙げる
	give WORD[42,   2]: 0.0018368 挙がる
