Summary: {Weight} {token}: {words[0:10]}
0.0019741    9 plain          : 明瞭, 広原, 砂原, 草原, 平原, 原っぱ, 野原, 原野, 小野
0.0019731    1 jocular        : 戯称
0.0019726    3 insignificant  : 眇, 僅少, 小さい
0.0019629    1 locust         : 祢宜
0.0019357    1 grief          : 憂戚
0.0019175    3 distant        : 遠戚, 懸け離れる, 懸離れる
0.0019138   31 name           : 戯称, 仮称, 県名, 省略, 冠称, 美称, 俗称, 正称, 古称, 称名, ...
0.0019075   11 tiny           : 眇, 小米, 小鳴き, 小っぽけ, 小さな, 小っちゃな, 小さい, 小ちゃい, 小っちゃい, 小型, ...
0.0018933    1 stole          : 袈裟
0.0018524    7 fish           : だぼ鯊, 鯊, 砂摩り, 沙魚, 懸かり, 懸り, 小魚
0.0018403    4 minute         : 眇, 少し, 少々, 少少
0.0018298    1 deputy         : 祢宜
0.0018285    2 extract        : 鈔, 抄
0.0018189   20 prayer         : 願解き, 南無阿弥陀仏, 願いごと, 願い事, 心願, 誓願, 願力, 願文, 願立て, 願かけ, ...
0.0018165    1 ablaze         : 燎原
0.0018091    7 making         : 抄紙, 進捗, 小戻り, 誓願, 願かけ, 願掛, 願掛け
0.0018056    1 capillary      : 河原蓬
0.0017999    9 cloth          : 羅紗, 帛紗, 服紗, 袱紗, 白妙, 小ぎれ, 小布, 小切れ, 小幅
0.0017600    1 tachycardia    : 頻脈
0.0017387    2 volume         : 鈔, 抄
0.0017087    9 low            : 残り少な, 残り少ない, 低劣, 下劣, 劣等, 少子, 小店, 小さい, 小声
0.0016914    6 exquisite      : 妙音, 妙趣, 妙技, 美妙, 精妙, 絶妙
0.0016865    3 ship           : 僚船, 僚艦, 小窓
0.0016814    3 scale          : 盤渉, 称量, 鱗屑
0.0016804    6 shrine         : 祢宜, 願解き, 願文, 願書, 小祠, 小社
0.0016653   24 origin         : 同源, 字源, 本源, 淵源, 溯源, 遡源, 語源, 根源, 源流, 源泉, ...
0.0016612    2 world          : 娑婆, 穢土
0.0016568    3 knitted        : 顰, 顰み, 莫大小
0.0016501    1 scrunch        : 蹙める
0.0016484    1 wormwood       : 河原蓬
0.0016466    2 colleague      : 僚友, 同僚
0.0016397    1 senior         : 祢宜
