Summary: {Weight} {token}: {words[0:10]}
0.0007228    1 embarrassment  : 困惑
0.0007181    2 principality   : 侯国, 公国
0.0007127    1 stick          : 囚われる
0.0007079    2 corps          : 軍団, 兵団
0.0007070    5 stiff          : 干し固める, 凝り固まる, 固練り, 固苦しい, 固い
0.0007038    1 true           : 真因
0.0007015    2 hearth         : 囲炉裏, 囲炉裡
0.0007008    1 surveying      : 回視
0.0006975    8 whole          : 全図, 四隣, 四海, 四方, 挙国, 三国, 万国, 全国
0.0006886    2 ambience       : ふん囲気, 雰囲気
0.0006879    1 human          : 四大
0.0006842    2 primary        : 要因, 主因
0.0006790    5 various        : 四方山話, 四夷, 諸国, 邦国, 各国
0.0006725   19 turn           : 因る, 回す, 回し読み, 押し回す, こね回す, 捏ね回す, 回り合せ, 回り合わせ, 立ち回る, 立回る, ...
0.0006715    2 grappling      : 固め技, 固技
0.0006631    4 mass           : 気団, 団塊, 集団, 固まり
0.0006592    9 something      : ふん囲気, 雰囲気, 塗り固める, 団子, 回す, 押し回す, 押し回し, たらい回し, 盥回し
0.0006581    1 based          : 因る
0.0006566    1 embarrassed    : 困る
0.0006506    2 street         : 四つ角, 地回り
0.0006485    1 beast          : 四つ足
0.0006470    4 sketch         : 略図, 要図, 図取り, 図案
0.0006446    1 hip            : 腰囲
0.0006401    3 air            : ふん囲気, 雰囲気, 気団
0.0006378    3 judo           : 固め技, 固技, 足固め
0.0006374    4 team           : 入団, 団体, 退団, 球団
0.0006342    1 exciting       : 誘因
0.0006240    1 snowshed       : 雪囲い
0.0006207    1 fix            : 困る
0.0006206    2 crossroads     : 四つ角, 四辻
0.0006199    2 pen            : 囲い込む, 囲い
0.0006191    2 bring          : 善因, 回す
0.0006189    1 greenery       : 緑園
0.0006123    1 psychogenesis  : 心因
0.0006064    4 fire           : 四大, かき回す, 掻き回す, 搔き回す
0.0006044    2 atmosphere     : ふん囲気, 雰囲気
0.0006040    1 light          : 軽四
0.0005991    2 wind           : 四大, 吹き回し
0.0005964    3 path           : 園路, 回りこむ, 回り込む
0.0005952    3 association    : 因み, 団体, 社団
0.0005951    3 monarch        : 国君, 君国, 国王
0.0005932    1 expulsion      : 退園
0.0005921    1 corral         : 囲い込む
0.0005871    1 teething       : 歯固め
0.0005870    1 flat           : 固結び
0.0005841    1 contingent     : 偶因
0.0005810    1 proximate      : 近因
0.0005732    4 main           : 要因, 主因, 四国, 中国
0.0005727    3 certain        : ふん囲気, 雰囲気, 固まる
0.0005696   15 someone        : ふん囲気, 雰囲気, 口固め, 回す, 使い回す, 呼び回る, 連れ回す, 振り回す, 振回す, 引き回す, ...
0.0005680    4 expression     : 困り顔, 遠回し, 言い回し, 言回し
0.0005679    1 year           : 小四
0.0005665    4 indirect       : 遠因, 因縁, 回りくどい, 遠回し
0.0005648    2 botanical      : 閉園, 開園
0.0005560    5 tight          : 団子, 差し固める, 差固める, 固い, 小回り
0.0005551    3 sitting        : 団居, 団らん, 団欒
0.0005545    2 playground     : 園庭, 遊園
0.0005514    2 carry          : 困難, 持ち回る
0.0005492    1 tit            : 四十雀
0.0005486    5 water          : 四大, 水回り, かき回す, 掻き回す, 搔き回す
0.0005481    3 star           : 星図, 星団, 星回り
0.0005475   11 system         : 工工四, 下国, 国守, 国字, 国司, 近国, 中国, 大国, 足回り, 国府, ...
0.0005403    3 troupe         : 団, 劇団, 一団
0.0005383    2 duvet          : 布団, 蒲団
0.0005374    1 loss           : 困る
0.0005371    3 army           : 兵団, 師団, 軍団
0.0005367    1 subspecies     : 国鱒
0.0005367    1 sockeye        : 国鱒
0.0005365    1 phonetic       : 音図
0.0005302    2 truth          : 因明, 塗り固める
0.0005279    2 cemetery       : 霊園, 墓園
0.0005256    6 strong         : 囲い, 堅固, 強固, 鞏固, 固い, 強国
0.0005248    5 fate           : 因縁, 因果, 国歩, 回り合せ, 回り合わせ
0.0005209    3 end            : 退園, 方図, 車回し
0.0005196    3 encircle       : 囲む, 囲う, 回らす
0.0005175    1 completion     : 退園
0.0005144    3 day            : 退園, 休園, 国慶
0.0005116    1 obscene        : 秘図
0.0005112    2 presence       : ふん囲気, 雰囲気
0.0005066    1 inducement     : 導因
0.0005052    2 technique      : 固め技, 固技
0.0005043    2 nothing        : 固より, 愚図つく
0.0005031    2 mood           : ふん囲気, 雰囲気
0.0005018    6 drive          : 動因, 四駆, 乗り回す, 乗回す, 追い回す, 追回す
0.0005009    4 party          : 団長, 団体, 団, 一団
0.0005008    2 undertaking    : 図南, 壮図
0.0004995    2 arise          : 基因, 起因
0.0004977    2 surface        : 外因, 塗り固める
0.0004970    1 secondary      : 副因
0.0004932    3 promise        : 因み, 口固め, 固める
0.0004931    4 shameless      : いけ図図しい, 図太い, 図々しい, 図図しい
0.0004917    8 theatrical     : 梨園, 劇団, どさ回り, ドサ回り, 田舎回り, せりふ回し, セリフ回し, 台詞回し
0.0004902   10 place          : 固定, 園, かけずり回る, 駆けずり回る, 逃げ回る, 国もと, 国元, 国許, 連れ回す, 回廊
0.0004839    2 stem           : 基因, 起因
0.0004822    2 convention     : 因習, 因襲
0.0004816    1 vacillation    : 因循
0.0004776    2 tired          : 因習, 因襲
0.0004755    1 preschool      : 園舎
0.0004745    4 impudent       : いけ図図しい, 図太い, 図々しい, 図図しい
0.0004742    2 bulrush        : 布団, 蒲団
0.0004728    1 Oncorhynchus   : 国鱒
0.0004721   13 provincial     : 国衙, 国府, 国学, 国司, 国ぶり, 国振り, 国風, 国訛, 国訛り, 国侍, ...
0.0004699    1 consolidation  : 固結
0.0004655    2 rough          : 略図, 要図
0.0004619    2 demesne        : 庄園, 荘園
0.0004617    1 indecision     : 因循
0.0004613    2 cushion        : 布団, 蒲団
0.0004613    2 mattress       : 布団, 蒲団
0.0004595    2 special        : ふん囲気, 雰囲気
0.0004589    1 past           : 回視
0.0004567    1 ruler          : 国君
0.0004554    1 face           : 困り顔
0.0004554    2 connection     : 因み, 因縁
0.0004552    1 meat           : 固まり肉
0.0004541    1 heartless      : 因業
0.0004535    2 agent          : 動因, 回し者
0.0004498    1 beating        : 打ち固める
0.0004496    2 feel           : ふん囲気, 雰囲気
0.0004495   17 run            : かけずり回る, 駆けずり回る, 逃げ回る, 暴れ回る, なめ回す, 嘗め回す, 舐め回す, 立ち回る, 立回る, 切り回す, ...
0.0004493    1 plum           : 梅園
0.0004468    2 tradition      : 因習, 因襲
0.0004452    1 protect        : 囲う
0.0004443    2 theme          : 閉園, 開園
0.0004436    2 count          : 訴因, 回数
0.0004402    2 ambitious      : 雄図, 壮図
0.0004388    1 feast          : 歯固め
0.0004370    1 abdomen        : 腹囲
0.0004352    2 bedding        : 布団, 蒲団
0.0004328    1 left           : 左図
0.0004319    2 woven          : 布団, 蒲団
0.0004301    2 shelter        : 囲まう, 囲う
0.0004298    1 varnished      : 渋団扇
0.0004298    3 lump           : 団子, 団塊, 固まり
0.0004294    2 custom         : 因習, 因襲
0.0004285    4 sticking       : 固陋, 固着, 固持, 固執
0.0004277    1 actual         : 内因
0.0004246    2 result         : 基因, 起因
0.0004215    1 frost          : 霜囲い
0.0004207    4 death          : 死因, 国忌, 四苦, 回忌
0.0004206    1 draftsmanship  : 図法
0.0004206    1 draughtsmanship: 図法
0.0004144    5 spinning       : 早回し, こま回し, コマ回し, 独楽回し, 空回り
0.0004122    1 besiegement    : 包囲
0.0004122    1 encirclement   : 包囲
0.0004111    1 salmon         : 国鱒
0.0004109    1 toy            : 歯固め
0.0004103    2 manor          : 庄園, 荘園
0.0004084    1 immediate      : 近因
0.0004062    8 go             : 囲む, 囲碁, 回りこむ, 回り込む, ふれ回る, 触れ回る, 回る, 出回る
0.0004062    1 falsehood      : 因明
0.0004038    1 mention        : 固より
0.0004032    5 east           : 因幡, 四方, 西回り, 東回り, 西国
0.0004004    2 previous       : 因業, 前回
0.0003973    1 diathesis      : 素因
0.0003950    2 hide           : 囲まう, 囲う
0.0003948    1 green          : 緑園
0.0003935    1 table          : 音図
0.0003924    1 full           : 緑園
0.0003908    1 logic          : 因明
0.0003903    2 goes           : 回りもの, 回り物
0.0003874    2 secret         : 秘図, 回し者
0.0003865    1 landscape      : 造園
0.0003856    2 enrollment     : 入団, 入園
0.0003829    1 notation       : 工工四
0.0003826    1 success        : 勝因
0.0003823    4 different      : 転園, 国替, 国替え, 着回し
0.0003817    5 building       : 園舎, 国づくり, 国造り, 水回り, 回廊
0.0003812    1 covering       : 霜囲い
0.0003805    1 chunk          : 固まり肉
0.0003796    1 literary       : 文園
0.0003794   10 going          : 登園, 西回り, 東回り, 空回り, 低回, 巡回, 周回, 先回り, 回礼, 内回り
0.0003787    2 course         : 固より, 回頭
0.0003785    1 victory        : 勝因
0.0003779    2 meditation     : 布団, 蒲団
0.0003779    1 yard           : 園庭
0.0003773    2 outer          : 外囲い, 外回り
0.0003768    2 cardinal       : 四維, 四方
0.0003762    1 Indian         : 因明
0.0003756    2 cluster        : 星団, 固まり
0.0003752    1 rare           : 国鱒
0.0003728    1 predisposition : 素因
0.0003727    6 public         : 公団, 公園, 国公立, 国公私立, 国論, 国費
0.0003724    3 anniversary    : 国忌, 回忌, 回る
0.0003704    1 derogative     : 四夷
0.0003700    1 cruel          : 因業
0.0003677    1 drying         : 乾固
0.0003656    3 fruit          : 囲う, 囲い, 出回る
0.0003651    1 echelon        : 梯団
0.0003635    2 student        : 小四, 回生
0.0003630    3 sides          : 四面, 四辺, 四方
0.0003629    3 groundwork     : 地固め, 足固め, 根回し
0.0003627    1 depend         : 因る
