Summary: {Weight} {token}: {words[0:10]}
0.0004895    2 monthly        : 月刊, 月報
0.0004865    3 footprint      : 地坪, 足型, 足形
0.0004850    2 intervene      : 執りなす, 執り成す
0.0004846   21 era            : 承平, 天平感宝, 天平, 天平神護, 天平宝字, 天平勝宝, 平治, 寛平, 年号, 平成, ...
0.0004821    7 smooth         : 執りなす, 執り成す, 平水, 平たん, 平坦, 平滑, 平ら
0.0004786    1 forthcoming    : 近刊
0.0004778    2 parapet        : 闌干, 欄干
0.0004777   10 made           : のべ竿, 延べ竿, 張形, 平打, 平打ち, 干し鰯, 干鰯, 形どる, 形取る, 開眼
0.0004768    1 disgusting     : 悍ましい
0.0004734   32 old            : 執着, 執著, 型落ち, 平声, 年寄る, 行く年, 古形, 年忘れ, 年取る, 昔年, ...
0.0004732    1 group          : 何型
0.0004720    1 noonday        : 午砲
0.0004696    2 heavy          : 大汗, 重刑
0.0004669    2 balustrade     : 闌干, 欄干
0.0004648    4 visit          : 御幸, 臨幸, 行幸, 還幸
0.0004620    6 water          : 水秤, 平水, 研ぎ汁, 十干, 水干, 干潮
0.0004593    6 spirit         : ド肝, 度肝, 肝っ玉, 肝玉, 肝, 形気
0.0004590    3 tip            : のべ竿, 延べ竿, 通報
0.0004588    2 corporal       : 肉刑, 体刑
0.0004581    2 banister       : 闌干, 欄干
0.0004566    4 assistance     : 肝いり, 肝入り, 肝煎, 肝煎り
0.0004504    4 past           : 午すぎ, 午過ぎ, 平素, 往年
0.0004501   17 time           : 一年, 報時, 時報, 刑余, 平時, 暦年, 平行, 当年, 経年, 歴年, ...
0.0004498    4 pardon         : 許状, 許す, 許し, 許容
0.0004485    4 opinion        : 衆評, 世評, 高評, 固執
0.0004483    2 vessel         : 銅鐸, 船型
0.0004441    2 handrail       : 闌干, 欄干
0.0004438    1 naked          : 裸形
0.0004424    2 evening        : 夕刊, 刊
0.0004376   14 plain          : 平織, 平織り, 平服, 平文, 平絹, 水干, 平地, 平原, 平易, 平野, ...
0.0004369    4 permit         : 許状, 許す, 免許, 官許
0.0004357   19 new            : 新刊, 型落ち, 新型, 新形, 年始, 開庁, 切り開く, 切開く, 開拓, 開店, ...
0.0004353    1 courtyard      : 坪庭
0.0004352    5 village        : 肝いり, 肝入り, 肝煎, 肝煎り, 開村
0.0004313    2 obstinacy      : 偏執, 我執
0.0004286    2 railing        : 闌干, 欄干
0.0004273    1 arrange        : 執り持つ
0.0004244    2 shining        : 闌干, 欄干
0.0004236    1 gizzard        : 砂肝
0.0004234    3 special        : 増刊, 刊, 特許
0.0004218    2 edge           : 軒端, 軒先
