Summary: {Weight} {token}: {words[0:10]}
0.0010381    1 crossed        : 結跏
0.0010380    1 bucking        : 跳ね馬
0.0010362    1 thigh          : 半跏
0.0010360    3 capture        : 捉える, 捕捉, 捉まえる
0.0010245    2 sway           : 盤踞, 蟠踞
0.0010238    4 grasp          : 捕捉, 捉える, 捉まる, 捉まえる
0.0010127    1 opposing       : 結跏
0.0010120    9 remains        : 古蹟, 史蹟, 旧蹟, 遺蹟, 古跡, 史跡, 旧跡, 遺跡, 跡
0.0009983    1 kneel          : 跪く
0.0009915    1 shoeing        : 装蹄
0.0009753    1 Farfugium      : 石蕗
0.0009705    2 face           : 蹙める, 捉まえる
0.0009676   13 dew            : 凍露, 夜露, 防露, 露霜, 朝露, 白露, 薤露, 寒露, 露点, 下露, ...
0.0009233    3 riser          : 蹴上, 蹴込み, 蹴上げ
0.0009231   26 road           : 軍路, 雪路, 曲路, 別路, 公路, 別れ路, 路, 闇路, 路肩, 路標, ...
0.0009053    2 half           : 半跏, 足半
0.0009046    1 busy           : 都大路
0.0008915    1 opposite       : 半跏
0.0008855    2 established    : 盤踞, 蟠踞
0.0008827    2 catch          : 捉える, 捉まえる
0.0008788    2 cower          : 蹲る, 踞る
0.0008761    5 plant          : 蕗の薹, 鷺苔, 踏んばる, 踏ん張る, 踏まえる
0.0008641    7 white          : 大鷺, 鷺草, 烏鷺, 凍露, 白鷺, 白露, 白足袋
0.0008599    9 crush          : 踏み躙る, 踏み荒す, 踏み荒らす, 踏み倒す, 踏倒す, 踏みしだく, 踏みにじる, 踏みつぶす, 踏み潰す
0.0008480    2 flower         : 蕗の薹, 鷺草
0.0008270    1 predecessor    : 先蹤
0.0008161    1 unmanageable   : 跳ね馬
0.0008142    3 holding        : 盤踞, 蟠踞, 踏ん張り
0.0008059    2 seize          : 捉まえる, 捉える
0.0008011   28 path           : 天路, 園路, 飛跡, 雪踏み, 露路, 軌跡, 踏み外す, 踏み均す, 踏みならす, 正路, ...
0.0007967    1 opposition     : 対蹠
0.0007929    1 Rumex          : 羊蹄
0.0007921    1 delicacy       : 蕗の薹
0.0007888   12 trace          : 事蹟, 証跡, 事跡, 跡かた, 跡形, 跡方, 痕跡, 跡づける, 跡付ける, 跡, ...
0.0007828    4 holograph      : 手蹟, 筆蹟, 手跡, 筆跡
0.0007675   10 evidence       : 事蹟, 犯跡, 証跡, 事跡, 罪跡, 跡かた, 跡形, 跡方, 痕跡, 形跡
0.0007609    5 shape          : 盤踞, 蟠踞, 足ならし, 足慣らし, 足馴らし
0.0007608    4 writing        : 書蹟, 墨蹟, 書跡, 墨跡
0.0007593    3 promotion      : 販促, 促成, 促進
0.0007549    3 strong         : 盤踞, 蟠踞, 力足
0.0007492    6 handwriting    : 手蹟, 筆蹟, 躍る, 手跡, 筆跡, 跳る
0.0007422    2 early          : 蕗の薹, 歌舞伎踊り
0.0007400    2 appraise       : 践む, 踏む
0.0007384    1 pray           : 拝跪
0.0007202    6 floor          : 跪坐, 踊り場, 踊場, 踏み抜く, 踏み貫く, 踏抜く
0.0007198    5 trail          : 踏み跡, 光跡, 走路, 足どり, 足取り
0.0007168    1 praxis         : 実践
0.0007150    1 coltsfoot      : 蕗
0.0007078    2 edible         : 蕗の薹, 松露
0.0007049    5 Russian        : 露里, 露助, 露都, 露人, 露語
0.0006949    5 heart          : 躍らす, 捉える, 勇躍, 躍る, 跳る
0.0006947    2 rhyme          : 践む, 踏む
0.0006933    4 specimen       : 手蹟, 筆蹟, 手跡, 筆跡
0.0006891    2 undergo        : 践む, 踏む
0.0006843    1 dock           : 羊蹄
0.0006777    2 shoe           : 靴跡, 踵
0.0006753    6 vestige        : 事蹟, 事跡, 跡かた, 跡形, 跡方, 痕跡
0.0006744    1 bud            : 蕗の薹
0.0006701    2 famous         : 名蹟, 名跡
0.0006696    2 ibis           : 尼鷺, 朱鷺
0.0006671    7 stealthy       : 盗み足, 足抜き, 猫足, ぬき足, 抜き足, 差し足, 忍び足
0.0006464    8 mark           : 焦げ跡, 靴跡, 踊り字, つめ跡, ツメ跡, 爪跡, 痕跡, 跡
0.0006394    3 squid          : 躍り食い, 踊り食い, 足
0.0006320    8 stand          : 践む, 踏みこたえる, 踏み堪える, 露店, 踏んばる, 踏ん張る, 踏む, 踏み場
0.0006259    3 land           : 刈り跡, 陸路, 夢路
0.0006205    2 succeed        : 践む, 踏む
0.0006163    3 soil           : 践む, 踏み固める, 踏む
0.0006134    4 calligraphy    : 手蹟, 筆蹟, 手跡, 筆跡
0.0006076    2 estimate       : 践む, 踏む
0.0006059    3 heron          : 青鷺, 白鷺, 鷺
0.0006004    1 works          : 偉蹟
0.0005983    2 judge          : 践む, 踏む
0.0005983    2 guess          : 践む, 踏む
0.0005932    2 carrying       : 履践, 送り足
0.0005774    8 exposure       : 顕露, 露出, 露呈, 露光, 露見, 露顕, 暴露, 曝露
0.0005754    1 labor          : 偉蹟
0.0005736    6 visit          : 践む, 踏む, 訪露, ムダ足, 徒足, 無駄足
0.0005705    5 forward        : 踞む, 飛躍, すり足, 摺り足, 摺足
0.0005693    1 horseshoe      : 蹄鉄
0.0005689    4 example        : 手蹟, 筆蹟, 手跡, 筆跡
0.0005689    1 labour         : 偉蹟
0.0005686    1 accession      : 践祚
0.0005667    2 value          : 践む, 踏む
0.0005645    4 rise           : 蹴上, 蹴上げ, 跳ね上がる, 跳ね上る
0.0005497    2 grab           : 捉える, 捉まえる
0.0005494    3 taxi           : 捉まる, 捉まえる, 足代
0.0005455    4 martial        : 前蹴り, 蹴り飛ばす, 足さばき, 足捌き
0.0005434    2 ice            : 躍り食い, 踊り食い
0.0005434    2 eating         : 躍り食い, 踊り食い
0.0005431    2 experience     : 践む, 踏む
0.0005392    2 sacrament      : 秘蹟, 秘跡
0.0005387    2 foreign        : 践む, 踏む
0.0005346    2 follow         : 践む, 踏む
0.0005330    3 demand         : 督促, 催促, 売れ足
0.0005298    3 kicking        : 足蹴り, 蹴破る, 蹴合い
0.0005269   16 stepping       : 飛躍, 足踏み, 踏み破る, 踏み台, 踏台, 踏み石, 踏石, 踏み込み, 踏切り, 踏み切り, ...
0.0005261    3 building       : 蹴上, 蹴上げ, 跡地
0.0005220    2 complete       : 践む, 踏む
0.0005215    6 set            : 践む, 踏む, 踏みだす, 踏み出す, 踏出す, 高足
0.0005110    2 live           : 躍り食い, 踊り食い
0.0005110    2 arrest         : 捉える, 捉まえる
0.0005092   11 Russia         : 露日, 欧露, 和露, 露国, 露仏, 露西亜, 訪露, 米露, 日露, 中露, ...
0.0005041    2 understanding  : 捕捉, 捉え所
0.0005034    2 caught         : 捉われる, 捉まる
0.0004925    2 meaning        : 把捉, 捉える
0.0004851    2 scarring       : にきび跡, ニキビ跡
0.0004839    9 break          : 蹴破る, 踏み割る, 跡絶え, 跡切れる, 跡切れ, 踏み破る, 跳ねる, 跳ぶ, 踏み込む
0.0004837    2 stubble        : そり跡, 剃り跡
0.0004793    1 malleolus      : 踝
0.0004756    5 making         : 躍進, 飛躍, 露悪, 披露目, 足し
0.0004711    1 stoop          : 踞む
0.0004705    3 discovery      : 顕露, 露見, 露顕
0.0004606    2 pockmark       : にきび跡, ニキビ跡
0.0004555    3 detection      : 顕露, 露見, 露顕
0.0004539    1 man            : 偉蹟
0.0004505   23 route          : 順路, 陸路, 路次, 舟路, 船路, 波路, 通り路, 旅路, 潮路, 通い路, ...
0.0004496    3 growth         : 促成, 促す, 毛足
0.0004486    2 urge           : 督促, 促す
0.0004415    1 fringed        : 鷺草
0.0004380    2 acne           : にきび跡, ニキビ跡
0.0004324    2 pimple         : にきび跡, ニキビ跡
0.0004268    6 bounce         : 躍る, 跳ねまわる, 跳ね回る, 跳ね返る, 跳ね返す, 跳る
0.0004237    1 prehension     : 捕捉
0.0004186    2 autograph      : 真蹟, 真跡
0.0004144    1 orchid         : 鷺草
0.0004139    2 shaving        : そり跡, 剃り跡
0.0004135    4 shuffling      : 躄, すり足, 摺り足, 摺足
0.0004085    2 squatting      : うさぎ跳び, 兎跳び
0.0004067    1 sweet          : 蕗
0.0004037    2 goal           : 蹴り入れる, 蹴り込む
0.0003958    1 trapping       : 捕捉
