Summary: {Weight} {token}: {words[0:10]}
0.0004254    1 traveling      : 輪行
0.0004231    2 older          : 年輩, 先輩
0.0004148    1 axial          : 体軸
0.0004138    2 row            : 軒並, 軒並み
0.0004102    2 marriage       : 輿入れ, 転嫁
0.0004070    1 gluten         : 車麩
0.0003982    5 small          : 鼠輩, 軽トラ, 小車, 車屋, 軽い
0.0003974    1 sludge         : 軟泥
0.0003946    2 unimportant    : 鼠輩, 軽い
0.0003931    3 roaring        : 轟音, 轟然, 轟
0.0003911    3 loop           : 輪差, 輪っか, 輪
0.0003885    1 ooze           : 軟泥
0.0003867    4 family         : 輿入れ, 雪輪, 転籍, 内輪
0.0003849    1 younger        : 後輩
0.0003848    1 fern           : 軒忍
0.0003824    5 weight         : 輔助, 車重, 軽め, 軽重, 軽量
0.0003812    3 bright         : 輝線, 輝かしい, 輝やかしい
0.0003806    4 garage         : 出車, 入車, 代車, 車庫
0.0003727    1 taken          : 軌跡
0.0003727    1 optic          : 光軸
0.0003721    2 support        : 輔助, 輔ける
0.0003691    4 mild           : 軟鋼, 軟らかい, 軟らか, 軽度
0.0003653    1 example        : 軌範
0.0003647    1 fry            : 鼠輩
0.0003604    6 ship           : 載貨, 轟沈, 搭載, 転折, 舵輪, 転舵
0.0003588    1 file           : 末輩
0.0003587    2 thundering     : 轟かす, 轟然
0.0003549    6 minor          : 短軸, 軽症, 重軽傷, 軽傷, 軽やか, 軽い
0.0003459    1 snare          : 輪差
0.0003448   12 rotation       : 輪転, 自転, 回転, 廻転, 輪番, 輪作, 輪栽, 配転, 転作, 転回, ...
0.0003442    1 specialty      : 車麩
0.0003427    5 air            : 空輸, 陸海空軍, 建軍, 空軍, 転地
0.0003424    4 gentle         : 軟風, 軟らかい, 軟らか, 軽い
0.0003421    1 weeping        : 軒忍
0.0003407    1 path           : 軌跡
0.0003365    1 subvention     : 輔助
0.0003348    2 spherical      : 光軸, 円転
0.0003328    2 plummer        : 軸受, 軸受け
0.0003311    1 baked          : 車麩
0.0003257    1 pattern        : 軌範
0.0003235    1 counselor      : 輔佐
0.0003230    3 depot          : 出車, 入車, 車庫
0.0003194    1 crystal        : 光軸
0.0003190    2 loaded         : 満載, 載る
0.0003185    5 navy           : 建軍, 陸海軍, 水軍, 船軍, 海軍
0.0003179    1 tumblebug      : 糞転がし
0.0003175    2 electric       : 軒灯, 電車
0.0003174    4 publication    : 所載, 登載, 掲載, 休載
0.0003154    4 whole          : 全軍, 一軍, 総軍, 三軍
0.0003146    1 manic          : 躁転
0.0003144    1 subsidy        : 輔助
0.0003138    4 school         : 先輩, 後輩, 転入, 転籍
0.0003135    2 thunderous     : 轟音, 轟然
