Summary: {Weight} {token}: {words[0:10]}
0.0018572   10 octopus        : 水蛸, 真蛸, 蛸壷, 蛸壺, 酢蛸, 飯蛸, 茹で蛸, 茹蛸, 蛸焼き, 蛸
0.0018409    7 living         : 独り住まい, 蟄居, 独り身, 仲働き, 独り暮し, 独り暮らし, 独居
0.0018405    4 larva          : 蛆, 螟虫, 川虫, 幼虫
0.0018305    1 wretch         : 蚰蜒
0.0018286    1 rugosa         : 土蛙
0.0018041    2 Rana           : 土蛙, 赤蛙
0.0018030    6 sky            : 冲する, 蟠龍, 蟠竜, 沖する, 中空, 空中
0.0017925    2 land           : 山蛭, 蛮地
0.0017766    1 wrinkled       : 土蛙
0.0017743    1 anime          : 王蟲
0.0017626    1 Scincidae      : 蜥蜴
0.0017626    1 skink          : 蜥蜴
0.0017608    1 gossip         : 蜚語
0.0017600    8 house          : 蚰蜒, 蟄居, 家蚊, 蟇股, 家蠅, 蛙股, 家中, 油虫
0.0017529    2 orient         : 文蛤, 蛤
0.0017486    8 large          : 蟒蛇, 蟇目, 銀蝿, 蜻蜓, 油蝉, 銀蠅, 独走, 蛇
0.0017387    3 squid          : 沖漬け, 蛸烏賊, 蛍烏賊
0.0017317   14 used           : 蟾酥, 虹梁, 蟇目, 幌蚊帳, 玉串, 蟹殻, 杜仲, 赤虫, 南蛮, 独鈷, ...
0.0017076    1 drinker        : 蟒蛇
0.0017061    1 Eunicidae      : 磯蚯蚓
0.0017047   15 loyalty        : 忠純, 忠愛, 忠烈, 忠孝, 忠節, 忠君, 誠忠, 尽忠, 忠誠, 忠魂, ...
0.0017012    1 gigantic       : 王蟲
0.0016871    1 mountainous    : 翠嵐
0.0016851    6 yellow         : 黄繭, 黄蜻蛉, 黄蝋, 雀蜂, 熊ん蜂, 熊蜂
0.0016833    1 Erinaceidae    : 蝟
0.0016671    3 rumor          : 蜚語, 言い触らす, 言触らす
0.0016667    3 whistling      : 颯颯, 飄々, 飄飄
0.0016666    3 eunicid        : 磯蚯蚓, 赤虫, 岩虫
0.0016487   16 Chinese        : 蟾酥, 皮蛋, 鶏蛋, 杜仲, 祝融, 蟹玉, 草石蚕, 無患子, 蛇頭, 中焦, ...
0.0016376    3 grub           : 蛆, 地虫, 幼虫
0.0016317    1 contemptible   : 蚰蜒
0.0016076    1 exuviae        : 蛻
0.0015983    1 hedgehog       : 蝟
0.0015810    1 sac            : 袋蜘蛛
0.0015595    2 extinguished   : 螢火, 蛍火
0.0015206    1 trident        : 唐楓
0.0015058    2 drinking       : 蟒蛇, 独酌
0.0014992    1 Plecoptera     : 川螻蛄
0.0014992    1 Perlidae       : 川螻蛄
0.0014927    5 fusion         : 融着, 溶融, 熔融, 融合, 融解
0.0014869    1 chin           : 狆
0.0014856    1 soughing       : 颯颯
0.0014830    1 mammal         : 蝟
0.0014807    1 pseudoscorpion : 擬蠍
0.0014807    1 arachnid       : 擬蠍
0.0014807    1 Pseudoscorpionida: 擬蠍
0.0014778    4 Acer           : いろは楓, 伊呂波楓, 楓, 蛙手
0.0014743    1 report         : 蜚語
0.0014700   11 mosquito       : 幌蚊帳, 蚊絶やし, 家蚊, やぶ蚊, 薮蚊, 藪蚊, 蚊柱, 蚊取り, 蚊屋, 蚊帳, ...
0.0014668    1 human          : 蜉蝣
0.0014646    2 rising         : 冲天, 沖天
0.0014637    2 tribe          : 蛍族, 蛮族
0.0014353    1 husk           : 蛻
