Summary: {Weight} {token}: {words[0:10]}
0.0004555    8 bead           : 珠, 臼玉, トンボ玉, 蜻蛉玉, 玉, 勾玉, 曲玉, 小玉
0.0004442    1 cherishing     : 愛玩
0.0004436    1 gash           : 瑕
0.0004436    1 dishonor       : 瑕
0.0004426    5 cash           : 現預金, 現なま, 現ナマ, 現送, 現金
0.0004400    1 speck          : 班点
0.0004315    1 emotional      : 瑕
0.0004230    1 play           : 玩ぶ
0.0004208    2 wound          : 瑕, 苧環
0.0004170    1 treating       : 玩弄
0.0004135    2 finger         : 環指, 指環
0.0004130    1 tasting        : 玩味
0.0004088    1 stain          : 瑕
0.0004065    1 bruise         : 瑕
0.0004015    2 lyre           : たて琴, 竪琴
0.0004015    1 admiration     : 賞玩
0.0004008    1 gymnastic      : 吊環
0.0003999    1 beehive        : 王台
0.0003986    8 person         : 玩具, 珠, 現認, 現人, 玉, 玉体, 善玉, 悪玉
0.0003975    1 silicosis      : 珪肺
0.0003959    1 hair           : 玩ぶ
0.0003958    2 gobang         : 聯珠, 連珠
0.0003949    1 weakness       : 瑕
0.0003884    1 scar           : 瑕
0.0003813    1 scrape         : 瑕
0.0003793    1 flower         : 擬宝珠
0.0003783    3 rosary         : 念珠, 数珠, 珠数
0.0003695    1 crack          : 瑕
0.0003653   10 game           : 聯珠, 連珠, 球戯, 玉入れ, 出玉, 球技, 球宴, けん玉, 剣玉, 拳玉
0.0003653    1 pet            : 愛玩
0.0003632    8 principle      : 学理, 理, 法理, 実理, 理念, 数理, 原理, 一理
0.0003617    5 science        : 理科, 理学, 理数, 理工, 理系
0.0003609    1 injury         : 瑕
0.0003572    6 odd            : 珍案, 珍優, 珍問, 珍妙, 珍説, 珍
0.0003535    1 constellation  : 琴座
0.0003527    3 iron           : 鉄環, 鉄球, 玉鋼
0.0003524    2 wagon          : 和琴, 東琴
0.0003508    6 spherical      : 宝珠, 珠, 球状, 球面, 球形, 玉
0.0003471    1 diatom         : 珪藻
0.0003445    1 chest          : 玩具箱
0.0003444    1 reputation     : 瑕
0.0003411    2 focus          : 球際, 国王
0.0003395    4 unexpected     : くせ球, 曲球, 珍事, 珍客
0.0003374    6 control        : 球際, 制球, 管理, やり玉, ヤリ玉, 槍玉
0.0003341    1 weak           : 瑕
0.0003334    1 bracer         : 環
0.0003297    2 bridge         : 擬宝珠, 琴柱
0.0003271    1 bracelet       : 環
0.0003258    1 rebound        : こぼれ球
0.0003246    1 shop           : 玩具屋
0.0003242    1 store          : 玩具屋
0.0003218    4 orb            : 宝珠, 珠, 球体, 玉
0.0003217    1 archer         : 環
0.0003205    2 unorthodox     : くせ球, 曲球
0.0003159    2 ulterior       : くせ球, 曲球
0.0003142    5 abacus         : 珠, 珠盤, 珠算, 玉算, 玉
0.0003132    2 variant        : 聯珠, 連珠
0.0003101    1 box            : 玩具箱
0.0003074    3 making         : 玩弄, 玉子焼き, 玉子
0.0003061    1 thing          : 玩具
0.0003034    1 object         : 愛玩
0.0003023    1 plantain       : 擬宝珠
0.0002974    3 motive         : くせ球, 曲球, 理由
0.0002961    5 globe          : 球状, 珠, 球体, 地球, 玉
0.0002942    2 junk           : くせ球, 曲球
0.0002913    4 rice           : 瑞穂, 玉苗, 半玉, 白玉
0.0002898    1 leek           : 擬宝珠
