Summary: {Weight} {token}: {words[0:10]}
0.0012468   32 painting       : 画論, 聖画, 画境, 彩画, 禅画, 画道, 画塾, 画法, 画派, 蘭画, ...
0.0012433    1 riverside      : 河畔
0.0012353    5 keeping        : 養畜, 畜犬, 足留め, 留め置き, 留置き
0.0012289    1 row            : 畝
0.0012226    8 outline        : 史略, 大略, 略筆, 略説, 略述, 要略, 略, 概略
0.0012225    1 subfamily      : 畑鼠
0.0012163    3 patch          : いちご畑, 苺畑, 瓜田
0.0011970    1 cut            : 打ち留める
0.0011901    3 stock          : 養畜, 種畜, 品番
0.0011751    1 lake           : 湖畔
0.0011677    3 understanding  : 領略, 申し合わせ, 申合せ
0.0011652    4 working        : 畑仕事, 回り番, 留る, 留まる
0.0011608   16 offer          : 申し出で, 申出で, 申し出る, 申出る, 申し出, 申出, 申しこむ, 申し込む, 申し込み, 申込, ...
0.0011576    1 dialect        : 田舎言葉
0.0011532    5 inner          : 后町, 畳床, 内界, 庭番, 結界
0.0011489    2 pointless      : 甲斐ない, 甲斐無い
0.0011483   16 period         : 町代, 町触, 町触れ, 男舞, 使い番, 町奴, 室町, 町衆, 番屋, 蘭画, ...
0.0011248    1 treasonable    : 異図
0.0011241    4 history        : 史略, 由来, 由緒, 略史
0.0011164   10 order          : 町触, 町触れ, 申し渡す, 申渡す, 申しつける, 申し付ける, 申付ける, 順番, 取り留め, 取留め
0.0011160    1 rodent         : 畑鼠
0.0011094    2 vegetable      : 畠, 畑
0.0011056    2 bearing        : 留心, 留意
0.0010939    2 paying         : 留心, 留意
0.0010902    2 kitchen        : 畠, 畑
0.0010854   15 Edo            : 町代, 町触, 町触れ, 町奴, 番屋, 使い番, 蘭画, 辻番, 甲比丹, 勤番, ...
0.0010799    6 useless        : 甲斐ない, 甲斐無い, 不甲斐ない, 腑甲斐ない, 腑甲斐無い, 画餅
0.0010790    1 mushroom       : 畑占地
0.0010711    3 attention      : 留心, 留意, 留める
0.0010671    5 traditional    : 鳥甲, 町屋, 町家, 加留多, 歌留多
0.0010635    8 city           : 市区町村名, 港町, 町はずれ, 町外れ, 下町, 一画, 甲府, 秋田
0.0010583    2 husbandry      : 畜養, 畜産
0.0010541    5 worthless      : 甲斐ない, 甲斐無い, 不甲斐ない, 腑甲斐ない, 腑甲斐無い
0.0010420    5 tactics        : 韜略, 武略, 軍略, 党略, 戦略
0.0010407    1 fried          : 畑占地
0.0010407   11 armor          : 腕甲, 馬甲, 挂甲, 鉄甲, 短甲, 甲鉄, 機甲, 甲冑, 甲胄, 装甲, ...
0.0010311    1 mnemonic       : 略名
0.0010310   12 tell           : 申し渡す, 申渡す, 申しつける, 申し付ける, 申付ける, 申し聞かせる, 申聞かせる, 申し述べる, 申述べる, 申しあげる, ...
0.0010272    3 cattle         : 牧畜, 畜舎, 家畜
0.0010143    2 birth          : 畠, 畑
0.0010093    4 farming        : 牧畜, 焼き畑, 焼畑, 畑作
0.0010064    1 raising        : 養畜
0.0009974    7 line           : 畠, 畑違い, 畑, 順番, 線画, 画する, 画す
0.0009916   19 paddy          : 田起こし, 良田, 公田, 泥田, 田地, 田打ち, 田の面, 田作り, 白田, 湿田, ...
0.0009914    1 chicken        : 畑占地
0.0009887    2 roof           : 畝間, 田鼠
0.0009886   14 request        : 申し出で, 申出で, 申し出る, 申出る, 申し出, 申出, 申しこむ, 申し込む, 申し込み, 申込, ...
0.0009768    2 fruit          : 畠, 畑
0.0009755    1 furrow         : 畝間
0.0009725    1 bedrock        : 千畳敷
0.0009575    7 scheme         : 詐略, 調略, 謀略, 計略, 略, 策略, 計画
0.0009193   10 street         : 町着, 横町, 町並, 町並み, 町筋, 町角, 町名, 町内, 町, 裏町
0.0009171    1 terrain        : 千畳敷
0.0009111    1 wild           : 獣畜
0.0009089    1 eternal        : 氷田
0.0008973   30 picture        : 彩画, 画譜, 民画, 画素, 俳画, 画面, 密画, 仏画, 俗画, 装画, ...
0.0008923    1 plateau        : 千畳敷
0.0008877    5 provincial     : 田舎言葉, 田舎芝居, 田舎回り, 田舎もん, 田舎者
0.0008848   11 part           : 畳縁, 畳床, 町域, 異文, 前略, 中略, 下町, 男木, 品番, 参画, ...
0.0008791    2 food           : 男めし, 男飯
0.0008757    4 worth          : 言い甲斐, やり甲斐, 遣り甲斐, 甲斐
0.0008706   10 form           : 異装, 色界, 略体, 異字, 略筆, 略字, 申楽, 異型, 異形, 画く
0.0008677    6 character      : 異字, 略筆, 略字, 畳字, 字画, 筆画
