Summary: {Weight} {token}: {words[0:10]}
0.0009005    1 shutting       : 蟄居
0.0008958    7 sea            : 海幸, 航洋, 外洋, 洋上, 洋, 海洋, 遠洋
0.0008917    2 lucky          : 幸せ者, 吉祥
0.0008890    1 indoors        : 蟄居
0.0008848    4 run            : 恙む, 翔る, 翔ぶ, 翔ける
0.0008750    1 sick           : 恙む
0.0008733    5 auspicious     : 祥雲, 瑞祥, 祥, 発祥, 吉祥
0.0008684    4 range          : 群山, 群峰, 潮差, 較差
0.0008656    1 mountainous    : 群山
0.0008647    5 ritual         : 秘儀, 祭儀, 儀典, 儀礼, 儀式
0.0008613    1 psoriasis      : 乾癬
0.0008567    1 firing         : 窯変
0.0008559    3 paper          : 紙縒, 紙縒り, 洋紙
0.0008343    4 Japanese       : 羯鼓, 洋語, 羊蹄, 洋服
0.0008286    1 ground         : 啓蟄
0.0008251    9 secret         : 秘儀, 密儀, 内儀, 奥儀, 密議, 内議, 内報, 諜報, 奥義
0.0008192   20 difference     : 着差, 微差, 種差, 差音, 階差, 色差, 落差, 段差, 大差, 性差, ...
0.0008152    3 diet           : 食養, 議会, 議院
0.0008131    9 sword          : 玉羊歯, 脇差, 脇差し, 差し料, 差料, 差し前, 差前, 差し添え, 差す
0.0008053    1 mistress       : 洋妾
0.0007977    1 grey           : 洋鵡
0.0007960    2 unknown        : 未詳, 不詳
0.0007884    3 illness        : 微恙, 養う, 報える
0.0007840    1 arrest         : 蟄居
0.0007836    2 slight         : 微恙, 小差
0.0007820    2 feeling        : むず痒い, 歯痒い
0.0007806    2 punishment     : 蟄居, 報い
0.0007786    3 day            : 啓蟄, 左義長, 議事
0.0007770    2 recitative     : 幸若, 差
0.0007672    8 period         : 幸若, 銅鐸, 参議, 差し物, 差物, 差しかかる, 差し掛かる, 差し掛る
0.0007613    3 cluster        : 群山, 群落, 群れ
0.0007599    1 Formica        : 山蟻
0.0007564    2 harvest        : 恙虫, 幸
0.0007496    2 gazette        : 学報, 官報
0.0007408    1 pep            : 健祥
0.0007399    2 sanctum        : 秘儀, 秘義
0.0007264    1 creepy         : むず痒い
0.0007242    1 oven           : 石窯
0.0007174    3 full           : 詳報, 詳論, 詳しい
0.0007097    2 right          : 嗟, 正義
0.0006949    9 retribution    : 依報, 正報, 業報, 果報, 悪報, 応報, 報い, 報復, 報
0.0006880    1 murder         : 群鴉
0.0006874    3 intercession   : 執りなし, 執り成し, 執成し
0.0006852    2 gift           : 贄, 祝儀
0.0006847    1 guide          : 木鐸
0.0006784    4 style          : 幸若, 流儀, 六義, 洋風
0.0006704    1 ply            : 縒り
0.0006693    3 smoothing      : 執りなし, 執り成し, 執成し
0.0006680    5 adoptive       : 養父母, 養母, 養親, 養家, 養父
0.0006678    2 ceramics       : 窯変, 窯業
0.0006623    3 mustard        : 洋がらし, 洋芥子, 洋辛子
0.0006611    4 become         : 恙む, 目差す, 差し支える, 差支える
0.0006604    1 uneasy         : むず痒い
0.0006523    1 leader         : 木鐸
0.0006502    4 imperial       : 御幸, 公儀, 公議, 行幸
0.0006415    1 ascending      : 登り窯
0.0006386    1 Psittacus      : 洋鵡
0.0006369    1 orchid         : 洋蘭
0.0006324    4 dance          : 幸若, 洋舞, 差す, 差
0.0006189    1 connected      : 登り窯
0.0006158    3 variation      : 窯変, 年差, 偏差
0.0006092    2 cloud          : 祥雲, 羊雲
0.0006092    3 mediation      : 執りなし, 執り成し, 執成し
0.0006064    1 Polyergus      : 侍蟻
0.0006063    1 rash           : 痒疹
