Summary: {Weight} {token}: {words[0:10]}
0.0015440   33 dead           : 斃牛馬, 屍肉, 斃死, 屍体, 屍骸, 黄泉比良坂, 死都, 死馬, 死角, 紫雲, ...
0.0015401    2 peaceful       : 藹々, 藹藹
0.0015366    2 grey           : 麹塵, 白髭
0.0015200    4 brown          : 駱駝, 褐炭, 褐藻, 朱泥
0.0015198    7 fruit          : 秕, 粃, 花実, 無駄花, 花落ち, 徒花, 開花
0.0015190    9 wind           : 屁こき, 屁放き, 屁, 雨混じり, 山背, 北寄り, 北風, 北, 風花
0.0015117    3 cloth          : 駱駝, 褐, 絹漉し
0.0015039    1 Cetorhinus     : 姥鮫
0.0015036    3 day            : 麒麟, 麗日, 先頃
0.0014980    1 informal       : 麹塵
0.0014977    2 estrangement   : 乖離, 背離
0.0014956    3 alienation     : 乖離, 背離, 異化
0.0014924    1 browning       : 褐変
0.0014923    1 Laminariaceae  : 昆布
0.0014898    1 anhydride      : 砒石
0.0014751    4 visiting       : 物詣, 物詣で, 神詣で, 謁
0.0014643   13 made           : 麈尾, 駱駝, 巻き鮨, 巻鮨, 鮨, 雪靴, 泥絵, 泥舟, 比翼, 花茶, ...
0.0014446    3 charge         : 讒, 讒口, 讒言
0.0014442    8 smell          : 屍臭, 匂いたつ, 匂い立つ, 匂わす, 匂う, 匂, 匂い, 死臭
0.0014420    2 gas            : 焜炉, 屁
0.0014344    2 club           : 棍, 棍棒
0.0014309    1 deviation      : 乖離
0.0014302   10 form           : 訛字, 訛, 訛り, 麗容, 化鳥, 指圧, 化け, 消化, 化現, 花実
0.0014147    1 preparation    : 不嗜
0.0014073    1 linked         : 双節棍
0.0014065    1 detachment     : 乖離
0.0013929    1 swift          : 驥尾
0.0013896    1 maximus        : 姥鮫
0.0013881    9 dark           : 褐, 褐色, 靄靆, 藤紫, 泥絵, 燕脂, 臙脂, 濃紫, 暮れ泥む
0.0013814   10 goods          : 山砦, 麁品, 嗜み, 貨財, 疵物, 滞貨, 雑貨, 外貨, 階, 百貨
0.0013743    1 precipitation  : 雨靄
0.0013680    6 fin            : 腹鰭, 鱶鰭, 胸鰭, 背鰭, 鰭, 背びれ
0.0013420    1 ride           : 麒麟
0.0013395    1 stove          : 焜炉
0.0013285    3 slight         : 纔か, 些少, 些細
0.0013281    2 abatis         : 鹿砦, 鹿柴
0.0013262    1 burner         : 焜炉
0.0013249    8 world          : 毘盧遮那, 此の世, 此岸, 俗塵, 塵界, 塵埃, 塵, 化育
0.0013178    5 bottom         : 麓, 嘗め, 嘗, 階下, 泥田
0.0013174    4 nun            : 比丘尼, 尼僧, 尼, 禅尼
0.0012944    5 great          : 驥尾, 冀求, 傾倒, 雲泥, 神化
0.0012873    5 lick           : 嘗めまわす, 嘗め回す, 嘗める, 嘗め, 嘗
0.0012863    1 hill           : 麓
0.0012815    1 picture        : 寫眞
0.0012815   13 period         : 斃牛馬, 奴髭, 頃おい, 末頃, 比丘尼, 鎌髭, 頃刻, 指し物, 指物, 宣旨, ...
0.0012778    3 madness        : 癲狂, 狂い死に, 狂死
0.0012741    4 indigo         : 褐, 褐色, 藍花, 花色
0.0012716    5 oil            : 蓖麻, 油漉し, 凝脂, 泥々, 泥泥
0.0012702    8 visit          : 詣で, 詣る, 詣り, 初詣, 初詣で, 参詣, 訪比, 来旨
0.0012654    1 affection      : 諧和
0.0012639    1 bribe          : 貨賂
0.0012615    3 miserable      : 佗言, 佗しい, 窮死
0.0012580    2 shark          : 姥鮫, 鱶鰭
0.0012500    2 gentle         : 諧和, 醇化
0.0012497    2 woodcraft      : 鉈, 大鉈
0.0012472    3 poor           : 不嗜, 大時化, 時化
0.0012423    2 separation     : 乖離, 死別
0.0012366    1 chopped        : 柴漬け
0.0012332    1 flapper        : 麈尾
0.0012299    1 cupping        : 握り屁
0.0012292    4 square         : 楷, 瞋る, 楷書, 角背
0.0012277    5 temple         : 物詣, 物詣で, 詣り, 参詣, 庇
0.0012079    9 last           : 獲麟, 靴型, 此の, 此処, 死にぎわ, 死に際, 死際, 死守, 残花
0.0012037   25 northern       : 北征, 北光, 紫微, 北半, 北向き, 北軍, 北天, 北国, 北方, 北境, ...
0.0011982    5 mustache       : ちょび髭, チョビ髭, 鼻髭, 虎髭, 口髭
0.0011899    9 boots          : 雨靴, 長靴, 泥靴, 雪靴, 藁靴, 軍靴, 靴, 皮靴, 革靴
0.0011820    1 fog            : 雨靄
0.0011801    4 mineral        : 砒石, 粉塵, 湯花, 湯の花
0.0011708    2 sect           : 眞言, 宗旨
0.0011705    1 kombu          : 昆布
0.0011689    2 hour           : 獲麟, 死期
0.0011516    1 mutual         : 諧和
0.0011411    3 fighting       : 双節棍, 切り死に, 斬り死に
0.0011396    3 breaking       : 屁こき, 屁放き, 背約
0.0011162    2 moving         : 寫眞, 動顚
0.0011160    1 Canavalia      : 鉈豆
0.0011154    1 kelp           : 昆布
0.0011107    2 sturdy         : 鉈, 大鉈
0.0011029    7 shrine         : 神詣で, 詣る, 詣り, 初詣, 初詣で, 参詣, 供花
0.0010986    4 trivial        : 些々, 些些, 些末, 些細
0.0010923    4 everybody      : 皆々, 皆の衆, 皆んな, 皆
0.0010918    2 seafaring      : 金毘羅, 金比羅
0.0010894    8 ship           : 転舵, 乘る, 舵輪, 取り舵, 取舵, 面舵, 載貨, 甲比丹
0.0010875   27 finger         : 竹篦, 示指, 弾指, 中指, くすり指, 薬指, ばね指, 発条指, 指詰め, 指板, ...
0.0010854    2 fortress       : 城砦, 砦
0.0010813    3 stone          : 石匙, 摩尼, 石階
0.0010800    3 edible         : 昆布, 紫海苔, 雪花菜
0.0010780    4 mold           : 糀, 押し鮨, 押鮨, 塡める
0.0010728    1 range          : 焜炉
0.0010711    8 end            : 獲麟, 末頃, 終わり頃, 指し物, 指物, 藍花, 死期, 花道
0.0010706    1 Bupleurum      : 柴胡
0.0010694    1 albus          : 川蛇
0.0010663    2 aspiration     : 冀望, 冀求
0.0010619    1 pigeon         : 囮
0.0010549    4 filter         : 漉紙, 水漉し, 漉し袋, 漉す
0.0010540    1 meager         : 纔か
0.0010482    1 meagre         : 纔か
0.0010389    7 Edo            : 斃牛馬, 奴髭, 比丘尼, 鎌髭, 甲比丹, 指し物, 指物
0.0010314    1 electric       : 焜炉
0.0010233    1 cooking        : 焜炉
0.0010175    5 scold          : 瞋る, 喝, 叱りつける, 叱り付ける, 叱る
0.0010157    9 glorious       : 麗日, 麗か, 麗らか, 麗ら, 死に花, 花々しい, 花花しい, 散花, 花
0.0010115    1 lure           : 囮
