Summary: {Weight} {token}: {words[0:10]}
0.0024417    1 surplus        : 餘り
0.0024227    1 undeserved     : 素餐
0.0024141    4 entertaining   : 饗, 饗応, 食い積み, 食積
0.0023845    1 film           : 単館
0.0023638    1 remainder      : 餘り
0.0023501    1 going          : 家飲み
0.0023369    5 breakfast      : 朝餉, 朝ご飯, 朝御飯, 朝飯, 朝食
0.0023155    1 proprietress   : 饗
0.0023154    3 starve         : 飢え凍える, 飢える, 餓える
0.0023027    1 Lord           : 聖餐
0.0022638    8 swallow        : 飮む, 飲みこむ, 飲み込む, 飲込む, 飲みくだす, 飲み下す, 飲下す, 飲む
0.0022432    8 ceremony       : 昼餉, 餅投げ, 総飾り, 餅まき, 斎食, 食い初め, 中食, 昼食
0.0022429    2 crushed        : つぶし餡, 潰し餡
0.0022359    1 terrible       : 餘り
0.0022264    1 landlady       : 饗
0.0022062    5 engulf         : 飮む, 飲む, 飲みこむ, 飲み込む, 飲込む
0.0021978    9 gulp           : 飮む, 一飲み, 飲みくだす, 飲み下す, 飲下す, 飲む, 飲みこむ, 飲み込む, 飲込む
0.0021696    1 remains        : 餘り
0.0021609    1 landlord       : 饗
0.0021424    1 proprietor     : 饗
0.0021157   11 cake           : 餠, 粟餅, 揚げ餅, 餅踏み, 栃餅, 餅屋, 桜餅, 葛餅, 焼き餅, 焼餅, ...
0.0021108    4 rest           : 餘り, 静養, 休養, 食休み
0.0021016    2 public         : 貸し館, 館員
0.0020867    2 overwhelm      : 飮む, 飲む
0.0020862    7 first          : 尻餠, 餅踏み, 尻餅, 力餅, 食う, 食い込む, 食込む
0.0020783    1 balance        : 餘り
0.0020337    1 extreme        : 餘り
0.0020307   17 decoration     : 吊るし飾り, 壁飾り, 羽根飾り, 羽飾り, 花飾り, 加飾, 餅花, 扮飾, 粉飾, 装飾, ...
0.0020104    4 ornamental     : 飾り羽, 飾緒, 飾り皿, 飾り結び
0.0019853    1 severe         : 餘り
0.0019769    2 tobacco        : 飮む, 飲む
0.0019482    1 reward         : 素餐
0.0019249    9 museum         : 当館, 退館, 館外, 閉館, 開館, 本館, 入館, 休館, 館内
0.0019211    3 much           : 餘り, 小食, 少食
0.0019007   11 red            : 粒餡, 餡こ, 餡子, 餡, 蒸し飯, 蒸飯, 紫御飯, 強飯, 鶯餅, 赤飯, ...
0.0018817    5 guest          : 饗, 食い積み, 食積, 伴食, 食客
0.0018785    4 plain          : 粗餐, 悪食, 粗食, 麁食
0.0018703    1 formal         : 正餐
0.0018571    5 suppress       : 飮む, 飲む, 飲みこむ, 飲み込む, 飲込む
0.0018428    2 household      : 饗, 食封
0.0018427    4 party          : 昼餉, 飲み会, 中食, 昼食
0.0018349   10 library        : 当館, 退館, 館外, 閉館, 開館, 来館, 本館, 入館, 休館, 館内
0.0018176    2 conceal        : 飮む, 飲む
0.0017927   15 feeding        : 餌場, 採餌, 索餌, 摂餌, 給餌, 餌づけ, 餌付け, 餌やり, 餌遣り, 採食, ...
0.0017834    3 demand         : 飮む, 丸飲み, 飲む
0.0017602    5 medicine       : 飮む, 薬餌, 飲み合わせ, 飲み薬, 飲む
0.0017266    1 servant        : 饗
0.0017040    5 people         : 飢民, 特養, 飲みこむ, 飲み込む, 飲込む
0.0017035   18 used           : 尻餠, 干飯, 冷やし飴, 飲泉, 供え餅, 供餅, 尻餅, 飯椀, 飯碗, 乾し飯, ...
0.0016727   11 meat           : 肉饅, 牡蠣飯, 混ぜご飯, 混ぜ御飯, 蕎麦飯, 蟹飯, 釜飯, 肉食, 薬食い, 悪食, ...
0.0016540    3 store          : 饗, 餅屋, 面食い
0.0016348    5 bitter         : 鏡餠, 玉飾り, 飽くまで, 飽く迄, 鏡餅
0.0016106    2 smoke          : 飮む, 飲む
0.0015917    1 great          : 餘り
0.0015849    2 accept         : 飮む, 飲む
0.0015820    2 master         : 饗, 飯綱
0.0015684    2 condition      : 飮む, 飲む
0.0015403    2 pratfall       : 尻餠, 尻餅
0.0015371   12 keep           : 飮む, 飾る, 飲む, 飼う, 食わす, 食い伸ばす, 食い延ばす, 食い下がる, 食い下る, 食いとめる, ...
0.0015310    1 devouring      : 爆食
0.0015051    2 getting        : 飽き飽き, 採餌
0.0015004    8 dried          : 掻餅, 干飯, 猫飯, 水飯, かき餅, 乾し飯, 乾飯, 干し飯
0.0014986    7 foster         : 養い親, 養い育てる, 養母, 養親, 養女, 養父, 養う
0.0014974   11 eaten          : 鏡餠, 蒸し飯, 蒸飯, 切り餅, 切餅, 鏡餅, 月餅, 強飯, つまみ食い, 摘み食い, ...
0.0014698    5 consuming      : 爆食, 飲みかけ, 飲み掛け, 冷食, 寒食
0.0014153    2 feast          : 饗する, 饗宴
0.0013843    3 plume          : 飾り羽, 羽根飾り, 羽飾り
0.0013727    4 two            : 鏡餠, 椿餅, 重ね餅, 鏡餅
0.0013726   18 diet           : 食養, 食餌, 素食, 蔬食, 米食, 悪食, 偏食, 美食, 肉食, 粗食, ...
0.0013517    1 freezing       : 飢凍
0.0013421    6 jam            : 餡ころ, 白餡, 餡蜜, 餡こ, 餡子, 餡
0.0013408    1 freeze         : 飢え凍える
0.0013375    5 kudzu          : 葛餡, 餡かけ, 餡掛け, 餡, 葛餅
0.0013365   16 make           : 飮む, 包み飾る, 飲む, 飲ます, 食う, 食いっぱぐれる, 食いっ逸れる, 食いはぐれる, 食い逸れる, 食い逸れ, ...
0.0013269    3 orange         : 鏡餠, 玉飾り, 鏡餅
0.0013259    4 sticky         : 餠, 餅踏み, 餅粉, 餅
0.0013240    3 head           : 饗, 食い下がる, 食い下る
0.0012890    3 enough         : 食べ飽きる, 食いだめ, 食い溜め
