Summary: {Weight} {token}: {words[0:10]}
0.0012679    1 cricket        : 闘蟋
0.0012189    1 met            : 久闊
0.0012096    2 round          : 闕腋, 春闘
0.0011996    1 unavailable    : 閊える
0.0011976    1 largehearted   : 寛闊
0.0011859    1 inspect        : 閲する
0.0011855    3 obstruction    : 鼻閉, 閉そく, 閉塞
0.0011772    1 worn           : 闕腋
0.0011757    1 wife           : 令閨
0.0011505    2 examination    : 査閲, 検閲
0.0011361    1 mater          : 学閥
0.0011325    1 incautious     : 迂闊
0.0011325    1 unobservant    : 迂闊
0.0011316    3 obstacle       : 閊え, 関門, 難関
0.0011281    1 elapse         : 閲する
0.0011276    3 month          : 閏月, 開炉, 月間
0.0011182    9 school         : 学閥, 閉校, 貞門, 門流, 門派, 名門, 校門, 一門, 開校
0.0011129    5 traditional    : 闕腋, 中門, 間の手, 本間, 鏡開き
0.0011080    1 lighthearted   : 快闊
0.0010992    1 clog           : 閊える
0.0010992    1 blocked        : 閊える
0.0010946    8 peaceful       : 長閑やか, 清閑, 閑寂, 安閑, 長閑, 長閑か, 閑か, 閑静
0.0010888    1 inadvertent    : 迂闊
0.0010834    1 stutter        : 閊える
0.0010725    2 neglect        : 久闊, 等閑
0.0010724   13 temple         : 仏閣, 閉院, 門跡, 山門, 門主, 中門, 三門, 唐門, 開炉, 開院, ...
0.0010569    1 stumble        : 閊える
0.0010569    1 stammer        : 閊える
0.0010546    3 career         : 閲歴, 切り開く, 切開く
0.0010371    8 entrance       : 閨門, 茅門, 閉ざす, 玄関, 洞門, 門口, 正門, 門
0.0010296    6 leisure        : 小閑, 少閑, 閑暇, 閑人, 閑, 片手間
0.0010283    1 examine        : 閲する
0.0010232    1 rainy          : 五月闇
0.0010150    5 barrier        : 関守, 関所, 関門, 難関, 関
0.0010142    1 heedless       : 迂闊
0.0010130    2 shelf          : 高閣, 閉架
0.0010071    7 relationship   : 閨門, 関り合い, 関わり合い, 関係, 続き間, 間がら, 間柄
0.0010060   14 house          : 閨, 茅門, 閉門, 門並, 門並み, 税関, 門違い, 門構, 門構え, 間取, ...
0.0009994    6 battle         : 闘い, 関ケ原, 関ヶ原, 闘争, 闘う, 戦闘
0.0009927    1 embolism       : 閏
0.0009927    1 intercalation  : 閏
0.0009889   10 something      : 間に合わす, 関わりあう, 関わり合う, 閑, 関知, 間違える, 半間, 開基, 開帳, 開張
0.0009877    8 make           : 間に合わす, 闘わす, 闘う, 間にあう, 間に合う, 間違える, 間違う, 開ける
0.0009773    1 intercalary    : 閏月
0.0009706    4 ministry       : 内閣, 霞が関, 霞ケ関, 霞ヶ関
0.0009689    1 piled          : 閊える
0.0009634    1 halt           : 閊える
0.0009632    6 Japanese       : 闕腋, 霞が関, 霞ケ関, 霞ヶ関, 間の手, 本間
0.0009615    2 indiscreet     : 無闇矢鱈, 無闇
0.0009600    6 life           : 閨門, 閑居, 閑地, 死闘, 関, 門出
0.0009563    3 reckless       : 無闇矢鱈, 闇雲, 無闇
0.0009478    1 cheerful       : 快闊
0.0009474   14 space          : 歯間, 字間, 樹間, 株間, 眼間, 間隔, 柱間, 狭間, 迫間, つかの間, ...
0.0009471    2 spouse         : 空閨, 閑
0.0009433    2 difficulty     : 閊え, 難関
0.0009421    7 distance       : 径間, 間合, 間合い, 間遠, 柱間, 京間, 車間
0.0009370    4 closure        : 閉扉, 閉山, 閉鎖, 閉会
