Summary: {Weight} {token}: {words[0:10]}
0.0014584   17 formation      : 編隊, 隊伍, 隊形, 陣形, 隊列, 方陣, 陣立, 陣立て, 陣列, 陣容, ...
0.0014497    2 observe        : 隨う, 随う
0.0014452    7 Buddha         : 南無阿弥陀仏, 仏陀, 阿弥陀, 阿彌陀, 五障, お陰, 御陰
0.0014431    6 verge          : 覚め際, 瀬戸際, 寝際, 真際, 間際, 際
0.0014149    2 miscellaneous  : 隨筆, 随筆
0.0013965    2 aperture       : 細隙, 空隙
0.0013782    3 inhibition     : 阻害, 阻碍, 阻礙
0.0013496    1 playbook       : 院本
0.0013476   14 cover          : 埃除け, 雨除け, 塗り隠す, 物陰, おおい隠す, 覆い隠す, 目隠し, 包み隠す, 押し隠す, 釘隠, ...
0.0013358    5 team           : 阪神, 分隊, 陣容, 隊員, 隊
0.0013306    2 Sanskrit       : 阿字, 陀羅尼
0.0013218    3 adjoin         : 隣り合わせる, 隣り合う, 隣合う
0.0013193    2 engage         : 隨う, 随う
0.0013149    4 age            : 阪, 陳ねる, 随神, 隔世
0.0013034    7 concealment    : 隠伏, 包み隠し, 陰蔽, 隠滅, 隠ぺい, 隠蔽, 隠匿
0.0012971    4 yield          : 隨う, 随う, 降伏, 降服
0.0012947    5 dangerous      : 険呑, 険難, 険悪, 際どい, 際疾い
0.0012931    2 literary       : 隨筆, 随筆
0.0012926    6 cranny         : 隈々, 隈隈, 隅々, 隅隅, 隈なく, 隈無く
0.0012887    6 company        : 阪神, 陪観, 中隊, 隊, 一隊, 交際
0.0012880    1 tempting       : 擠陥
0.0012854    9 period         : 陪冢, 陪塚, 時限, 期限, 本陣, 中陰, 陰間, 除目, 障り
0.0012831    7 gap            : 空隙, 隔たり, 欠陥, 隙き間, 隙間, 隙, 間隙
0.0012605    3 upstairs       : 上階, 二階, 階上
0.0012590    5 gradation      : 階調, 隈, 段階, 隈取, 隈取り
0.0012580    9 end            : 限, 限り, 限りなく, 限り無く, 際限, 降り口, 際涯, 陣地, 降す
0.0012367    3 Hydrangea      : 額紫陽花, 山紫陽花, 紫陽花
0.0012343    1 server         : 陪膳
0.0012289    2 serve          : 隨う, 随う
0.0012255    4 look           : 険相, 陳ねこびる, 陰険, 険
0.0012131    6 two            : 出隅, 入隅, 隔週, 二院, 陰謀, 隠謀
0.0012100    4 crack          : 罅隙, 寸隙, 隙き間, 隙間
0.0012055    1 bigoted        : 頑陋
0.0012037    9 side           : 隣辺, 隣り合う, 隣合う, 陸側, 附く, 山陽, 際, 陣地, 陰
0.0012018    3 rule           : 隨う, 随う, 院政
0.0011987    3 rise           : 隆替, 隆起, 興隆
0.0011814    2 sickness       : 悪阻, 障り
