Summary: {Weight} {token}: {words[0:10]}
0.0555556    1 notwithstanding: 雖も
0.0009002   26 collection     : 集取, 拾集, 雑纂, 論集, 曲集, 集票, 収集, 蒐集, 集音, 取集, ...
0.0008987    1 opposed        : 隼人
0.0008912    1 decline        : 人離れ
0.0008909    1 novice         : 雛
0.0008907    1 eastern        : 雉鳩
0.0008881    1 district       : 人離れ
0.0008881    1 engage         : 雇い入れる
0.0008838    2 specimen       : 雛型, 雛形
0.0008838    2 sample         : 雛型, 雛形
0.0008759    2 alias          : 雅称, 雅号
0.0008708    1 greenhorn      : 雛
0.0008621    4 magnificent    : 雄偉, 雄大, 雄姿, 雄渾
0.0008592    2 miniature      : 雛型, 雛形
0.0008588    1 times          : 隼人
0.0008485    1 accentor       : 岩雲雀
0.0008449    2 English        : 雛菊, 金雀児
0.0008440    2 gallery        : 雛壇, 雛段
0.0008417    6 isolation      : 離群, 単離, 遊離, 離隔, 分離, 隔離
0.0008267    2 daily          : 日雇, 日雇い
0.0008197    1 poetic         : 雅語
0.0008161    1 bitch          : 雌犬
0.0008158    1 Prunella       : 岩雲雀
0.0008124    2 paper          : 流し雛, 雁皮
0.0008121    6 departure      : 離山, 離発着, 離任, 離日, 離郷, 離京
0.0008101    1 Otis           : 野雁
0.0008096    5 people         : 隼人, 雑人, 人集め, 集英, 参集
0.0008005    1 product        : 客離れ
0.0007956    1 Bellis         : 雛菊
0.0007913    1 category       : 雑著
0.0007889    2 shop           : 客離れ, 難民
0.0007746    1 alpine         : 岩雲雀
0.0007742    2 pen            : 雅称, 雅号
0.0007733    7 alienation     : 離反, 離叛, 離間, 離れ, 背離, かい離, 乖離
0.0007662    1 state          : 隼人
0.0007624    1 field          : 雛罌粟
0.0007588    2 said           : 寒雀, 朱雀
0.0007531    1 ripening       : 稲雀
0.0007489    2 platform       : 雛壇, 雛段
0.0007352    1 Eurasian       : 五十雀
0.0007315    2 model          : 雛型, 雛形
0.0007308    2 animal         : 雌, 種雄
0.0007269    1 hornet         : 雀蜂
0.0007107    2 many           : 雑著, 万難
0.0007020    1 manliness      : 雄性
0.0007009    1 displayed      : 雛遊び
0.0006979    1 tasty          : 寒雀
0.0006979    1 healing        : 寒雀
0.0006874    1 horse          : 雄馬
0.0006870    3 becoming       : 難化, 巣離れ, 離れ
0.0006842    1 cow            : 雌牛
0.0006813    1 broom          : 金雀児
0.0006802    2 southern       : 朱雀, 雀鯛
0.0006732    1 gifted         : 鳳雛
0.0006689    2 waterfall      : 雌滝, 雄滝
0.0006531    1 victory        : 雌雄
0.0006496    1 genre          : 雅
0.0006428    1 increasing     : 難化
0.0006337    2 style          : 文雅, 雅文
0.0006295    2 tea            : 雁金, 雁が音
0.0006269    2 stand          : 雛壇, 雛段
0.0006260    4 family         : 雀蛾, 離籍, 久離, 旧離
0.0006238    1 pistillate     : 雌花
0.0006233    1 permanent      : 常雇い
0.0006230    1 breeze         : 雄風
0.0006198    2 masterpiece    : 雄篇, 雄編
0.0006117    1 defeat         : 雌雄
0.0006090    1 exam           : 難化
0.0006034    2 enterprise     : 雄途, 雄図
0.0005974    6 estrangement   : 離反, 離叛, 離間, 背離, かい離, 乖離
0.0005862    6 assorted       : 雑色, 雑書, 雑件, 雑株, 雑穀, 雑木
0.0005817    2 form           : 雛型, 雛形
0.0005808    1 drone          : 雄蜂
0.0005746    1 bee            : 雄蜂
0.0005735    6 distress       : 兵難, 危難, 難渋, 遭難, 困難, 苦難
0.0005717    3 Passer         : 黄雀, 雀, 家雀
0.0005678    3 book           : 雑著, 集録, 画集
0.0005675    7 disaster       : 大難, 海難, 国難, 急難, 遭難, 災難, 難
0.0005673    1 steer          : 雄牛
0.0005663    1 promise        : 鳳雛
0.0005621    7 rough          : 難航, 蕪雑, 粗雑, 難路, 難所, 雑, 大雑把
0.0005543    2 powerful       : 雄藩, 雄勁
0.0005493    1 Ficus          : 雀榕
0.0005471    1 affable        : 温雅
0.0005440    2 island         : 離れ島, 離島
0.0005414    1 Emberiza       : 蒿雀
0.0005394    4 made           : 雁金, 雁が音, 雁擬き, 雁皮
0.0005375    1 charter        : 雇う
0.0005368    1 fig            : 雀榕
0.0005339    1 ram            : 雄羊
0.0005296    1 Pinus          : 雌松
0.0005275    1 artistry       : 雅致
0.0005253    1 assistant      : 雇員
0.0005239    1 cowfish        : 海雀
0.0005239    1 Simon          : 雌竹
