Summary: {Weight} {token}: {words[0:10]}
0.0007946    4 seizing        : 掌握, 手づかみ, 手掴み, 先手
0.0007943    1 tic            : 痙攣
0.0007915    6 official       : 職掌, 捕り手, 極り手, 決まり手, 決り手, 捕手
0.0007901    2 expression     : 引き攣る, 上手い
0.0007829    3 inheritance    : 継承, 相承, 承継
0.0007726    1 office         : 職掌
0.0007662    1 govern         : 掌る
0.0007662    1 administer     : 掌る
0.0007659    6 giving         : 挙示, 挙例, お手あげ, お手上げ, 手引, 手引き
0.0007615    3 looking        : 看視, 手離れ, 手入れ
0.0007604    4 direct         : 掌る, 直撃, 掃き手, 手抜き
0.0007579    1 skin           : 引き攣る
0.0007566    4 strike         : 雷撃, 摩る, 打撃, 撃つ
0.0007526    8 something      : 掌中, 挙げる, 挙る, 呉れ手, 手まさぐり, 手弄り, 手向ける, 手乗り
0.0007507    1 enlightenment  : 摩羅
0.0007415    1 conductor      : 車掌
0.0007391    7 wear           : 摩耗, 摩滅, 摩損, 摩れる, 摩り切れる, 手ずれ, 手擦れ
0.0007386    1 cutter         : 切り手
0.0007368    5 army           : 看護, 旗挙, 旗挙げ, 挙兵, 寄せ手
0.0007265    3 striking       : 撃柝, 手刀, 手打ち
0.0007256    3 grasping       : 掌握, 手づかみ, 手掴み
0.0007236    3 chafe          : 摩れ合う, 摩れる, 摩る
0.0007228    1 share          : 分掌
0.0007216    9 bare           : 空拳, 捕り手, 徒手, 赤手, 捕手, 手づかみ, 手掴み, 手打ち, 素手
0.0007206    4 line           : 承句, 承, 挙げ句, 挙句
0.0007195    4 second         : 承句, 承, 再挙, 後手
0.0007174    2 find           : 看破る, 承ける
0.0007134    2 sick           : 看取る, 看取り
0.0007130    4 abrasion       : 摩耗, 摩滅, 摩損, 摩り切る
0.0007101    1 hammer         : 撃鉄
0.0007068    1 fish           : 砂摩り
0.0006962    1 convulsion     : 痙攣
0.0006934    1 commanding     : 掌握
0.0006929    5 prayer         : 合掌, 挙げる, かしわ手, 柏手, 拍手
0.0006921    8 holding        : 掌握, 挙式, 手控え, 手離し, 手放し, 手乗り, 手づかみ, 手掴み
0.0006913    2 division       : 分掌, 手分け
0.0006770    3 succession     : つるべ撃ち, 承継, 継承
0.0006718    7 rubbing        : 摩擦, 摩れ, 摩り切る, 追い撃ち, 追撃ち, もみ手, 揉み手
0.0006696    1 little         : 虫拳
0.0006686    1 triangular     : 合掌
0.0006630    4 certificate    : 切り手, 手帖, 手帳, 切手
0.0006585    1 duty           : 分掌
0.0006559    6 care           : 看る, 看取る, 手入れ, 手当, 手当て, 手
0.0006480    3 nothing        : 空拳, 拱手, 空手
0.0006450    1 justice        : 掌理
0.0006349    3 act            : 軽挙, 美挙, 手討ち
0.0006320    5 poem           : 承句, 承, 詠み手, 読み手, 読手
0.0006279    4 manage         : 掌る, 手がける, 手懸ける, 手掛ける
0.0006230    1 showing        : 挙示
0.0006211    2 understood     : 承知の助, 承知之助
0.0006162    1 kung           : 拳法
0.0006160    1 handgun        : 拳銃
0.0006016    2 pressing       : 合掌, 手詰め
0.0005987    7 busy           : 鞅掌, 手透き, 手隙, 手明き, 手空き, 天手古舞, 手すき
0.0005977    1 random         : 乱撃
0.0005928    1 administration : 掌理
0.0005901    1 riddance       : 三摩耶
0.0005841    3 new            : 旗挙, 旗挙げ, 新手
0.0005825    3 sure           : 承知の助, 承知之助, 手堅い
0.0005820    4 action         : 暴挙, 遊撃, 挙, 一挙
0.0005773    3 pincer         : 挟み撃ち, 夾撃, 挟撃
0.0005767    4 gambling       : 手張り, 摩る, 手慰み, 手遊び
0.0005761    8 party          : 挙党, 旗挙, 旗挙げ, 追い手, 追っ手, 追手, 一手, 相手
0.0005755    1 pistol         : 拳銃
0.0005718    3 shot           : 早撃ち, 撃ち止める, 撃止める
0.0005682   14 time           : 三摩耶, 看板, 片手間, 手間ひま, 手間暇, 手間隙, 手間どる, 手間取る, 手慰み, 天手古舞, ...
0.0005642    3 envelopment    : 挟み撃ち, 夾撃, 挟撃
0.0005627   12 money          : 手張り, 摩る, 摩り切る, 手もと, 手元, 手許, 酒手, 手付, 手付け, 元手, ...
0.0005625    1 fu             : 拳法
0.0005618    1 reason         : 挙示
0.0005594    5 raid           : 遊撃, 爆撃, 襲撃, 攻撃, 手入れ
0.0005559    2 warning        : 三摩耶, 電撃
0.0005558    1 explanation    : 挙示
0.0005535    3 reading        : 看経, 看破, 手相
0.0005500    3 interception   : 邀撃, 要撃, 迎撃
0.0005492    1 Mara           : 摩羅
0.0005474    1 discover       : 看破る
0.0005453    3 give           : 挙げる, 挙がる, 撃つ
0.0005442    1 stone          : 摩尼
0.0005344    3 acceptance     : 承知, 承諾, 承引
0.0005336    1 penetrate      : 看破る
0.0005309    3 behavior       : 挙措, 挙動, 挙
0.0005303    2 heroic         : 壮挙, 義挙
0.0005287    5 work           : 分掌, 着手, 手がける, 手懸ける, 手掛ける
0.0005287    2 massage        : あん摩, 按摩
0.0005254    3 sniping        : ねらい撃ち, 狙い撃ち, 狙撃
0.0005251    1 management     : 管掌
0.0005198    1 cocking        : 撃鉄
0.0005169    3 shock          : 衝撃, 電撃, 打撃
0.0005165    2 enumeration    : 列挙, 枚挙
0.0005109    3 behaviour      : 挙措, 挙動, 挙
0.0005095    1 law            : 掌理
0.0005072    1 frame          : 合掌
0.0005060    2 least          : 手ん棒, 手棒
0.0005050    1 deathwatch     : 看取り
0.0005042   21 move           : 挙, 禁じ手, 巧手, 手止まり, 本手, 名手, 妙手, 好手, 封じ手, 手抜き, ...
0.0005023    1 development    : 承句
0.0005019    1 train          : 車掌
0.0005018    3 intercept      : 迎え撃つ, 邀え撃つ, 迎撃
0.0004991    2 seeing         : 看破, 看取
0.0004950    2 gunfire        : 撃ち合う, 撃ち払う
0.0004949    4 match          : 摩る, 手合, 手合い, 一手
0.0004896    1 equality       : 三摩耶
0.0004890    3 watch          : 撃柝, 手巻き, 手巻
0.0004884    5 wooden         : 撃壌, 護摩, 組み手, 組手, 手鉤
0.0004861    1 roof           : 合掌
0.0004859    1 equate         : 看做す
0.0004859    1 presumptive    : 看做し
0.0004760    1 scales         : 看貫
0.0004758    2 agreeing       : 承伏, 承服
0.0004758    2 consenting     : 承伏, 承服
0.0004739    3 ceremony       : 挙式, 挙行, 挙げる
0.0004735    1 text           : 承句
0.0004721    1 deem           : 看做す
0.0004712    3 hit            : 直撃, 撃つ, 一撃
0.0004700    7 audience       : 看客, 下手, 聞き手, 聞手, 聴き手, 聴手, 上手
0.0004680    7 take           : 看る, 承ける, 承る, 手間どる, 手間取る, なり手, 為手
0.0004678    5 look           : 看る, 看板, 手がける, 手懸ける, 手掛ける
0.0004675    1 fit            : 痙攣
0.0004657    1 plot           : 看破る
0.0004654    5 chanting       : 看経, あいの手, 合いの手, 合の手, 間の手
0.0004639    1 esoteric       : 三摩耶
0.0004639    1 weighing       : 看貫
0.0004611    4 made           : 出挙, 挙がる, 十手, 葦手
0.0004561    2 missing        : 手ん棒, 手棒
0.0004526    1 loan           : 出挙
0.0004525    1 see            : 看破る
