Summary: {Weight} {token}: {words[0:10]}
0.1152466    1 phenomenological: 毘盧遮那
	made WORD[75,   1]: 0.0011304 比翼
	made WORD[75,   2]: 0.0006522 西比利亜
TOKEN[76]: 0.0017778    1 cake
	cake WORD[76,   1]: 0.0017778 西比利亜
TOKEN[77]: 0.0017396    1 entertainer
	entertainer WORD[77,   1]: 0.0017396 比丘尼
TOKEN[78]: 0.0016558    1 someone
	someone WORD[78,   1]: 0.0008279 比える
TOKEN[79]: 0.0016113    1 garment
	garment WORD[79,   1]: 0.0016113 比翼
TOKEN[80]: 0.0015877    1 blame
	blame WORD[80,   1]: 0.0015877 比丘尼
TOKEN[81]: 0.0015616    1 double
	double WORD[81,   1]: 0.0015616 比翼
TOKEN[82]: 0.0015476    1 similitude
	similitude WORD[82,   1]: 0.0015476 比況
TOKEN[83]: 0.0015454    1 analogy
	analogy WORD[83,   1]: 0.0015454 類比
TOKEN[84]: 0.0015377    1 family
	family WORD[84,   1]: 0.0015377 比目魚
TOKEN[85]: 0.0015325    1 captain
	captain WORD[85,   1]: 0.0015325 甲比丹
TOKEN[86]: 0.0015251    1 flight
	flight WORD[86,   1]: 0.0015251 比翼
TOKEN[87]: 0.0015202    1 Dutch
	Dutch WORD[87,   1]: 0.0015202 甲比丹
TOKEN[88]: 0.0014978    1 trader
	trader WORD[88,   1]: 0.0014978 甲比丹
TOKEN[89]: 0.0014744    1 monk
	monk WORD[89,   1]: 0.0014744 比丘
TOKEN[90]: 0.0014628    1 servant
	servant WORD[90,   1]: 0.0014628 比丘尼
TOKEN[91]: 0.0014600    1 trading
	trading WORD[91,   1]: 0.0014600 甲比丹
TOKEN[92]: 0.0014586    1 halibut
	halibut WORD[92,   1]: 0.0014586 比目魚
TOKEN[93]: 0.0014517    1 European
	European WORD[93,   1]: 0.0014517 甲比丹
TOKEN[94]: 0.0014262    1 proportional
	proportional WORD[94,   1]: 0.0014262 比例
TOKEN[95]: 0.0014157    1 density
	density WORD[95,   1]: 0.0014157 比重
TOKEN[96]: 0.0014143    1 single
	single WORD[96,   1]: 0.0014143 比翼
TOKEN[97]: 0.0013888    1 prostitute
	prostitute WORD[97,   1]: 0.0013888 比丘尼
TOKEN[98]: 0.0013866    1 heat
	heat WORD[98,   1]: 0.0013866 比熱
TOKEN[99]: 0.0013756    1 toady
	toady WORD[99,   1]: 0.0013756 比目魚
TOKEN[100]: 0.0013464    1 gravity
	gravity WORD[100,   1]: 0.0013464 比重
TOKEN[101]: 0.0013330    1 hypothesis
	hypothesis WORD[101,   1]: 0.0013330 比定
TOKEN[102]: 0.0013228    1 parallel
	parallel WORD[102,   1]: 0.0013228 比類
TOKEN[103]: 0.0012625    1 olive
	olive WORD[103,   1]: 0.0012625 比目魚
TOKEN[104]: 0.0012613    1 race
	race WORD[104,   1]: 0.0012613 駆け比べ
TOKEN[105]: 0.0012354    1 importance
	importance WORD[105,   1]: 0.0012354 比重
TOKEN[106]: 0.0012280    1 representation
	representation WORD[106,   1]: 0.0012280 比例
TOKEN[107]: 0.0012200    1 percentage
	percentage WORD[107,   1]: 0.0012200 比率
TOKEN[108]: 0.0012198    1 bastard
	bastard WORD[108,   1]: 0.0012198 比目魚
TOKEN[109]: 0.0011981    1 chief
	chief WORD[109,   1]: 0.0011981 甲比丹
