Summary: {Weight} {token}: {words[0:10]}
0.0013068   10 grow           : 倦み疲れる, 倦きる, 飽きる, 肥え太る, 肥える, 肥る, 色あせる, 色褪せる, 色づく, 色付く
0.0013043    1 unfounded      : 杞憂
0.0013042    1 tool           : 鉋
0.0012900   12 getting        : 飽き飽き, 抱きぐせ, 抱き癖, 寝起き, 根絶やし, 根絶, 起床, 巻き添い, 巻き添え, 巻添え, ...
0.0012786    1 nobility       : 袍
0.0012780    1 herpes         : 疱疹
0.0012600    7 area           : 商圏, 圏外, 圏内, 圏, 巻き狩り, 巻狩, 巻狩り
0.0012516   28 arms           : 縦抱き, 抱きおろす, 抱き下ろす, 抱き起こす, 抱き起す, 抱きかかえる, 抱き抱える, 抱きよせる, 抱き寄せる, 抱え上げる, ...
0.0012498    8 soil           : 肥土, 肥え土, 下肥, 肥, 肥し, 肥やし, 鋤き起こす, 鋤き起す
0.0012405    1 needless       : 杞憂
0.0012346    4 public         : 巷間, 巷, 風紀, 支配
0.0012294    5 rich           : 肥土, 肥え土, 肥よく, 肥沃, 肥える
0.0012276    3 weariness      : 倦厭, 倦怠, 飽き
0.0012244    3 wrapper        : 包袋, 藁苞, 上包み
0.0012223    2 forced         : 炮烙, 移配
0.0012198    3 cell           : 空胞, 肺胞, 細胞
0.0012073    1 duke           : 公妃
0.0012025    3 sphere         : 圏外, 商圏, 圏内
0.0011992    1 variola        : 疱瘡
0.0011963    3 eating         : 食べ飽きる, 飽食, 節忌
0.0011920    3 private        : 鞄持ち, 一己, 私記
0.0011872    2 ovarian        : 濾胞, 卵胞
0.0011746    1 groundless     : 杞憂
0.0011609    1 baking         : 炮烙
0.0011595    6 discipline     : 校紀, 軍紀, 風紀, 党紀, 綱紀, 紀律
0.0011578    3 carrying       : 鞄持ち, 横抱き, 抱っこ
0.0011525    9 revision       : 改案, 変改, 更改, 改版, 改廃, 改訂, 改定, 改正, 改
0.0011406    1 earthenware    : 炮烙
0.0011297    5 stop           : 已める, 已む, 跡絶える, 途絶える, 絶する
0.0011263    3 region         : 商圏, 圏外, 圏内
0.0011202    1 vaccination    : 疱瘡
0.0011095    1 apprehension   : 杞憂
0.0011052    7 worn           : 袍, 八巻, 湯巻き, 腹巻, 腹巻き, 襟巻, 襟巻き
0.0010936    2 festival       : 港祭り, 祭祀
0.0010924    1 pimple         : 面皰
0.0010852    3 day            : 忌み日, 節忌, 忌日
0.0010829    3 rank           : 鞄持ち, 改易, 位記
0.0010828    1 pipe           : 炮烙
0.0010770    7 high           : 鞄持ち, 高配, 屈起, 崛起, 絶讃, 絶賛, 奮い起つ
0.0010748   19 manure         : 緑肥, 下肥, 元肥, 積み肥, 水肥, 原肥, 厩肥, 基肥, 寒肥, 追い肥, ...
0.0010739   11 distribution   : 配光, 配賦, 分配, 配本, 配分, 配布, 配電, 配信, 配合, 配給, ...
0.0010677    1 charcoal       : 炮烙
0.0010650   20 hold           : 引っ抱える, 把む, 把持, 把握, 抱きかかえる, 抱き抱える, 抱える, 抱く, 抱き込む, 抱込む, ...
0.0010529   11 interest       : 倦む, 倦きる, 飽きる, 艶, 呼び起こす, 呼び起す, 呼起こす, 呼起す, 喚び起こす, 喚び起す, ...
0.0010488    5 form           : 炮烙, 三つ巴, 石抱き, 記入, 色界
0.0010429    1 Croton         : 巴豆
0.0010400    1 yap            : 咆える
0.0010400    1 yelp           : 咆える
0.0010369    5 become         : 倦きる, 飽きる, 肥える, 死に絶える, 絶える
0.0010351    5 Japan          : 勝絶, 書紀, 記紀, 紀, 記
0.0010293    1 ceremonial     : 素袍
0.0010267   20 change         : 改氏, 改号, 変改, 改名, 改変, 改訂, 改定, 改題, 改姓, 改元, ...
0.0010234    1 walk           : 炮烙
