Summary: {Weight} {token}: {words[0:10]}
0.0012162   15 old            : 旧敵, 旧弊, 故実, 故旧, 故里, 故い, 故老, 故人, 故郷, 宿敵, ...
0.0012155   23 political      : 政柄, 政況, 政略, 政友, 政変, 復党, 政敵, 政情, 政財界, 政権, ...
0.0012128    9 going          : 行乞, 容赦, 失敬, 敢行, 往復, 惚気話, 一目散, 惚気, 気抜け
0.0012117    1 parch          : 熬る
0.0011970    2 elaborate      : 緻密, 巧緻
0.0011936    5 young          : 嫩葉, 牧童, 放流, 下放, 幼気
0.0011872    1 toast          : 熬る
0.0011857    3 steamboat      : 蒸汽, 汽船, 蒸気
0.0011811    2 equate         : 看做す, 見做す
0.0011771    2 winter         : 毎冬, 厳冬
0.0011739    1 vegetation     : 藪沢
0.0011729    1 arms           : 工廠
0.0011725    5 amazement      : 驚がく, 驚愕, 驚異, 驚き, 一驚
0.0011681    4 moving         : 移牧, 敷引, 敷引き, 腹鳴
0.0011636    1 loin           : 側腹
0.0011605    2 Aedes          : 薮蚊, 藪蚊
0.0011544    2 dead           : 斃牛馬, 斃死
0.0011506    2 presumptive    : 看做し, 見做し
0.0011500    2 suppression    : 陰蔽, 隠蔽
0.0011389    1 acquire        : 斃牛馬
0.0011270    2 deem           : 看做す, 見做す
0.0011192    1 Trionychidae   : 鼈
0.0011164    2 train          : 汽車, 警乗
0.0011130   10 Buddhism       : 三教, 仏敵, 密教, 諸教, 華厳, 外教, 顕教, 仏教, 佛教, 聖教
0.0011114   15 bad            : 病氣, 履き心地, 弊習, 悪弊, 弊, 故意, 敵役, 悪政, 病気, 臭気, ...
0.0011103    5 flank          : 側腹, わき腹, 脇腹, 横腹, 横っ腹
0.0010761    1 roast          : 熬る
0.0010670    2 Eve            : 大晦, 大晦日
0.0010634    2 hornet         : 薮蛇, 藪蛇
0.0010623    5 thicket        : 薮, 繁み, 笹藪, 草藪, 藪
0.0010571    2 cute           : 激かわ, 幼気
0.0010560    2 frightened     : 吃驚, 喫驚
0.0010547    3 look           : 一瞥, 突っ放す, 雲気
0.0010537    5 clever         : 慧敏, 敏い, 敏, 機敏, 鋭敏
0.0010477    1 abduct         : 拉致る
0.0010303    2 crag           : 巨巌, 巌
0.0010212    2 stirring       : 薮蛇, 藪蛇
0.0010211    1 spring         : 毎春
0.0010143    2 unnecessary    : 薮蛇, 藪蛇
0.0010090    2 learn          : 見倣う, 教わる
0.0010086    6 trouble        : 薮蛇, 繁, 藪蛇, 事故, 故障, 手数
0.0010084    1 supercilious   : 傲岸
0.0010049    1 kidnap         : 拉致る
0.0010014    5 hall           : 幣殿, 乞児, 乞食, 宴遊, 千畳敷
0.0009959   12 taking         : 羅致, 後攻め, 後攻, 失敬, 履修, 履習, 拉致, 自警, 攻略, 激写, ...
0.0009956    2 luxury         : 贅沢, 贅
0.0009915    3 unexpected     : 變, 敢えて, 敢て
0.0009903    5 storm          : 雨霰, 攻め取る, 攻め落す, 攻め落とす, 攻略
0.0009848    1 bilge          : 鼈
0.0009833   13 water          : 汽水, 覆水, 撒水, 復水, 水攻め, 放水, 遊魚, 水遊び, 散水, 放流, ...
0.0009798    2 mosquito       : 薮蚊, 藪蚊
0.0009735    6 footwear       : 外履き, 履き潰す, 木履, 履き物, 履物, 履く
0.0009700    1 ice            : 氷霰
0.0009693    1 version        : 版数
0.0009681    4 track          : 履帯, 複々線, 複複線, 複線
0.0009666    8 party          : 吃驚, 喫驚, 敵方, 復党, 宴遊, 政党, 政調, 座敷
0.0009662    1 soft           : 雪霰
0.0009648    1 boil           : 熬る
0.0009613    6 complex        : 複体, 繁雑, 複素, 複文, 複雑, 複合
0.0009597    3 barrage        : 雨霰, 攻め, 放列
0.0009525    1 fishy          : 變
0.0009494    2 striped        : 薮蚊, 藪蚊
0.0009485    6 beggar         : 乞児, 乞食, 乞丐, もの乞い, 物乞, 物乞い
0.0009437    1 example        : 見倣う
0.0009413    3 outdoor        : 外履き, 下履, 下履き
0.0009395    4 double         : 複視, 複塩, 単複, 複線
0.0009385    2 nest           : 薮蛇, 藪蛇
0.0009348    3 admiration     : 驚嘆, 驚歎, 敬服
0.0009305    3 consider       : 看做す, 見做す, 切り放つ
0.0009277    2 invite         : 乞う, 邀える
0.0009260    7 aid            : 救ける, 救い, 救助, 救恤, 救済, 救護, 救急
0.0009252    2 growing        : 巌松, 繁り
0.0009226    3 impression     : 言い做す, 言做す, 感激
0.0009208    3 stock          : 移牧, 三枚目, 牧場
0.0009204    1 queer          : 變
0.0009199    7 reverence      : 敬神, 恭敬, 敬い, 尊敬, 崇敬, 敬, 畏敬
0.0009188    2 wand           : 大幣, 奉幣
0.0009154    4 historic       : 覆屋, 故址, 故里, 故郷
0.0009105   10 year           : 大晦, 毎年, 改暦, 数え年, 田遊, 田遊び, 暦数, 数え, 気学, 節気
0.0009100    2 snow           : 雪霰, 雪遊び
0.0009047    4 fleeting       : 敢えない, 敢え無い, 敢ない, 果敢ない
0.0009023    2 meticulous     : 細緻, 緻密
0.0009019    1 brackish       : 汽水
0.0008996    1 polyopia       : 複視
0.0008977    2 brought        : 薮蛇, 藪蛇
0.0008960    1 walkway        : 鼈
0.0008940    3 equivalent     : 看做す, 見做す, 匹敵
0.0008895    4 salvation      : 救い, 救世, 救済, 救国
0.0008883    2 smooth         : 言い做す, 言做す
0.0008853    2 disaster       : 變, 救民
0.0008803   19 administration : 町政, 労政, 藩政, 区政, 幕政, 新政, 執政, 政所, 民政, 法政, ...
0.0008799    6 overthrow      : 斃す, 攻め滅ぼす, 顚覆, 転覆, 顛覆, 覆す
0.0008760    1 dissemble      : 晦ます
0.0008741    4 transient      : 敢えない, 敢え無い, 敢ない, 果敢ない
0.0008667    6 Edo            : 斃牛馬, 藩政, 下屋敷, 組屋敷, 上屋敷, 切腹
0.0008659    4 wonder         : 驚嘆, 驚歎, 驚異, 驚き
0.0008653    2 regard         : 看做す, 見做す
0.0008621    3 pattern        : 見倣う, 下敷, 下敷き
0.0008525    1 according      : 移牧
0.0008523    5 force          : 拉致る, 力攻め, 腹芸, 神気, 火気
0.0008509    2 weird          : 變, 妖気
