Summary: {Weight} {token}: {words[0:10]}
0.0011962    2 prophecy       : 予言, 預言
0.0011962    4 weak           : 優柔, 柔い, 柔弱, 柔
0.0011928    2 tea            : 茅門, 揉捻
0.0011898    4 flexible       : 柔かい, 柔らかい, 柔らか, 柔軟
0.0011716    4 Japanese       : 酢橘, 茅潜り, 柔術, 湯桶
0.0011634    1 sweet          : 橘飩
0.0011561    6 used           : 茅門, 風呂桶, 湯桶, 留桶, 痛棒, 踊り字
0.0011471    4 money          : 預かり人, 預託, 流通, 融通
0.0011400    2 crushing       : 揉捻, 痛打
0.0011392    1 tan            : 鞣す
0.0011208    3 room           : 預かり所, 通る, 通す
0.0011199    1 strata         : 層序
0.0011119    2 left           : 預け物, 預かり物
0.0011077    4 attack         : 矛先, 痛打, 痛棒, 痛撃
0.0011052    1 nine           : 一通
0.0010838    2 straight       : 一通, 通る
0.0010816    8 traffic        : 一通, 人通り, 通り, 通ずる, 通じる, 通行, 交通, 開通
0.0010775   13 school         : 涌き, 校務, 湧き, 教務, 学務, 通塾, 通級, 通学, 通園, ちゃり通, ...
0.0010746    4 prowess        : 勇武, 武勇, 剛勇, 豪勇
0.0010704    2 winning        : 一通, 懐柔
0.0010680    5 criticism      : 矛先, 痛棒, 痛論, 痛罵, 痛言
0.0010663    1 Dactylis       : 鴨茅
0.0010556    2 frothing       : 涌き, 湧き
0.0010390    1 copy           : 一通
0.0010316    4 Chinese        : 矛, 通事, 通詞, 通辞
0.0010225    1 pure           : 一通
0.0010180    5 valiant        : 勇姿, 猛勇, 勇猛, 勇ましい, 勇夫
0.0010171    7 forecast       : 予報, 予想, 予言, 予期, 見通す, 見通, 見通し
0.0009927    1 suit           : 一通
0.0009903    2 weapon         : 矛, 柔術
0.0009856    2 propagate      : 涌く, 湧く
0.0009853    1 orange         : 橘
0.0009853    3 heroism        : 真勇, 義勇, 勇
0.0009818    1 accentor       : 茅潜り
0.0009776    1 document       : 一通
0.0009736    1 Java           : 蓮霧
0.0009736    2 true           : 真勇, 通用
0.0009638    1 brunt          : 矛先
0.0009616    1 Prunella       : 茅潜り
0.0009565    2 advancing      : 涌き, 湧き
0.0009446    2 hatch          : 涌く, 湧く
0.0009446    2 surging        : 涌き, 湧き
0.0009436    1 broad          : 浅茅生
0.0009352    1 dress          : 鞣す
0.0009321    2 memory         : 暗誦, 諳誦
0.0009297    1 halberd        : 銅矛
0.0009265    1 contradiction  : 矛盾
0.0009245    6 advance        : 勇往, 予約, 予納, 予察, 予告, 予め
0.0009242    4 role           : 所務, 務まる, 任務, 務める
0.0009198    2 parasitic      : 涌く, 湧く
0.0009124    4 rubbing        : 揉み出す, 揉み手, 揉み洗い, 塩揉み
0.0009085    1 pike           : 矛
0.0009011    1 inconsistency  : 矛盾
0.0008980    4 point          : 矛先, 圧痛点, 痛点, 通る
0.0008945    1 chanting       : 誦経
0.0008941    1 ordinal        : 序数
0.0008913    1 lance          : 矛
0.0008864    1 letter         : 一通
0.0008863    2 read           : 誦する, 見通す
0.0008855    3 premonition    : 予感, 予知, 予覚
0.0008691    8 severe         : 痛打, 痛棒, 手痛い, 痛論, 痛烈, 痛撃, 劇務, 激務
0.0008672    1 forestry       : 林務
0.0008605    1 confirm        : 復誦
0.0008600    3 jostle         : 揉み合う, 揉み合い, 揉む
0.0008590    2 surge          : 涌く, 湧く
0.0008569    3 sequence       : 序次, 序で, 順序
0.0008492    2 urgent         : 先務, 急務
0.0008464    3 song           : 序, 踊り歌, 踊歌
0.0008449    1 succession     : 層序
0.0008415    1 invocation     : 念誦
0.0008381    5 let            : 涌かす, 湧かす, 踊らす, 預ける, 通す
0.0008376    6 great          : 愛誦, 勇将, 勇名, 擦った揉んだ, 痛苦, 痛恨
0.0008364    1 orchard        : 鴨茅
0.0008289    1 parade         : 矛
0.0008252    4 blow           : 痛打, 吹き通す, 痛撃, 痛手
0.0008181    1 tremor         : 予震
0.0008121    2 arms           : 矛, 手踊り
0.0008106    6 religious      : 予言, 預言, 宗務, 教務, 務める, 務め
0.0007965    1 depositor      : 預け主
0.0007965    2 joy            : 涌く, 湧く
0.0007949    2 pressing       : 先務, 急務
0.0007939    1 decorated      : 矛
0.0007914    1 earnings       : 所務
0.0007882    1 float          : 矛
0.0007866    1 hand           : 一通
0.0007794    1 wax            : 蓮霧
0.0007773    4 temple         : 寺務, 揉み上げ, 作務, 法務
0.0007761    1 coulisse       : 樋
0.0007751    1 grip           : 矛
0.0007692    1 aim            : 矛先
0.0007691    2 entrance       : 茅門, 通用
0.0007682    1 object         : 預け物
0.0007681    1 focus          : 矛先
0.0007634    3 fruit          : 柑橘, 木通, 通草
0.0007632    4 gallant        : 勇姿, 勇壮, 勇敢, 勇ましい
0.0007580    3 examination    : 予診, 予審, 通過
0.0007538    1 gate           : 茅門
0.0007534    1 field          : 浅茅生
0.0007534    1 target         : 矛先
0.0007523    2 important      : 先務, 要務
0.0007488    2 cry            : 涌く, 湧く
0.0007474    4 tender         : 柔かい, 柔らかい, 柔らか, 柔和
0.0007442    2 argument       : 矛先, 痛論
0.0007412    1 insubstantial  : 柔
0.0007408    1 garden         : 茅門
0.0007401    1 bell           : 予鈴
0.0007400    1 whale          : 勇魚
0.0007319    4 idea           : 涌く, 湧く, 通念, 立て通す
0.0007314    3 due            : 涌き, 湧き, 痛み分け
0.0007290    1 mechanism      : 機序
0.0007249    1 feudal         : 所務
0.0007231    3 supple         : 柔かい, 柔らかい, 柔らか
0.0007216    9 high           : 勇む, 勇みたつ, 勇み立つ, 喜び勇む, 勇躍, 霧雲, 目通り, 表通, 表通り
0.0007183    1 river          : 川霧
0.0007149    1 bow            : 矛
0.0007115    1 karaoke        : 空桶
0.0007071    1 ing            : 吟誦
0.0007045    3 pail           : 水桶, 手桶, 桶
0.0007022    1 chute          : 樋
0.0007008    1 naked          : 裸踊り
0.0006972    1 recital        : 吟誦
0.0006953    1 rolling        : 揉捻
0.0006917    2 hunch          : 予感, 予覚
0.0006906    1 maneuver       : 毒霧
0.0006889    1 edge           : 矛先
0.0006854    3 feel           : 涌く, 湧く, 痛む
0.0006761    2 baggage        : 預かり証, 預り証
0.0006726    3 force          : 矛先, 押し通る, 通す
0.0006660    1 interview      : 予診
0.0006646    4 round          : 面桶, 予選, 通年, 通過
0.0006586    1 ceremony       : 茅門
0.0006529    4 opening        : 序, 序盤, 全通, 開通
0.0006492    2 professional   : 毒霧, 職務
0.0006475    2 luggage        : 預かり証, 預り証
0.0006414    1 fragile        : 柔
0.0006364    1 species        : 酢橘
0.0006290    1 wrestling      : 毒霧
0.0006288    1 home           : 茅門
0.0006263    1 maker          : 桶屋
0.0006234    1 dishpan        : 洗い桶
0.0006231    3 house          : 茅門, 通り名, 通す
0.0006131    2 receipt        : 預かり証, 預り証
0.0006131    3 heroic         : 勇姿, 勇壮, 勇敢
0.0006129    2 hovel          : 茅舎, 茅屋
0.0006092    1 cat            : 鴨茅
0.0006082    4 light          : 柔らか, 柔かい, 柔らかい, 霧雨
0.0006051    1 villus         : 柔毛
0.0006015    2 claim          : 預かり証, 預り証
0.0006006    4 public         : 公序, 世務, 服務, 公務
0.0005984    1 individual     : 面桶
0.0005968    1 illegal        : 毒霧
0.0005941    1 trough         : 樋
0.0005940    3 start          : 序, 序章, 見通す
0.0005902    3 expectation    : 予定, 予想, 予期
0.0005893    2 ballad         : 踊り歌, 踊歌
0.0005786    3 informal       : 柔かい, 柔らかい, 柔らか
0.0005780    1 fondness       : 愛誦
0.0005743    1 Mongolian      : 柔然
0.0005697    2 received       : 預かり金, 預り金
0.0005682    1 loving         : 愛誦
0.0005675    1 washtub        : 洗い桶
0.0005667    2 history        : 予診, 通史
0.0005659    2 casket         : 早桶, 棺桶
0.0005653    3 crush          : 揉みくちゃ, 揉み消す, 揉消す
0.0005648    5 ache           : 腹痛, 痛める, 痛む, 痛み, 痛
0.0005634    3 fight          : 勇戦, 揉め事, 揉める
0.0005598    1 Asian          : 毒霧
0.0005496    2 struggle       : 揉み合う, 揉み合い
0.0005477    2 number         : 序数, 通巻
0.0005469    1 built          : 柔
0.0005450    2 fish           : 涌き, 湧き
0.0005420    1 thorny         : 茅茨
0.0005399    2 evil           : 毒霧, 通弊
0.0005371    2 foreknowledge  : 予知, 予見
0.0005361    1 prognostication: 予言
