Summary: {Weight} {token}: {words[0:10]}
0.0012931    1 haste          : 急遽
0.0012900    2 fib            : 噓, 嘘
0.0012871    2 comfortless    : 侘しい, 侘びしい
0.0012797    2 maltreatment   : 被虐, 虐待
0.0012618    3 secret         : 窃か, 切り札, 切札
0.0012608    1 hurried        : 遽しい
0.0012606    1 warmth         : 人膚
0.0012512    5 cruel          : 苛虐, 惨虐, 残虐, 虐める, 虎狼
0.0012414    1 hurry          : 急遽
0.0012170    2 busy           : 遽しい, 劇職
0.0012052    2 unbelievable   : 噓, 嘘
0.0012042   11 talk           : ご託, 御託, 劇談, 持ち切る, 後戯, 戯言, 戯ける, 持ち切り, 切りだす, 切り出す, ...
0.0011788   11 use            : 借り切る, 買い切る, 託する, 託す, 託ける, 借り切り, 貸し切る, 貸し切り, 貸切, 摩り切る, ...
0.0011524    2 quick          : 遽しい, 短慮
0.0011324    2 rapid          : 遽しい, 急劇
0.0011277    2 stand          : 鯱張る, 鯱鉾ばる
0.0011270    1 ovarian        : 濾胞
0.0011141    7 thought        : 千慮, 思慮, 心慮, 慮り, 切り放つ, 切り捨て, 切捨て
0.0011062    2 love           : 俘虜, 虜
0.0011041    4 ceremony       : 鯱張る, 鯱鉾ばる, 切り火, 切火
0.0010659    7 consideration  : 思慮, 賢慮, 配慮, 熟慮, 顧慮, 考慮, 慮り
0.0010630    4 life           : 侘住い, 侘, 侘び, 水切り
0.0010569    1 calamite       : 蘆木
0.0010517    2 simplicity     : 侘, 侘び
0.0010502    6 best           : 鯱立ち, 飛びっ切り, 飛び切り, 飛切り, 思いっ切り, 思い切り
0.0010250    2 dreary         : 侘しい, 侘びしい
0.0010250    2 shabby         : 侘しい, 侘びしい
0.0010172    2 enjoyment      : 侘, 侘び
0.0010100    2 rustic         : 侘, 侘び
0.0009734    1 hermitage      : 廬
0.0009643    2 refinement     : 侘, 侘び
0.0009626    1 shore          : 蘆辺
0.0009570    7 decision       : 噓, 嘘, 割り切る, 割切る, 割り切り, 踏ん切り, 思い切る
0.0009543    3 miserable      : 侘しい, 侘びしい, 切ない
0.0009350    2 error          : 噓, 嘘
0.0009350    3 imaginary      : 虚根, 虚部, 虚数
0.0009197    1 trap           : 虎挟み
0.0009165    2 mistake        : 噓, 嘘
0.0008973    2 pain           : 加虐, 劇痛
0.0008853    3 charter        : 借り切る, 買い切る, 貸し切る
0.0008840    2 abode          : 侘住い, 拙宅
0.0008779    6 exclusive      : 借り切る, 買い切る, 借り切り, 貸し切る, 貸し切り, 貸切
0.0008714    1 handstand      : 鯱鉾立ち
0.0008680    1 jocular        : 戯称
0.0008672    7 retreat        : 廬, 隠宅, たち切る, 截ち切る, 断ち切る, 断切る, 裁ち切る
0.0008654    2 fence          : 虎落笛, 虎落
0.0008639    6 false          : 虚聞, 虚伝, 虚報, 虚勢, 虚名, 虚像
0.0008550    3 move           : 噓, 嘘, 吹っ切れる
0.0008528    5 pretext        : 託する, 託す, 仮託, 託ける, 託け
0.0008512    2 tyranny        : 虐政, 暴虐
0.0008512  152 cut            : 切り破る, 切り通す, ぶっ切る, 打っ切る, 切り放つ, 骨切り, 切り解く, 切立, 切土, 切る, ...
0.0008387    4 reserve        : 借り切る, 買い切る, 遠慮, 貸し切る
0.0008359    2 atrocity       : 悪虐, 暴虐
0.0008237    2 suffering      : 被虐, 火宅
0.0008203    1 unpardonable   : 八虐
0.0007905    2 bad            : 噓, 嘘
0.0007888    2 taste          : 侘, 侘び
0.0007883    3 bamboo         : 虎落笛, 虎落, 虎杖
0.0007827    2 hire           : 借り切る, 買い切る
0.0007803    2 simple         : 侘, 侘び
0.0007628    2 texture        : 膚, 地膚
0.0007569    3 substance      : 劇物, 大虚, 太虚
0.0007299    3 foresight      : 智慮, 知慮, 遠慮
0.0007127    2 persecute      : 虐げる, 虐める
0.0007105    1 leucoderma     : 白膚
0.0007064   13 way            : 噓, 嘘, 切り抜ける, 切抜ける, 切り墾く, 切り拓く, 切り開く, 切開く, 切りこむ, 切り込む, ...
0.0007064    1 provide        : 鯱
0.0006988    3 animal         : 鯱, 虎豹, 戯れ付く
0.0006957    1 bean           : 虎豆
0.0006951    1 buy            : 買い切る
0.0006948    3 dwelling       : 仮宅, 居宅, 隠宅
0.0006895    1 mythical       : 鯱
0.0006880    1 vitiligo       : 白膚
0.0006854    1 unwounded      : 完膚
0.0006836    1 solitary       : 侘住い
0.0006823    2 playwriting    : 作劇, 劇作
0.0006756    2 grain          : 膚, 地膚
0.0006717    1 whistling      : 虎落笛
0.0006620    1 drainage       : 濾水
0.0006620    1 tora           : 虎海老
0.0006584    1 unidentified   : 虚舟
0.0006575    5 world          : 毘盧遮那, 劇壇, 劇界, 火宅, 虎嘯
0.0006509    3 send           : 託ける, 託する, 託す
0.0006431    1 nakedness      : 赤膚
0.0006430    1 result         : 被虐
0.0006288    3 thoughtfulness : 深慮, 配慮, 遠慮
0.0006269    2 war            : 虜囚, 捕虜
0.0006233    2 imprudence     : 浅慮, 短慮
0.0006228    1 protection     : 鯱
0.0006183    1 eight          : 八虐
0.0006140    1 transience     : 侘び寂び
0.0006130    7 excuse         : 託つ, 託ける, 託け, 切掛け, 切っかけ, 切っ掛け, 切掛
0.0006115    1 phenomenological: 毘盧遮那
0.0006088    1 washed         : 虚舟
0.0006051    2 barbarous      : 惨虐, 残虐
0.0006035    5 roof           : 鯱, 切り妻, 切妻, 風切, 風切り
0.0006035    1 centered       : 侘び寂び
0.0005993    2 sagacity       : 智慮, 知慮
0.0005947    1 grieved        : 侘びる
0.0005903    4 dramatic       : 劇通, 劇詩, 劇画, 劇的
0.0005888    1 nudity         : 赤膚
