Summary: {Weight} {token}: {words[0:10]}
0.0010077    4 based          : 宿曜, 准ずる, 准じる, 進士
0.0010037   11 promotion      : 抜擢, 主催, 推進, 累進, 特進, 促進, 進士, 進級, 昇進, 陞進, ...
0.0010015    3 anxiety        : 危懼, 後顧, 焦心
0.0009885    4 medicine       : 下焦, 中焦, 三焦, 上焦
0.0009837    1 contemplation  : 思惟
0.0009817    1 glimpse        : 隻影
0.0009761    1 discerning     : 隻眼
0.0009755    2 week           : 七曜, 曜日
0.0009746    3 hunting        : 収穫, 小鷹, 収獲
0.0009731    1 dashing        : 勇進
0.0009633    3 haul           : 収穫, 収獲, 漁獲
0.0009564    2 unfair         : 雇い止め, 雇止め
0.0009460    2 white          : 蘿蔔, 経帷子
0.0009445    4 look           : 顧みる, 顧る, 待ち焦がれる, 難しい
0.0009424    1 petrosa        : 錐体
0.0009400    1 Mercury        : 七曜
0.0009361    4 doll           : 女雛, 男雛, 雛壇, 雛段
0.0009342    2 stress         : 惟, 維
0.0009272    1 divider        : 籬
0.0009258    2 table          : 神籬, 雀卓
0.0009179    1 number         : 七難
0.0009168    3 Oriental       : 蘿蔔, 雉鳩, 四十雀
0.0009166    1 picked         : 穫れる
0.0009085   10 refined        : 風雅, 文雅, 高雅, 閑雅, 雅俗, 雅馴, 雅語, 雅言, 優雅, 典雅
0.0009068    1 Zen            : 維那
0.0009051    1 astrology      : 宿曜
0.0008987    1 Mars           : 七曜
0.0008970    5 island         : 女護, 離れ島, 女護が島, 女護島, 離島
0.0008890    1 conic          : 錐体
0.0008878    3 sentence       : 惟, 維, 難文
0.0008844    4 drilling       : 錐もみ, 錐揉み, 試錐, 掘進
0.0008841   12 make           : 薙ぎ払う, 躍らす, 囃したてる, 囃し立てる, 言い囃す, 言囃す, もて囃す, 持て囃す, 確かめる, 進める, ...
0.0008835    1 Saturn         : 七曜
0.0008799    7 period         : 雑芸, 夜鷹, 雅語, 守護, 雑徭, 久離, 旧離
0.0008780    1 six            : 維那
0.0008773    3 live           : 漁礁, 魚礁, 躍り食い
0.0008756    1 geisha         : 雛妓
0.0008756    1 decorated      : 神籬
0.0008679    2 thought        : 思惟, 一顧
0.0008657    2 drill          : 立錐, 錐
0.0008645    7 position       : 抜擢, 都護, 推譲, 推挽, 推輓, 推挙, 転進
0.0008645    1 Jupiter        : 七曜
0.0008628    4 getting        : 離礁, 床離れ, 離床, 呼集
0.0008561    1 Raphanus       : 蘿蔔
0.0008507    4 head           : 截頭, 贋首, 雁首, 雁
0.0008479    1 flamingo       : 紅鶴
0.0008475    1 shaping        : 截頭
0.0008452    3 mythical       : 女護, 女護が島, 女護島
0.0008440    1 brant          : 黒雁
0.0008414    4 holding        : 開催, 催し, 確り, 手離し
0.0008413    1 chop           : 樵る
