Summary: {Weight} {token}: {words[0:10]}
0.0008909    1 facia          : 鼻隠し
0.0008858    1 leash          : 首綱
0.0008750    2 lead           : 導き入れる, 導く
0.0008749    2 mound          : 鼻塚, 首塚
0.0008544    3 instruction    : 指導, 訓導, 教導
0.0008497    1 showing        : 導引
0.0008461    5 putrid         : 屍臭, 死臭, かび臭い, カビ臭い, 黴臭い
0.0008437    2 burial         : 鼻塚, 首塚
0.0008410    2 kowtow         : 叩首, 頓首
0.0008359    1 fascia         : 鼻隠し
0.0008341    1 instruct       : 教え導く
0.0008312    8 mucus          : 青鼻, 水鼻, 鼻汁, 鼻くそ, 鼻クソ, 鼻屎, 鼻糞, 鼻水
0.0008192    6 chief          : 上首, 頭首, 首領, 首長, 首席, 貫首
0.0008171    1 corona         : 雁首
0.0008164    2 protective     : 補導, 輔導
0.0008161    2 gasping        : 片息, 肩息
0.0008068    4 start          : 起首, 出っ鼻, 出鼻, 自体
0.0008017    1 concubine      : 御息所
0.0008001    2 bated          : 屏息, 閉息
0.0007955    1 virtue         : 善道
0.0007935    7 snot           : 青鼻, 鼻汁, 鼻くそ, 鼻クソ, 鼻屎, 鼻糞, 鼻水
0.0007849    5 teacher        : 導師, 訓導, 師道, 自習, 自修
0.0007770    1 croaker        : 石首魚
0.0007758    1 glans          : 雁首
0.0007674    2 origin         : 起首, 出自
0.0007648    7 living         : 生息, 栖息, 棲息, 自適, 道楽, 道, 自前
0.0007610    4 bow            : 艇首, 艦首, 船首, 首肯く
0.0007591    1 missile        : 首部
0.0007551    1 teach          : 教え導く
0.0007514    2 speak          : 息まく, 息巻く
0.0007474    2 custody        : 補導, 輔導
0.0007402    4 heavy          : 片息, 肩息, 息苦しい, 非道い
0.0007385    1 attendant      : 御息所
0.0007233    2 black          : 魔導, 魔道
0.0007076    2 snorting       : ブタ鼻, 豚鼻
0.0007028    6 art            : 棋道, 杖道, 画道, 医道, 斯道, 剣道
0.0007024    2 fresh          : 息吹, 息吹き
0.0007023    3 love           : 首ったけ, 首っ丈, 道芝
0.0006986   15 route          : 行き道, とおり道, 通り道, 行道, 海道, 道のり, 道筋, 道順, まわり道, 回り道, ...
0.0006951    2 world          : 魔導, 魔道
0.0006933    3 spirit         : 鼻っ張り, 鼻っ柱, 鼻っぱし
0.0006914    7 public         : 里道, さらし首, 晒し首, 晒首, 曝し首, 赤道, 公道
0.0006727    1 rhinorrhea     : 鼻漏
0.0006727    1 farcy          : 鼻疽
0.0006727    1 glanders       : 鼻疽
0.0006608    3 scruff         : 首根, 首すじ, 首筋
0.0006578    5 region         : 西海道, 南海道, 山陽道, 山陰道, 北陸道
0.0006557    3 pipe           : 導管, がん首, 道管
0.0006536    1 cone           : 首部
0.0006519    1 lanyard        : 首紐
0.0006516    2 converting     : 唱導, 引導
0.0006515    1 guru           : 導師
0.0006502    6 someone        : 消息, 唱導, 体臭, 道ずれ, 道づれ, 道連れ
0.0006456    2 female         : 御息所, 血の道
0.0006449    8 something      : 息吹, 息吹き, 雁首, 腐臭, 首尾, 鼻先, 生臭, 使い道
0.0006408    2 eight          : 道師, 不道
0.0006402    2 asthma         : ぜん息, 喘息
0.0006388    3 duct           : 導管, 道管, 気道
0.0006249    5 long           : 鼻高, 首途, 鶴首, 寄り道, 寄道
0.0006231    9 Japanese       : 和臭, がん首, 犢鼻褌, 道しるべ, 道標, 道教, 弓道, 道教え, 剣道
0.0006194    4 beetle         : 道しるべ, 道標, 道教, 道教え
0.0006184    2 conduit        : 導管, 道管
0.0006162    2 difficult      : 片息, 肩息
0.0006132    5 prefectural    : 道立, 道営, 府道, 道庁, 県道
0.0006107    2 lamenting      : 嘆息, 歎息
0.0006107    2 grieving       : 嘆息, 歎息
0.0006081    2 silence        : 屏息, 閉息
0.0006060    4 stopping       : 一息, 息災, 寄り道, 寄道
0.0006041    5 break          : 一息, 息つぎ, 息継ぎ, きな臭い, キナ臭い
0.0006039    1 fifth          : 道師
0.0005992    1 tengu          : 鼻高
0.0005989    1 initial        : 首部
0.0005972    1 hereditary     : 道師
0.0005951    2 gooseneck      : 雁首, 鎌首
0.0005944    4 display        : さらし首, 晒し首, 晒首, 曝し首
0.0005944    4 criminal       : さらし首, 晒し首, 晒首, 曝し首
0.0005904    1 court          : 御息所
0.0005896    7 blood          : 血生臭い, 血臭, 生臭, なま臭い, 生臭い, 血の道, 血道
0.0005887    1 neckband       : 首紐
0.0005845    1 proboscis      : 長鼻
0.0005804    4 tiger          : 道しるべ, 道標, 道教, 道教え
0.0005803    2 ornamental     : 首紐, 犢鼻褌
0.0005793    3 effort         : 一息, 自強, 自彊
0.0005747    3 laughing       : ブタ鼻, 豚鼻, 自嘲
0.0005734   14 side           : 道脇, 道上, わき道, 傍道, 脇道, 側道, 枝道, 間道, 横道, 寄り道, ...
0.0005660    3 aggressiveness : 鼻っ張り, 鼻っ柱, 鼻っぱし
0.0005628    2 muffler        : 首巻, 首巻き
0.0005614    2 enthuse        : 息まく, 息巻く
0.0005584    1 instructor     : 導師
0.0005582    1 incentive      : 導因
0.0005531    1 tone           : 息
0.0005513    2 disappointment : 嘆息, 歎息
0.0005508    4 nape           : えり首, 襟首, 首すじ, 首筋
0.0005498    1 mood           : 息
0.0005449   14 course         : 首尾, 悪道, わかれ道, 分かれ道, 分れ道, 別れ道, 道順, 自から, 水道, 邪道, ...
0.0005384    1 highest        : 道師
0.0005362    7 bad            : 臭気, 悪臭, 臭味, 臭み, 口臭, 臭う, 非道い
0.0005314    3 competitive    : 鼻っ張り, 鼻っ柱, 鼻っぱし
0.0005280    3 corpse         : 屍臭, 死臭, 不道
0.0005241    2 scarf          : 首巻, 首巻き
0.0005191    3 throat         : 首元, 自剄, 自刎
0.0005135    1 boastful       : 鼻高
0.0005117    7 journey        : 首途, 道中, 夜道, 長道, 道のり, 道程, 道
0.0005103    2 strain         : 息張る, 息む
0.0005081    1 whisper        : 虫の息
0.0005077    8 roadside       : 道芝, 道脇, 道上, 道辺, 道ばた, 道傍, 道端, 沿道
0.0005024    1 trucks         : 道板
0.0005023    2 respiration    : 息づかい, 息遣い
0.0005001    3 advocacy       : 唱導, 首唱, 唱道
0.0004992    2 powder         : 白粉臭い, 白首
0.0004943    2 vessel         : 導管, 道管
0.0004873    1 obstruction    : 鼻閉
0.0004836    1 pained         : 青息
0.0004829   11 going          : 行き道, 鳩首, 出っ鼻, 出鼻, 行道, 寄り道, 寄道, 道行, 道行き, 同道, ...
0.0004812    2 worked         : 息まく, 息巻く
