Summary: {Weight} {token}: {words[0:10]}
0.0014289    4 personal       : 身嗜み, 嗜み, 私考, 内緒
0.0014151    1 street         : 都大路
0.0014119    1 witch          : 山姥
0.0014115    1 stupid         : 耄ける
0.0014099    1 elegant        : 華奢
0.0014078    1 Canton         : 赤鰭
0.0014045    1 hybrid         : 猪豚
0.0014040    1 reassurance    : 安堵
0.0014002    1 fugu           : 鰭酒
0.0013737    1 forming        : 堵列
0.0013651    1 lining         : 堵列
0.0013636   13 boiling        : 湯煮, 煮きり, 煮切り, 下煮, 丸煮, 炒め煮, 煮出す, 煮え湯, 煮えたぎる, 煮え滾る, ...
0.0013552    1 bream          : 鰭酒
0.0013490    3 period         : 賭弓, 三都, 鳶の者
0.0013361    1 indication     : 曙光
0.0013252    6 making         : 一儲け, ぼろ儲け, ボロ儲け, 還都, 老頭, 養老
0.0013250    2 easy           : ぼろ儲け, ボロ儲け
0.0013144    1 flash          : 曙光
0.0012829    3 grilled        : 鰭酒, 煮びたし, 煮浸し
0.0012797   20 soy            : 白煮, 煮卵, 煮玉子, 時雨煮, 煮麺, 煮魚, 煮〆, つくだ煮, 佃煮, 煮びたし, ...
0.0012747    2 fire           : 来署, 署内
0.0012665    1 godsend        : 儲け物
0.0012626    1 faded          : 姥桜
0.0012536   18 sauce          : 炒め煮, 白煮, 煮卵, 煮玉子, 煮麺, 旨煮, 甘煮, 煮魚, 諸味, 煮〆, ...
0.0012303    4 gambling       : 賭場, 賭け事, 賭事, 賭博
0.0012300    5 someone        : 奢る, 奢り, 孝行, 過ぎ者, 独り者
0.0012284    1 addiction      : 嗜癖
0.0012246    1 surrounded     : 安堵
0.0012148    6 sultry         : 暑苦しい, 蒸暑, むし暑い, 蒸し暑い, 蒸暑い, 暑い
0.0012129   10 stew           : じぶ煮, もつ煮, モツ煮, 角煮, 煮びたし, 煮浸し, ごった煮, 煮る, 煮込む, 煮込み
0.0012122    1 surf           : 姥貝
0.0012020    9 meat           : じぶ煮, 屠畜, 屠殺, 角煮, 煮こごり, 煮凍り, 煮凝り, 旨煮, 甘煮
0.0012010    5 wager          : 賭する, 賭す, 賭ける, 賭, 賭け
0.0011927   18 boil           : 煮切る, 煮えたつ, 煮え立つ, 煮えたぎる, 煮え滾る, 水煮, 煮こぼれる, 煮零れる, 煮え返る, 煮る, ...
0.0011880    6 time           : 玄猪, 向暑, 一緒, 長考, 煮込む, 都度
0.0011825    1 proposal       : 儲け話
0.0011804    2 treat          : 奢る, 奢り
0.0011769    1 scheme         : 儲け話
0.0011749    6 idea           : 儲け話, 考按, 考案, 愚考, 考え違い, 考え
0.0011589   11 something      : 耄ける, 奢る, 丸煮, 考えもの, 考え物, 著聞, 過ぎ者, 考えごと, 考え事, くせ者, ...
0.0011528    2 substation     : 支署, 分署
0.0011271    1 ownership      : 安堵
0.0011183    4 sect           : 禊教, 教派, 教祖, 教主
0.0011140    4 Christianity   : 三教, 西教, 外教, 聖教
0.0011088    3 light          : 曙光, 薄暑, 都
0.0010987    3 sword          : 下げ緒, 下緒, 諸刃
