Summary: {Weight} {token}: {words[0:10]}
0.0015089    2 question       : 訪う, 此方
0.0014773    3 year           : 初旅, 田遊, 田遊び
0.0014768    6 front          : 蘇枋, 蘇芳, 前方, 先方, 蘇方, 彼方此方
0.0014616    3 dark           : 蘇枋, 蘇芳, 蘇方
0.0014442    9 light          : 蘇枋, 放光, 蘇芳, 明け放れる, 遊里, 遊廓, 遊郭, 放つ, 蘇方
0.0014436    3 wool           : 紡毛, 紡糸, 紡ぎ糸
0.0014408    1 thing          : 謗法
0.0014226    1 spill          : 紡ぎ出す
0.0014158    4 yarn           : 紡ぐ, 紡ぎ糸, 紡績, 混紡
0.0013670    3 signal         : 妨害, 妨碍, 妨礙
0.0013573    6 call           : 訪う, 来訪, 訪問, 訪ねる, 訪れる, 訪れ
0.0013153    1 disparagement  : 謗り
0.0012896   16 prevention     : 防カビ, 防黴, 防露, 防炎, 防腐, 防蝕, 防食, 防除, 水防, 予防, ...
0.0012807    5 wandering      : 彷徨, 股旅, 放浪, 遊行, 浮遊
0.0012719    2 hostess        : カラス族, 立ちん坊
0.0012662    1 vilification   : 謗り
0.0012353    2 roaming        : 彷徨, 放浪
0.0012315    1 pour           : 紡ぎ出す
0.0011948    1 forth          : 紡ぎ出す
0.0011825   33 way            : 通せん坊, 見方, 明け放れる, その方, 其の方, いず方, 行き方, 仕方ない, 仕方無い, つづり方, ...
0.0011810    6 tassel         : 白房, 青房, 黒房, 赤房, 房飾り, 房
0.0011711    1 putter         : 彷徨う
0.0011596    1 firefly        : 蛍族
0.0011591   19 protection     : 防滴, 防雨, 防潮, 防じん, 防塵, 防蝕, 防食, 防除, 防暑, 風防, ...
0.0011531    1 rambling       : 彷徨
0.0011364    2 corroboration  : 旁証, 傍証
0.0011326    6 supporting     : 旁証, 傍役, 傍証, 味方, 御方, 身方
0.0011161    9 school         : 修旅, 校旗, 池坊, 放校, 放課, 遊戯, つづり方, 綴り方, 綴方
0.0010457    1 censure        : 謗り
0.0010431    2 bar            : カラス族, 立ちん坊
0.0010343    2 dressed        : カラス族, 裸族
0.0010194    1 criticize      : 謗る
0.0010027    4 song           : 紡ぎ歌, 神遊, 神遊び, 遊び歌
0.0009892    2 lathe          : 旋削, 旋盤
0.0009807    4 young          : カラス族, 芳紀, 放流, 下放
0.0009772    7 gun            : 旋条, 遊底, ぶっ放す, ブッ放す, 打っ放す, 施条, 放つ
0.0009538   10 travel         : 旅姿, 旅衣, 旅心, 羇旅, 羈旅, 旅費, 旅程, 旅行, 旅, 外遊
0.0009530   26 family         : 鼠坊, 傍系, 族縁, 神族, 語族, 遺家族, 遺族, 魔族, 族長, 宗族, ...
0.0009359    1 forced         : 蛍族
0.0009211    2 field          : 修旅, 方面
0.0009203    8 traveling      : 旅疲れ, 旅装, 旅情, 旅寝, 旅住い, 旅慣れる, 旅僧, 行旅
0.0009173    7 quarters       : 房室, 後房, 本坊, 僧坊, 宿坊, 御坊, 僧房
0.0009137    1 spin           : 紡ぐ
0.0009066    8 inn            : 旅宿, 旅舎, 旅次, 旅籠屋, 旅籠, 逆旅, 旅館, 旗亭
0.0009059    2 festival       : カラス族, 旅所
0.0009052    1 wearing        : カラス族
0.0009013    8 residence      : 中屋敷, 屋敷林, 空き屋敷, 空屋敷, 下屋敷, 組屋敷, 屋敷, 貴方
0.0008995    1 smoke          : 蛍族
0.0008925    1 criticism      : 謗り
0.0008923    3 evidence       : 旁証, 傍証, 跡方
0.0008922    1 bossy          : 威張りん坊
0.0008818    1 boaster        : 威張りん坊
0.0008703    2 rifling        : 旋条, 施条
0.0008689    4 hung           : 白房, 青房, 黒房, 赤房
0.0008313    1 braggart       : 威張りん坊
0.0008305   10 journey        : 旅路, 旅愁, 旅程, 旅行, ひとり旅, 一人旅, 独り旅, 長旅, 旅, 行方
0.0008178    4 left           : 偏旁, 左房, 方偏, 左方
0.0008174    7 loose          : 遊び毛, 切り放つ, 放す, ぶっ放す, ブッ放す, 打っ放す, 放つ
0.0007894    2 constellation  : 旗魚座, 房宿
0.0007704    1 overbearing    : 威張りん坊
0.0007686    2 turning        : 旋削, 旋回
0.0007675    2 withheld       : 敷引, 敷引き
0.0007675    1 knock          : 彷徨う
0.0007596    4 corner         : 白房, 青房, 黒房, 赤房
0.0007515   12 group          : 回族, 簇がり, 壮族, 群れ遊ぶ, 旗挙, 旗挙げ, 旗揚, 旗揚げ, 種族, 外方, ...
0.0007491    1 dragonet       : 鼠坊
0.0007454    3 surrounding    : 胡族, 屋敷林, 近傍
0.0007385    6 branch         : 傍流, 本坊, 搔敷, 芳枝, 支族, 枝族
0.0007349    3 visiting       : 訪い, 訪欧, 再訪
0.0007318    4 revolution     : 旋転, 旋回, 回旋, 廻旋
0.0007298    3 male           : 旅子, 男方, 女方
0.0007265    2 silk           : 紡ぎ糸, 紡ぎ
0.0007193    1 Philippines    : 訪比
0.0007188    2 barrel         : 旋条, 施条
0.0007137    2 tuft           : 一房, 房
0.0007126    4 ring           : 白房, 青房, 黒房, 赤房
0.0007120    2 digression     : 傍論, 傍道
0.0007024    1 machine        : 紡機
0.0007004    6 room           : 房宿, 房室, 同房, 房中, 座敷, 小房
0.0006992    1 carded         : 紡毛
0.0006960    1 accuse         : 訪う
0.0006950    8 good           : 芳名, 芳情, あっ旋, 斡旋, 芳しい, 仕方ない, 仕方無い, 遊ぶ
0.0006931   11 game           : ひとり遊び, 一人遊び, 試遊, 遊び事, 遊び歌, ごっこ遊び, ことば遊び, 言葉遊び, 隠れん坊, 遊戯, ...
0.0006897    5 deposit        : 敷引, 敷引き, 敷, 敷き, 敷金
0.0006880    2 watertight     : 防浸, 防水
0.0006857    5 kind           : 芳心, 芳情, あっ旋, 斡旋, 床敷
0.0006846    1 abuse          : 誹謗
0.0006819    4 prevent        : 妨げる, 防ぎとめる, 防ぎ止める, 防ぐ
0.0006750    1 defamation     : 讒謗
0.0006705    1 involution     : 内旋
