Summary: {Weight} {token}: {words[0:10]}
0.0013001    4 wind           : 煽る, 煽り, 風炉, 風戸
0.0012864    2 ensnare        : 騙しこむ, 騙し込む
0.0012856    1 trompe         : 騙し絵
0.0012831    1 ubiquitous     : 普遍
0.0012806    2 movie          : 本篇, 本編
0.0012715    4 notice         : 顧みる, 顧る, 一顧, 余所
0.0012648    7 main           : 本篇, 正篇, 本編, 正編, 大戸, 要所, 本所
0.0012610    4 knitted        : 編み地, 編地, 編み物, 編物
0.0012592    5 job            : 雇われ, 所務, 肩書, 肩書き, 役所
0.0012543    1 careful        : 騙し騙し
0.0012493    4 tuck           : 肩あげ, 肩上げ, 肩揚, 肩揚げ
0.0012399   11 sliding        : 戸走り, 葦戸, 葭戸, 袋戸, 引き戸, 引戸, 戸車, 戸板, 繰り戸, 繰戸, ...
0.0012384    2 vehicle        : 騙し騙し, 車偏
0.0012284    2 reminisce      : 顧みる, 顧る
0.0012273    1 entirety       : 満遍
0.0012184    1 almond         : 扁桃
0.0012004    1 tonsil         : 扁桃
0.0011804    2 tuft           : 一房, 房
0.0011792    7 dictionary     : 玉篇, 編みあげる, 編み上げる, 編上げる, 編さん, 編纂, 編む
0.0011790    1 equality       : 満遍
0.0011785    4 ring           : 白房, 青房, 黒房, 赤房
0.0011720    1 horizontal     : 扁額
0.0011683    2 photo          : 煽る, 煽り
0.0011595    2 sedition       : 煽動, 扇動
0.0011595    2 wave           : 偏波, 偏れる
0.0011505    2 poem           : 佳篇, 佳編
0.0011393   13 house          : 民戸, 後房, 別戸, 一戸, 戸建, 戸建て, 各戸, 大戸, 戸惑い, 戸別, ...
0.0011379    1 closure        : 閉扉
0.0011185    2 sensationalism : 煽情, 扇情
0.0010983    2 employ         : 雇い入れる, 雇う
0.0010872    1 lighting       : 開炉
0.0010847    2 boat           : 扁舟, 舟偏
0.0010842    1 boiler         : 火炉
0.0010840    9 something      : 涙まじり, 涙混じり, 煽る, 置き所, 為所, 捨て所, より所, 拠り所, 拠所
0.0010736    2 reflect        : 顧みる, 顧る
0.0010727    2 bunch          : 一房, 房
0.0010661    2 arrangement    : 作編曲, 編曲
0.0010645    3 polarization   : 偏波, 偏光, 偏り
0.0010639    2 fish           : 遍羅, 魚偏
0.0010600    3 twisted        : 捩じれる, 捩れる, 捩じ曲がる
0.0010590    1 wide           : 遍く
0.0010522    2 doorway        : 扉口, 屋戸
0.0010499    2 concluding     : 後篇, 後編
0.0010484    3 population     : 戸々, 戸戸, 戸口
0.0010451    2 segment        : 一房, 房
0.0010348    3 partial        : 眷顧, 偏する, 偏る
0.0010334    1 deputy         : 副編
0.0010334    3 whole          : 満遍, 全戸, 全編
0.0010283    4 low            : 煽る, 煽り, 切り戸, 低所
0.0010260    2 lachrymal      : 涙道, 涙
0.0010246    2 consider       : 顧みる, 顧る
0.0010142    2 cluster        : 一房, 房
0.0010113    3 number         : 遍, 偏角, 戸数
0.0010056    4 series         : 本篇, 正篇, 本編, 正編
0.0010026    1 picture        : 扁額
0.0010023    2 working        : 雇われ, 政所
0.0009983    5 text           : 篇, 正篇, 編, 正編, 所
0.0009965    7 return         : 戻り値, 組み戻し, 戻り, 戻り梅雨, 戻す, 立ち戻る, 立戻る
0.0009929    4 opposed        : 本篇, 正篇, 本編, 正編
0.0009912    1 mantelpiece    : 炉棚
0.0009893    1 associate      : 副編
0.0009771    3 history        : 遍歴, 編さん, 編纂
0.0009768    4 hair           : 一房, 三つ編み, 房主, 房
0.0009580    3 finish         : 編みあげる, 編み上げる, 編上げる
0.0009535    2 latter         : 後篇, 後編
0.0009473    9 person         : 雇われ, 封戸, 偏物, 人偏, 房主, 所縁, 大所, 所持, 一所
0.0009386    2 arousal        : 煽情, 扇情
0.0009373    4 pay            : 顧みる, 顧る, 払い戻す, 払戻す
0.0009357    3 past           : 顧みる, 顧る, 足偏
0.0009270    6 redemption     : 受戻し, 請け戻し, 請戻し, 受け戻し, 買い戻し, 買戻し
0.0009270    5 work           : 力編, 篇, 捩り, 編, 編み出す
0.0009188    6 film           : 長篇, 本篇, 短篇, 長編, 本編, 短編
0.0009159    3 plain          : 扁たい, 白扇, 表編み
0.0009138    5 temple         : 開炉, 僧房, 山房, 札所, 納所
0.0009126    2 resign         : 肩たたき, 肩叩き
0.0009031    1 incinerator    : 廃炉
0.0008972    3 personal       : 遍歴, 山房, 内所
0.0008951    2 lachrymose     : 涙もろい, 涙脆い
0.0008794    1 crayfish       : 団扇海老
0.0008778    2 stirring       : 煽情, 扇情
0.0008651    3 obstinate      : 偏固, 偏屈, 偏窟
0.0008648    1 teary          : 涙目
0.0008640    1 wax            : 戸走り
0.0008578    3 stubborn       : 偏固, 偏屈, 偏窟
0.0008510    2 natural        : 房宿, 地肩
0.0008505    3 name           : 偏諱, 騙る, 名所
0.0008502    5 article        : 掌篇, 小篇, 受け戻す, 掌編, 小編
0.0008464    2 reactor        : 廃炉, 炉心
0.0008433    1 posterior      : 後房
