,30. ⼝,4. ⼃,9. ⼈,75. ⽊,1. ⼀,72. ⽇,12. ⼋,85. ⽔,140. ⾋,24. ⼗,32. ⼟,8. ⼇,86. ⽕,109. ⽬,61. ⼼,64. ⼿,167. ⾦,3. ⼂,2. ⼁,14. ⼍,37. ⼤,20. ⼓,102. ⽥,120. ⽷,149. ⾔,142. ⾍,27. ⼚,13. ⼌,38. ⼥,96. ⽟,46. ⼭,74. ⽉,118. ⽵,40. ⼧,18. ⼑,154. ⾙,28. ⼛,29. ⼜,7. ⼆,130. ⾁,25. ⼘,195. ⿂,145. ⾐,196. ⿃,115. ⽲,42. ⼩,112. ⽯,21. ⼔,162. ⾡,56. ⼷,117. ⽴,6. ⼅,94. ⽝,104. ⽧,119. ⽶,157. ⾜,62. ⼽,53. ⼴,172. ⾫,159. ⾞,41. ⼨,10. ⼉,66. ⽁,122. ⽹,113. ⽰,163. ⾢,187. ⾺,19. ⼒,33. ⼠,50. ⼱,106. ⽩,170. ⾩,31. ⼞,44. ⼫,55. ⼶,34. ⼡,16. ⼏,146. ⾑,181. ⾴,169. ⾨,108. ⽫,164. ⾣,77. ⽌,184. ⾷,22. ⼕,48. ⼯,57. ⼸,173. ⾬,17. ⼐,60. ⼻,36. ⼣,51. ⼲,128. ⽿,87. ⽖,123. ⽺,15. ⼎,5. ⼄,26. ⼙,70. ⽅,39. ⼦,59. ⼺,93. ⽜,124. ⽻,134. ⾅,177. ⾰,76. ⽋,116. ⽳,166. ⾥,69. ⽄,79. ⽎,152. ⾗,47. ⼮,141. ⾌,49. ⼰,101. ⽤,137. ⾈,151. ⾖,52. ⼳,81. ⽐,99. ⽢,78. ⽍,125. ⽼,147. ⾒,111. ⽮,190. ⾽,138. ⾉,131. ⾂,160. ⾟,188. ⾻,11. ⼊,175. ⾮,211. ⿒,103. ⽦,90. ⽙,121. ⽸,148. ⾓,98. ⽡,82. ⽑,45. ⼬,114. ⽱,133. ⾄,83. ⽒,165. ⾤,198. ⿅,129. ⾀,168. ⾧,180. ⾳,194. ⿁,132. ⾃,150. ⾕,153. ⾘,182. ⾵,203. ⿊,135. ⾆,156. ⾛,144. ⾏,67. ⽂,158. ⾝,107. ⽪,126. ⽽,178. ⾱,54. ⼵,88. ⽗,127. ⽾,100. ⽣,212. ⿓,174. ⾭,43. ⼪,95. ⽞,161. ⾠,89. ⽘,105. ⽨,110. ⽭,210. ⿑,73. ⽈,189. ⾼,68. ⽃,179. ⾲,199. ⿆,208. ⿏,136. ⾇,63. ⼾,65. ⽀,71. ⽆,84. ⽓,143. ⾎,80. ⽏,97. ⽠,91. ⽚,209. ⿐,58. ⼹,193. ⿀,200. ⿇,92. ⽛,155. ⾚,205. ⿌,207. ⿎,171. ⾪,191. ⾾,23. ⼖,35. ⼢,176. ⾯,186. ⾹,197. ⿄,214. ⿕,201. ⿈,213. ⿔,139. ⾊,185. ⾸,202. ⿉,206. ⿍,204. ⿋,183. ⾶,192. ⾿
162. ⾡,23,21,4,4,12,9,15,2,1,11,7,8,2,6,0,1,0,3,5,4,4,3,3,2,1,0,6,10,1,2,2,5,0,2,3,2,1,2,3,0,2,0,1,0,2,4,0,0,175,0,1,2,1,0,1,0,0,1,2,2,1,1,2,2,0,0,0,1,1,1,3,0,1,3,2,2,0,5,0,0,0,3,0,0,0,1,0,0,2,0,1,3,0,1,2,1,2,1,4,2,0,3,0,0,0,0,2,0,2,0,5,1,2,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56. ⼷,41,147,25,9,71,12,14,5,9,17,14,4,9,14,7,4,7,173,4,1,0,8,4,8,7,2,42,0,5,2,4,0,6,0,0,12,0,0,4,4,12,2,3,4,3,5,2,0,0,174,6,22,0,0,0,3,146,0,2,3,0,1,0,3,0,0,0,0,0,2,1,0,5,0,3,0,0,0,0,2,2,0,8,3,1,5,0,0,0,0,4,0,1,0,11,0,0,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0,2,0,0,1,2,6,0,1,4,0,0,0,0,0,6,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
117. ⽴,52,21,10,18,4,46,9,6,13,45,4,154,4,7,7,4,2,8,1,13,1,4,1,3,6,1,8,3,5,3,3,13,3,5,6,4,6,3,1,4,1,1,3,0,0,0,2,0,1,6,174,3,0,2,1,1,6,0,0,0,0,7,0,0,0,3,0,0,0,2,1,4,0,19,0,1,2,0,2,2,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,8,0,6,0,2,0,0,0,0,12,3,1,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,1,1,35,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,26,0,0,0,0,1,1,1,0,0,2,0,0,1,0,0,0,0,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. ⼅,64,63,10,13,70,3,9,13,10,2,2,18,10,5,8,12,2,22,4,17,16,6,3,3,7,3,2,4,2,1,6,3,2,14,1,5,0,1,7,0,0,0,1,5,2,0,2,0,2,22,3,171,3,2,1,2,22,2,1,1,0,0,3,7,0,1,1,2,0,0,0,3,0,0,0,1,0,1,3,1,6,1,0,1,0,0,3,1,1,0,0,0,1,8,11,1,0,0,0,1,0,2,0,0,2,2,1,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94. ⽝,20,20,11,3,10,15,11,1,6,2,4,3,9,4,2,3,0,38,7,2,42,2,6,0,3,3,6,4,0,2,2,13,0,2,1,2,4,1,1,0,0,0,2,0,1,0,0,0,1,0,0,3,168,0,0,1,0,0,1,0,2,1,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,3,1,1,2,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,4,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
104. ⽧,13,16,10,7,11,6,5,0,1,7,1,4,3,3,2,0,0,1,5,1,6,4,5,1,0,1,1,2,3,1,2,5,0,0,4,3,0,5,1,0,4,1,0,0,4,1,0,3,0,0,2,2,0,164,0,0,0,0,2,0,1,0,0,0,0,1,0,2,1,0,0,1,2,2,0,1,5,0,2,1,1,0,3,1,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,2,1,1,1,1,1,1,0,1,0,0,0,4,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119. ⽶,11,51,6,6,6,9,8,7,9,12,3,4,6,1,5,2,1,3,7,5,10,7,21,5,1,2,9,14,4,0,1,3,0,5,4,1,1,2,1,1,7,1,1,1,0,0,1,4,1,0,1,1,0,0,162,0,0,6,2,0,0,1,2,1,1,1,0,0,0,1,2,1,1,3,4,1,0,1,1,0,0,0,3,0,1,0,2,1,4,0,8,1,0,0,0,0,1,1,2,0,0,0,3,0,1,1,1,2,1,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,2,0,0,31,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,6,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157. ⾜,71,17,9,4,8,4,9,1,3,7,3,5,2,2,0,1,0,6,2,3,7,3,3,0,0,1,5,2,0,0,0,2,0,2,1,2,0,1,4,0,3,0,0,1,0,2,1,0,0,3,1,2,1,0,0,160,3,2,3,0,2,0,0,1,1,1,0,2,1,1,0,0,0,3,1,4,1,2,0,2,0,2,2,0,1,3,0,1,2,1,0,0,1,2,1,1,0,1,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62. ⼽,40,146,18,7,62,11,8,5,9,17,13,1,6,8,7,3,6,146,4,1,0,8,4,8,6,2,42,0,5,1,3,0,6,0,0,6,0,0,0,3,6,2,2,2,3,5,2,0,0,146,6,22,0,0,0,3,155,0,2,2,0,1,0,3,0,0,0,0,0,2,1,0,5,0,3,0,0,0,0,2,2,0,2,3,1,0,0,0,0,0,4,0,1,0,11,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,2,0,0,1,2,6,0,1,4,0,0,0,0,0,6,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
53. ⼴,18,16,15,17,14,9,21,9,4,15,11,2,10,4,8,3,4,1,3,0,2,4,3,3,0,0,119,1,0,2,0,1,1,0,2,2,7,5,1,3,1,1,0,2,2,1,3,22,1,0,0,2,0,0,6,2,0,150,5,2,7,2,1,2,0,3,1,0,2,2,2,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,1,1,1,1,0,0,0,3,1,2,0,1,1,1,3,0,1,1,20,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,19,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172. ⾫,36,14,132,13,3,2,5,9,28,6,2,8,12,12,7,8,5,3,2,3,8,1,1,5,5,2,7,4,0,0,5,1,1,3,0,3,1,9,1,1,1,0,1,4,2,2,3,1,2,2,0,1,1,2,2,3,2,5,146,0,1,3,0,5,0,2,2,2,1,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,1,0,0,2,4,1,0,0,0,0,0,2,1,0,0,0,0,0,10,1,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159. ⾞,12,14,4,3,10,6,3,3,2,6,5,3,1,0,3,2,2,4,1,16,4,1,3,4,1,0,5,4,0,1,2,2,1,1,1,0,3,7,1,0,1,0,2,1,1,1,0,1,2,3,0,1,0,0,0,0,2,2,0,145,2,0,1,0,0,0,0,0,1,0,1,1,0,1,2,2,4,0,0,0,1,0,1,0,0,2,0,2,0,0,0,1,3,0,0,1,2,2,0,0,1,0,0,1,0,1,0,0,9,4,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41. ⼨,31,13,21,11,28,6,11,8,10,13,21,1,3,2,5,5,3,14,1,4,4,2,5,3,4,0,14,0,0,2,1,8,4,2,0,1,0,0,2,4,0,2,1,0,0,0,2,1,1,0,0,0,2,1,0,2,0,7,1,2,140,0,0,4,6,0,0,0,12,1,0,2,2,4,0,0,0,10,0,1,0,10,0,0,0,13,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10. ⼉,17,87,7,11,8,17,77,5,10,15,12,11,2,37,2,3,3,7,4,8,3,3,3,3,2,2,3,2,1,2,3,1,2,3,0,1,16,0,1,1,1,1,2,0,2,3,2,3,1,1,7,0,1,0,1,0,1,2,3,0,0,137,0,6,1,0,1,1,1,0,6,0,0,0,0,17,0,1,0,0,0,1,0,0,11,1,0,1,2,0,0,1,0,1,0,6,2,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,11,0,1,36,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66. ⽁,31,113,27,11,6,9,7,5,9,4,14,29,6,4,3,2,1,3,17,3,1,5,2,6,2,2,8,14,6,3,8,7,3,2,0,2,5,5,2,1,7,1,0,1,0,14,0,1,2,0,0,3,1,0,2,0,0,1,0,1,0,0,137,0,0,0,1,2,0,2,6,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,7,1,0,8,0,0,0,0,0,18,6,2,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122. ⽹,27,19,7,5,12,17,13,5,12,23,17,9,8,18,18,3,5,4,11,14,3,12,3,11,6,10,5,5,0,3,0,5,0,9,1,11,6,12,5,0,3,2,5,0,0,0,0,4,2,3,0,7,2,0,1,1,3,2,5,0,4,6,0,135,0,0,3,0,10,2,0,0,1,3,0,0,0,0,0,0,6,0,1,1,4,0,0,0,0,1,3,10,5,2,0,0,0,0,1,0,2,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,2,3,5,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113. ⽰,16,12,1,7,8,6,5,6,3,3,1,4,4,3,3,2,0,1,7,9,4,2,4,2,0,2,0,2,1,0,2,6,0,9,2,2,1,0,1,0,3,2,2,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,6,1,0,0,131,1,1,0,4,0,0,1,2,4,1,1,2,12,1,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163. ⾢,21,8,2,4,7,3,3,1,2,2,2,8,0,0,1,2,0,0,2,0,3,1,0,0,0,1,3,1,1,2,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,3,2,0,0,0,0,0,1,130,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,3,0,1,0,0,0,0,2,0,1,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187. ⾺,16,10,8,0,10,4,6,0,3,7,2,4,65,0,1,0,0,4,4,3,4,2,3,1,0,2,1,2,2,2,0,0,1,2,0,0,3,5,1,1,0,0,1,0,0,1,1,3,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,3,1,0,130,1,0,0,0,1,1,1,1,2,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19. ⼒,21,14,9,7,10,4,6,2,7,11,3,4,7,2,3,3,2,1,0,7,1,2,12,0,0,0,2,1,4,1,0,6,2,1,1,2,1,1,3,4,0,0,1,0,0,2,0,0,1,0,0,2,0,2,0,2,0,0,2,0,0,1,2,0,0,0,1,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,1,1,0,1,6,0,0,0,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33. ⼠,69,38,16,8,11,1,18,7,4,4,10,2,5,15,7,5,1,1,2,22,1,2,3,5,6,2,2,12,4,4,0,1,2,1,0,14,4,12,4,1,1,2,5,0,3,0,1,1,1,0,0,0,0,1,0,1,0,2,1,1,12,1,0,10,4,1,0,1,128,0,0,0,0,1,1,1,10,1,3,0,0,1,0,1,0,10,0,2,1,0,1,0,2,3,0,1,0,0,0,0,6,1,0,0,0,2,1,2,0,9,0,0,0,0,1,1,14,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50. ⼱,15,28,3,4,3,15,3,4,7,7,2,20,2,2,1,3,1,3,4,22,4,2,4,3,1,1,4,5,4,2,0,0,3,0,5,1,1,2,2,1,3,2,1,0,1,6,0,0,1,2,2,0,1,0,1,1,2,2,1,0,1,0,2,2,0,0,0,0,0,127,5,0,1,2,2,0,4,0,0,1,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106. ⽩,6,22,9,21,3,105,11,10,5,3,0,8,3,1,4,4,4,3,1,7,1,2,3,4,1,1,7,0,0,14,2,0,2,6,0,1,1,2,4,1,0,1,2,0,1,5,2,10,3,1,1,0,1,0,2,0,1,2,0,1,0,6,6,0,0,0,0,0,0,5,127,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,6,0,1,1,5,0,0,0,1,0,1,1,0,0,0,0,0,1,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170. ⾩,8,15,8,2,14,10,10,0,2,6,9,5,2,1,2,0,0,0,1,3,2,4,3,0,0,0,3,3,1,1,1,10,0,3,0,1,3,2,4,0,2,0,0,0,0,4,0,3,0,0,4,3,0,1,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,3,126,0,0,1,5,0,0,0,0,1,0,2,0,0,5,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31. ⼞,48,21,26,16,15,8,6,6,7,10,12,18,3,2,4,3,1,9,1,0,7,2,1,1,0,1,3,0,3,3,0,1,2,0,0,2,0,0,4,2,5,1,3,0,8,0,0,2,1,5,0,0,0,2,1,0,5,2,0,0,2,0,0,1,2,1,1,0,0,1,0,0,124,0,1,0,0,0,1,0,11,0,0,1,2,7,0,0,0,1,0,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
44. ⼫,42,30,8,5,2,6,19,7,3,31,9,19,2,3,2,5,2,2,4,2,0,5,1,0,2,5,0,2,2,1,6,1,1,2,2,1,5,5,6,2,1,0,3,0,1,1,1,7,3,0,19,0,0,2,3,3,0,0,0,1,4,0,0,3,4,1,1,0,1,2,0,0,0,122,3,1,4,0,0,1,0,0,1,0,0,0,0,2,8,2,1,2,0,0,3,2,1,0,0,2,0,3,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,19,0,0,0,1,0,0,0,0,1,2,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55. ⼶,21,114,15,10,17,32,13,5,5,113,3,2,4,12,2,1,2,4,8,3,6,2,7,4,3,3,4,29,1,3,3,1,6,1,2,5,6,0,6,2,0,1,1,1,0,1,1,1,2,3,0,0,0,0,4,1,3,0,0,2,0,0,1,0,1,0,1,0,1,2,0,1,1,3,121,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,4,0,0,0,1,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0
34. ⼡,37,28,11,14,15,15,13,4,8,1,8,2,7,10,11,4,2,0,11,11,2,6,7,5,1,3,3,0,0,2,5,1,1,4,0,2,12,1,1,1,1,2,1,1,4,0,0,0,2,0,1,1,1,1,1,4,0,2,0,2,0,17,0,0,1,0,2,0,1,0,0,5,0,1,0,120,3,3,1,2,0,2,1,0,0,0,0,2,1,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0
