order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21,kanji_22,kanji_23,kanji_24,kanji_25,kanji_26,kanji_27,kanji_28,kanji_29,kanji_30,kanji_31,kanji_32,kanji_33,kanji_34,kanji_35,kanji_36,kanji_37,kanji_38,kanji_39,kanji_40,kanji_41,kanji_42,kanji_43,kanji_44,kanji_45,kanji_46,kanji_47,kanji_48,kanji_49,kanji_50,kanji_51,kanji_52,kanji_53,kanji_54,kanji_55,kanji_56,kanji_57,kanji_58,kanji_59,kanji_60,kanji_61,kanji_62,kanji_63,kanji_64,kanji_65,kanji_66,kanji_67,kanji_68,kanji_69,kanji_70,kanji_71,kanji_72
82,車,True,True,89,42,1896,4635,暫,慙,暉,渾,輻,諢,車,運,漣,輪,轣,軍,軸,載,槧,斬,轗,轍,揮,嶄,琿,鏨,暈,俥,軋,転,塹,連,軽,轡,輅,漸,葷,輟,轎,轟,軻,軒,輹,輌,蓮,庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,竹,True,True,125,46,1942,4589,篝,竿,筒,筥,箸,筴,筱,策,筈,笑,箘,箚,箇,符,箋,竺,答,筏,笋,笨,等,筧,篁,筍,筝,箔,筬,箱,箴,筋,簽,籟,笳,笙,笠,纂,篠,筌,竹,笘,笄,簡,簒,算,笞,笈,,,,,,,,,,,,,,,,,,,,,,,,,,
84,者,True,False,11,7,1949,4582,闍,奢,墸,楮,偖,覩,睹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,忄,True,True,133,57,2006,4525,忱,悖,悸,悋,怡,慟,忻,懍,悚,怐,怪,愃,恬,惆,悧,恪,憫,懼,惺,悴,怯,恰,悍,怕,慚,憔,怛,憤,恒,性,憧,憬,悁,忄,懽,惇,恟,恊,憶,忖,憾,愎,恃,懆,悦,懶,惟,怙,悃,悛,惶,悼,恂,愧,惻,憚,恫,,,,,,,,,,,,,,,
86,⻖,False,True,71,31,2037,4494,阻,隍,隕,陀,阮,阿,阪,険,陞,障,險,陜,隗,婀,陳,附,防,隆,隙,阯,陵,院,薩,陟,陦,陣,陪,嶐,阡,陥,陸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,自,True,True,24,10,2047,4484,嬶,憩,嗅,鼻,戛,夏,臭,息,嚊,自,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,几,True,True,111,35,2082,4449,汎,凪,冗,壳,凩,伉,殳,杭,𣪘,投,没,咒,亢,抗,役,殻,設,拠,廏,股,坑,机,凭,処,梵,繋,穀,肌,吭,凰,凡,殺,夙,几,芟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,勿,True,False,41,26,2108,4423,暘,易,楊,腸,吻,惚,揚,膓,暢,錫,傷,刎,忽,慯,鯣,勿,蕩,塲,賜,殤,剔,湯,場,笏,昜,陽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,尸,True,True,98,50,2158,4373,尸,咫,鋸,呎,譬,壁,届,堀,屎,辟,尺,避,鈬,屆,薜,釈,窟,僻,倔,居,怩,劈,孱,屍,闢,眤,蘗,嬖,昵,屠,倨,屡,屈,屐,昼,璧,沢,尼,屓,訳,臂,履,崛,据,局,択,泥,掘,檗,潺,,,,,,,,,,,,,,,,,,,,,,
91,龰,False,False,28,17,2175,4356,蹙,促,徒,徙,超,樅,縱,從,躄,赴,走,越,蹤,趨,捉,足,慫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,用,True,True,57,8,2183,4348,庸,傭,備,慵,嘴,憊,糒,用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,事,True,False,1,1,2184,4347,事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
