order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21
113,龶,False,False,22,20,1122,1120,青,請,静,情,轄,精,靖,害,晴,清,漬,績,積,素,責,麦,契,債,喫,割,
114,也,True,False,5,5,1127,1115,也,池,施,地,他,,,,,,,,,,,,,,,,
115,疋,True,True,16,11,1138,1104,礎,是,錠,疎,綻,婿,題,旋,堤,提,定,,,,,,,,,,
116,欠,True,True,19,11,1149,1093,恣,炊,次,資,軟,姿,歌,欠,吹,諮,茨,,,,,,,,,,
117,艮,True,True,24,8,1157,1085,眼,限,恨,銀,根,退,節,即,,,,,,,,,,,,,
118,虫,True,True,22,10,1167,1075,蛇,属,蚊,虹,虫,嘱,蜂,蜜,蚕,強,,,,,,,,,,,
119,卩,True,True,31,19,1186,1056,鈴,叩,命,碗,怨,報,厄,齢,令,危,領,却,範,脚,服,腕,宛,氾,冷,,
120,羊,True,True,23,12,1198,1044,窯,着,遅,達,羊,詳,羨,洋,群,鮮,祥,差,,,,,,,,,
121,示,True,True,18,8,1206,1036,尉,禁,示,奈,崇,宗,款,慰,,,,,,,,,,,,,
122,戸,True,True,16,14,1220,1022,涙,炉,雇,遍,所,篇,偏,啓,顧,編,肩,房,戸,戻,,,,,,,
123,前,True,False,3,3,1223,1019,煎,揃,前,,,,,,,,,,,,,,,,,,
124,長,True,True,4,3,1226,1016,帳,張,長,,,,,,,,,,,,,,,,,,
125,西,True,True,21,15,1241,1001,酵,酪,噂,醒,醜,酒,遵,酌,尊,配,酎,酷,西,樽,酸,,,,,,
126,了,True,False,10,7,1248,994,了,序,預,柔,予,務,矛,,,,,,,,,,,,,,
127,雨,True,True,18,10,1258,984,雨,雲,霜,雪,霧,漏,曇,雷,零,雰,,,,,,,,,,,
128,共,True,False,12,8,1266,976,異,共,港,戴,殿,洪,供,選,,,,,,,,,,,,,
129,业,False,False,12,6,1272,970,顕,並,普,湿,霊,業,,,,,,,,,,,,,,,
130,皿,True,True,18,8,1280,962,温,盗,盆,蓋,盛,盟,塩,皿,,,,,,,,,,,,,
131,足,True,True,11,5,1285,957,路,踪,露,践,踊,,,,,,,,,,,,,,,,
132,七,True,False,15,5,1290,952,宅,𠮟,窃,託,切,,,,,,,,,,,,,,,,
133,癶,True,True,4,2,1292,950,発,廃,,,,,,,,,,,,,,,,,,,
134,正,True,False,7,4,1296,946,整,征,政,証,,,,,,,,,,,,,,,,,
135,罒,True,False,24,16,1312,930,夢,濁,聴,買,羅,罷,懐,徳,蔑,署,漫,慢,罰,澤,寧,壊,,,,,
136,覀,True,False,12,11,1323,919,漂,遷,価,栗,要,慄,腰,票,煙,標,覆,,,,,,,,,,
137,⺤,False,False,29,15,1338,904,浮,受,乳,愛,采,隠,妥,採,淫,授,爵,曖,稲,菜,穏,,,,,,
138,由,True,False,3,1,1339,903,笛,,,,,,,,,,,,,,,,,,,,
139,豕,True,True,14,8,1347,895,豪,豚,塚,逐,縁,稼,家,嫁,,,,,,,,,,,,,
140,学,True,False,1,1,1348,894,学,,,,,,,,,,,,,,,,,,,,
141,後,True,False,1,1,1349,893,後,,,,,,,,,,,,,,,,,,,,
142,聿,True,True,7,4,1353,889,津,書,筆,律,,,,,,,,,,,,,,,,,
143,馬,True,True,14,12,1365,877,驚,篤,駄,騎,駐,験,駒,騒,罵,駅,馬,駿,,,,,,,,,
144,氺,True,True,18,10,1375,867,緑,逮,隷,禄,泰,爆,暴,録,様,康,,,,,,,,,,,
145,予,True,False,1,1,1376,866,野,,,,,,,,,,,,,,,,,,,,
146,疒,True,True,18,12,1388,854,疫,瘍,症,痩,癖,癒,痺,痕,病,痢,痛,癌,,,,,,,,,
147,九,True,False,16,15,1403,839,執,尻,熱,摯,枠,染,究,雑,塾,軌,勢,酔,砕,熟,粋,,,,,,
148,衤,True,False,10,7,1410,832,袖,初,褐,裾,複,襟,裸,,,,,,,,,,,,,,
149,彡,True,True,17,14,1424,818,珍,形,参,影,彫,顔,須,惨,診,彦,彰,杉,修,彩,,,,,,,
150,水,True,True,12,12,1436,806,承,蒸,水,尿,詠,線,泉,腺,踏,氷,泳,永,,,,,,,,,
151,幺,True,True,16,13,1449,793,畿,弦,磯,幼,玄,機,磁,慈,幾,畜,蓄,滋,幽,,,,,,,,
152,⺍,False,True,19,14,1463,779,労,巣,弾,桜,栄,脳,営,単,覚,悩,蛍,戦,図,禅,,,,,,,
153,乍,True,False,5,5,1468,774,搾,昨,酢,詐,作,,,,,,,,,,,,,,,,
154,鳥,True,True,9,8,1476,766,鳩,鷹,鳴,鴨,鳥,島,嶋,鶴,,,,,,,,,,,,,
155,⺨,False,False,17,13,1489,753,猶,狩,猪,狙,猫,狭,独,猿,猛,獲,猟,獄,狂,,,,,,,,
156,氏,True,True,9,7,1496,746,底,邸,婚,抵,低,氏,紙,,,,,,,,,,,,,,
157,矢,True,True,17,12,1508,734,族,疾,矯,凝,矢,知,嫉,疑,擬,痴,智,挨,,,,,,,,,
158,父,True,True,10,9,1517,725,交,較,絞,効,郊,校,釜,父,鮫,,,,,,,,,,,,
159,关,True,False,4,4,1521,721,関,咲,朕,送,,,,,,,,,,,,,,,,,
160,毋,True,True,11,4,1525,717,毎,貫,慣,毒,,,,,,,,,,,,,,,,,
161,豆,True,True,12,12,1537,705,豊,頭,樹,豆,膨,登,短,澄,鼓,艶,痘,闘,,,,,,,,,
162,今,True,False,8,8,1545,697,今,琴,念,吟,陰,捻,貪,含,,,,,,,,,,,,,
163,川,True,True,11,9,1554,688,硫,訓,州,順,滞,酬,川,棄,流,,,,,,,,,,,,
164,比,True,True,12,9,1563,679,混,階,諧,陛,楷,比,批,皆,昆,,,,,,,,,,,,
165,至,True,True,9,9,1572,670,室,致,至,握,倒,窒,屋,到,緻,,,,,,,,,,,,
166,未,True,False,12,7,1579,663,未,昧,耕,妹,味,魅,朱,,,,,,,,,,,,,,
167,羽,True,True,10,10,1589,653,濯,扇,翌,曜,翻,翼,躍,翁,習,羽,,,,,,,,,,,
168,甘,True,True,15,5,1594,648,謀,紺,某,甘,媒,,,,,,,,,,,,,,,,
