order,element,is_kanji,is_kangxi_radical,pruned_kanji_count,new_kanji_count,cumulative_covered,remaining_kanji,kanji_1,kanji_2,kanji_3,kanji_4,kanji_5,kanji_6,kanji_7,kanji_8,kanji_9,kanji_10,kanji_11,kanji_12,kanji_13,kanji_14,kanji_15,kanji_16,kanji_17,kanji_18,kanji_19,kanji_20,kanji_21
295,瓦,True,True,2,2,2075,167,瓶,瓦,,,,,,,,,,,,,,,,,,,
296,睘,True,False,2,2,2077,165,環,還,,,,,,,,,,,,,,,,,,,
297,郷,True,False,2,2,2079,163,郷,響,,,,,,,,,,,,,,,,,,,
298,存,True,False,1,1,2080,162,存,,,,,,,,,,,,,,,,,,,,
299,末,True,False,2,2,2082,160,末,抹,,,,,,,,,,,,,,,,,,,
300,師,True,False,2,2,2084,158,師,獅,,,,,,,,,,,,,,,,,,,
301,呉,True,False,4,4,2088,154,虞,誤,娯,呉,,,,,,,,,,,,,,,,,
302,号,True,False,1,1,2089,153,号,,,,,,,,,,,,,,,,,,,,
303,卅,True,False,1,1,2090,152,帯,,,,,,,,,,,,,,,,,,,,
304,旡,True,True,3,3,2093,149,慨,概,既,,,,,,,,,,,,,,,,,,
305,之,True,False,3,3,2096,146,芝,之,乏,,,,,,,,,,,,,,,,,,
306,両,True,False,1,1,2097,145,満,,,,,,,,,,,,,,,,,,,,
307,尢,True,True,3,3,2100,142,就,稽,蹴,,,,,,,,,,,,,,,,,,
308,屰,True,False,3,3,2103,139,逆,遡,塑,,,,,,,,,,,,,,,,,,
309,観,True,False,1,1,2104,138,観,,,,,,,,,,,,,,,,,,,,
310,寅,True,False,1,1,2105,137,演,,,,,,,,,,,,,,,,,,,,
311,㐮,True,False,4,4,2109,133,譲,嬢,壌,醸,,,,,,,,,,,,,,,,,
312,喜,True,False,2,2,2111,131,喜,嬉,,,,,,,,,,,,,,,,,,,
313,尓,True,False,2,2,2113,129,称,弥,,,,,,,,,,,,,,,,,,,
314,為,True,False,2,2,2115,127,為,偽,,,,,,,,,,,,,,,,,,,
315,断,True,False,1,1,2116,126,断,,,,,,,,,,,,,,,,,,,,
316,乎,True,False,1,1,2117,125,呼,,,,,,,,,,,,,,,,,,,,
317,瓜,True,True,3,3,2120,122,孤,弧,狐,,,,,,,,,,,,,,,,,,
318,久,True,False,2,2,2122,120,畝,久,,,,,,,,,,,,,,,,,,,
319,奉,True,False,4,4,2126,116,棒,捧,奉,俸,,,,,,,,,,,,,,,,,
320,妻,True,False,2,2,2128,114,妻,凄,,,,,,,,,,,,,,,,,,,
321,収,True,False,1,1,2129,113,収,,,,,,,,,,,,,,,,,,,,
322,菐,True,False,2,2,2131,111,撲,僕,,,,,,,,,,,,,,,,,,,
323,善,True,False,3,3,2134,108,繕,膳,善,,,,,,,,,,,,,,,,,,
324,隊,True,False,2,2,2136,106,隊,墜,,,,,,,,,,,,,,,,,,,
325,従,True,False,2,2,2138,104,縦,従,,,,,,,,,,,,,,,,,,,
326,肉,True,True,2,2,2140,102,肉,腐,,,,,,,,,,,,,,,,,,,
327,鬲,True,True,2,2,2142,100,隔,融,,,,,,,,,,,,,,,,,,,
328,曹,True,False,3,3,2145,97,槽,遭,曹,,,,,,,,,,,,,,,,,,
329,敢,True,False,2,2,2147,95,厳,敢,,,,,,,,,,,,,,,,,,,
330,展,True,False,1,1,2148,94,展,,,,,,,,,,,,,,,,,,,,
331,卬,True,False,2,2,2150,92,仰,迎,,,,,,,,,,,,,,,,,,,
332,率,True,False,1,1,2151,91,率,,,,,,,,,,,,,,,,,,,,
333,豸,True,True,3,3,2154,88,墾,懇,貌,,,,,,,,,,,,,,,,,,
334,華,True,False,2,2,2156,86,華,嘩,,,,,,,,,,,,,,,,,,,
335,叚,True,False,2,2,2158,84,暇,霞,,,,,,,,,,,,,,,,,,,
336,⺗,False,True,3,3,2161,81,慕,恭,添,,,,,,,,,,,,,,,,,,
337,旅,True,False,1,1,2162,80,旅,,,,,,,,,,,,,,,,,,,,
338,恵,True,False,2,2,2164,78,恵,穂,,,,,,,,,,,,,,,,,,,
339,亟,True,False,1,1,2165,77,極,,,,,,,,,,,,,,,,,,,,
340,挙,True,False,1,1,2166,76,挙,,,,,,,,,,,,,,,,,,,,
341,飛,True,True,1,1,2167,75,飛,,,,,,,,,,,,,,,,,,,,
342,兪,True,False,1,1,2168,74,喩,,,,,,,,,,,,,,,,,,,,
343,竜,True,False,2,2,2170,72,滝,竜,,,,,,,,,,,,,,,,,,,
344,益,True,False,1,1,2171,71,益,,,,,,,,,,,,,,,,,,,,
345,乞,True,False,1,1,2172,70,乾,,,,,,,,,,,,,,,,,,,,
346,唐,True,False,2,2,2174,68,糖,唐,,,,,,,,,,,,,,,,,,,
347,散,True,False,1,1,2175,67,散,,,,,,,,,,,,,,,,,,,,
348,夸,True,False,1,1,2176,66,誇,,,,,,,,,,,,,,,,,,,,
349,興,True,False,1,1,2177,65,興,,,,,,,,,,,,,,,,,,,,
350,舞,True,False,1,1,2178,64,舞,,,,,,,,,,,,,,,,,,,,
351,咢,True,False,1,1,2179,63,顎,,,,,,,,,,,,,,,,,,,,
352,㔾,False,True,1,1,2180,62,犯,,,,,,,,,,,,,,,,,,,,
353,印,True,False,1,1,2181,61,印,,,,,,,,,,,,,,,,,,,,
354,継,True,False,1,1,2182,60,継,,,,,,,,,,,,,,,,,,,,
355,丑,True,False,2,2,2184,58,紐,羞,,,,,,,,,,,,,,,,,,,
356,遣,True,False,1,1,2185,57,遣,,,,,,,,,,,,,,,,,,,,
357,衆,True,False,1,1,2186,56,衆,,,,,,,,,,,,,,,,,,,,
358,候,True,False,1,1,2187,55,候,,,,,,,,,,,,,,,,,,,,
359,勤,True,False,1,1,2188,54,勤,,,,,,,,,,,,,,,,,,,,
360,侯,True,False,2,2,2190,52,喉,侯,,,,,,,,,,,,,,,,,,,
361,賓,True,False,1,1,2191,51,賓,,,,,,,,,,,,,,,,,,,,
362,丩,True,False,2,2,2193,49,叫,糾,,,,,,,,,,,,,,,,,,,
363,厷,True,False,1,1,2194,48,雄,,,,,,,,,,,,,,,,,,,,
364,覧,True,False,1,1,2195,47,覧,,,,,,,,,,,,,,,,,,,,
365,那,True,False,1,1,2196,46,那,,,,,,,,,,,,,,,,,,,,
366,麗,True,False,1,1,2197,45,麗,,,,,,,,,,,,,,,,,,,,
367,憲,True,False,1,1,2198,44,憲,,,,,,,,,,,,,,,,,,,,
368,遂,True,False,1,1,2199,43,遂,,,,,,,,,,,,,,,,,,,,
369,衰,True,False,1,1,2200,42,衰,,,,,,,,,,,,,,,,,,,,
370,爾,True,False,1,1,2201,41,璽,,,,,,,,,,,,,,,,,,,,
371,於,True,False,1,1,2202,40,於,,,,,,,,,,,,,,,,,,,,
372,雍,True,False,1,1,2203,39,擁,,,,,,,,,,,,,,,,,,,,
373,抑,True,False,1,1,2204,38,抑,,,,,,,,,,,,,,,,,,,,
374,汚,True,False,1,1,2205,37,汚,,,,,,,,,,,,,,,,,,,,
375,虐,True,False,1,1,2206,36,虐,,,,,,,,,,,,,,,,,,,,
376,后,True,False,1,1,2207,35,后,,,,,,,,,,,,,,,,,,,,
377,勧,True,False,1,1,2208,34,勧,,,,,,,,,,,,,,,,,,,,
378,爪,True,True,1,1,2209,33,爪,,,,,,,,,,,,,,,,,,,,
379,寒,True,False,1,1,2210,32,寒,,,,,,,,,,,,,,,,,,,,
380,渋,True,False,1,1,2211,31,渋,,,,,,,,,,,,,,,,,,,,
381,歓,True,False,1,1,2212,30,歓,,,,,,,,,,,,,,,,,,,,
382,慶,True,False,1,1,2213,29,慶,,,,,,,,,,,,,,,,,,,,
383,誉,True,False,1,1,2214,28,誉,,,,,,,,,,,,,,,,,,,,
384,丹,True,False,1,1,2215,27,丹,,,,,,,,,,,,,,,,,,,,
385,塁,True,False,1,1,2216,26,塁,,,,,,,,,,,,,,,,,,,,
386,眉,True,False,1,1,2217,25,眉,,,,,,,,,,,,,,,,,,,,
387,幻,True,False,1,1,2218,24,幻,,,,,,,,,,,,,,,,,,,,
388,獣,True,False,1,1,2219,23,獣,,,,,,,,,,,,,,,,,,,,
389,朕,True,False,1,1,2220,22,謄,,,,,,,,,,,,,,,,,,,,
390,薦,True,False,1,1,2221,21,薦,,,,,,,,,,,,,,,,,,,,
391,摂,True,False,1,1,2222,20,摂,,,,,,,,,,,,,,,,,,,,
392,粛,True,False,1,1,2223,19,粛,,,,,,,,,,,,,,,,,,,,
393,嘉,True,False,1,1,2224,18,嘉,,,,,,,,,,,,,,,,,,,,
394,畏,True,False,1,1,2225,17,畏,,,,,,,,,,,,,,,,,,,,
395,拳,True,False,1,1,2226,16,拳,,,,,,,,,,,,,,,,,,,,
396,潔,True,False,1,1,2227,15,潔,,,,,,,,,,,,,,,,,,,,
397,繊,True,False,1,1,2228,14,繊,,,,,,,,,,,,,,,,,,,,
398,桼,True,False,1,1,2229,13,漆,,,,,,,,,,,,,,,,,,,,
399,塞,True,False,1,1,2230,12,塞,,,,,,,,,,,,,,,,,,,,
400,膝,True,False,1,1,2231,11,膝,,,,,,,,,,,,,,,,,,,,
401,淵,True,False,1,1,2232,10,淵,,,,,,,,,,,,,,,,,,,,
402,駦,False,False,1,1,2233,9,騰,,,,,,,,,,,,,,,,,,,,
403,鬱,True,False,1,1,2234,8,鬱,,,,,,,,,,,,,,,,,,,,
404,朽,True,False,1,1,2235,7,朽,,,,,,,,,,,,,,,,,,,,
405,僅,True,False,1,1,2236,6,僅,,,,,,,,,,,,,,,,,,,,
406,帥,True,False,1,1,2237,5,帥,,,,,,,,,,,,,,,,,,,,
407,謹,True,False,1,1,2238,4,謹,,,,,,,,,,,,,,,,,,,,
408,凹,True,False,1,1,2239,3,凹,,,,,,,,,,,,,,,,,,,,
409,寡,True,False,1,1,2240,2,寡,,,,,,,,,,,,,,,,,,,,
410,凸,True,False,1,1,2241,1,凸,,,,,,,,,,,,,,,,,,,,
411,CDP-8DDC,False,False,1,1,2242,0,繭,,,,,,,,,,,,,,,,,,,,
