Summary: {Weight} {token}: {words[0:10]}
0.0005162    8 stock          : 出し子, 品出し, 鰹出し, 鰹出汁, 出し汁, 出し, 出汁, 出自
0.0005155   15 draw           : 流し出す, 引き出す, 引出す, 吸い出す, 導き出す, 振り出す, 振出す, ぬき出す, 抜き出す, くり出す, ...
0.0005114   19 forth          : 紡ぎ出す, ほとばしり出る, わき出る, 沸き出る, 涌き出る, 湧き出る, 踏み出す, 踏出す, 流れ出る, 流れ出す, ...
0.0005098   24 something      : 後出し, ほじくり出す, 穿り出す, かつぎ出す, 担ぎ出す, 出, あふれ出る, 溢れ出る, 持ち出す, 持出す, ...
0.0004973   15 throw          : つかみ出す, 掴み出す, 投げ出す, ほっぽり出す, つまみ出す, 摘み出す, 撮み出す, ほうり出す, 抛り出す, 放り出す, ...
0.0004945   19 work           : 出役, 出勤, 遅出, 出社, はじき出す, 弾き出す, 出職, 出張る, ひねり出す, 捻り出す, ...
0.0004886    1 ejaculation    : 中出し
0.0004865   16 leave          : おん出る, 忍び出る, 出る, 出かける, 出掛ける, まかり出る, 罷り出る, 出がけ, 出張る, いびり出す, ...
0.0004848   17 protrude       : 出張る, せり出す, 迫り出す, 迫出す, 差し出る, 差出る, はみ出る, 食み出る, はみ出す, 食み出す, ...
0.0004840   14 gush           : ほとばしり出る, わき出る, 沸き出る, 涌き出る, 湧き出る, わき出す, 沸き出す, 湧き出す, 吹き出す, 吹出す, ...
0.0004823    1 anal           : 中出し
0.0004598   18 pick           : ほじくり出す, 穿り出す, 選り出す, つまみ出す, 摘み出す, 撮み出す, 見い出す, 見出す, 見出だす, 掘り出す, ...
0.0004535   15 jut            : 出張る, せり出す, 迫り出す, 迫出す, 差し出る, 差出る, 張り出す, 張出す, 貼り出す, はみ出る, ...
0.0004530    5 fish           : 角出, 出し子, 釣り出す, 出し, 出汁
0.0004503   19 water          : 水出し, くみ出す, 汲み出す, 汲出す, すくい出す, 掬い出す, 水出, かい出す, 掻い出す, 塩出し, ...
0.0004489   20 money          : 入出金, 持出し, 持ち出し, 持出, 引き出す, 引出す, 振り出す, 振出す, ひねり出す, 捻り出す, ...
0.0004324   15 time           : 出際, 出どころ, 出来秋, 出ずっぱり, 出所, 出処, 新出, 出盛り, ひねり出す, 捻り出す, ...
0.0004280    9 exit           : 出待ち, 出入り口, 出入口, 出どころ, 出る, 出口, 出場, 出所, 出処
0.0004113   16 taking         : 出役, 出車, 持出し, 持ち出し, 持出, 搬出, 摘出, 剔出, 出し入れ, 帯出, ...
0.0004059    2 seepage        : しみ出し, 染み出し
0.0004037   11 stage          : 出囃子, 出待ち, 出ずっぱり, せり出す, 迫り出す, 迫出す, 出番, 出場, おどり出る, 躍り出る, ...
0.0003904   18 appearance     : 間出, 出場, 出語り, 顔出し, 露出, 頻出, 初出, 出現, 出演, 出頭, ...
0.0003851    9 overhang       : 張り出, 張出, 差し出る, 差出る, 張り出す, 張出す, 貼り出す, 張り出し, 張出し
0.0003846   11 opponent       : 後出し, 出し投げ, 決め出し, 突出し, 吊り出す, 吊り出し, つき出し, 突き出し, 押し出し, 押出し, ...
0.0003811    2 land           : 出州, 出洲
0.0003765   16 set            : 乗り出す, 乗出す, こぎ出す, 漕ぎ出す, 踏み出す, 踏出す, 出る, 出かける, 出掛ける, くり出す, ...
0.0003713    9 cut            : 削り出す, えぐり出す, 抉り出す, 裁ち出す, 切り出す, 切出す, 蹴出す, 飛び出す, 飛出す
0.0003683    7 call           : 呼び出す, 呼出す, 呼び出し, 呼出, 呼出し, 召し出す, 出直す
0.0003606   11 bail           : すくい出す, 掬い出す, かい出す, 掻い出す, くみ出す, 汲み出す, 汲出す, かき出す, 掻き出す, 掻出す, ...
0.0003591    5 flush          : 流し出す, 狩り出す, 狩出す, 駆り出す, 駆出す
0.0003540    7 projecting     : 出丸, 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端
0.0003537   17 project        : 出張る, 張り出す, 張出す, 貼り出す, とび出る, 飛び出る, 飛び出す, 飛出す, 出っぱる, 出っ張る, ...
0.0003515   10 outset         : 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端, 振り出, 振り出し, 振出, 振出し
0.0003469    9 spring         : 虫出し, はえ出る, 生え出る, はじき出す, 弾き出す, 出で湯, 出湯, おどり出る, 躍り出る
0.0003441    3 dried          : 出し子, 鰹出し, 鰹出汁
0.0003427   11 moment         : 出どころ, 出がけ, 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端, 出掛け, 出所, ...
0.0003389    9 reveal         : えぐり出す, 抉り出す, あぶり出す, 炙り出す, 焙り出す, にじみ出る, 滲み出る, 出す, 洗い出す
0.0003377    1 species        : 角出
0.0003341   11 extract        : 煮出す, 書き出す, 煎じ出す, 引き出す, 引出す, ぬき出す, 抜き出す, 切り出す, 切出す, 聞き出す, ...
0.0003328    8 sprout         : はえ出る, 生え出る, 萌え出る, 芽出し, 吹き出す, 吹出す, 噴き出す, 噴出す
0.0003322    9 smoke          : いぶり出す, 燻り出す, 吹き出す, 吹出す, 噴き出す, 噴出す, さがし出す, 捜し出す, 探し出す
0.0003307    3 eruption       : 萌出, 出物, 噴出
0.0003245   14 stand          : 抜き出る, 出張る, 浮き出る, 浮出る, 浮き出す, 浮出す, 抜け出る, 抜出る, 脱け出る, 抜きん出る, ...
0.0003189    6 scrape         : 削り出す, ひねり出す, 捻り出す, かき出す, 掻き出す, 搔き出す
0.0003122    8 ooze           : 滲み出す, 染み出す, しみ出る, 染み出る, にじみ出る, 滲み出る, 流れ出る, 流れ出す
0.0003105    2 caterer        : 仕出し屋, 仕出屋
0.0003073   15 make           : 出し子, 仕出す, 仕出かす, 為出かす, 引き出す, 引出す, 願い出る, にげ出す, 逃げ出す, 逃出す, ...
0.0003046    5 coffee         : 水出し, 出がらし, 出涸らし, 水出, 出し殻
0.0003042    1 stocking       : 品出し
0.0003022    9 expel          : ほっぽり出す, はじき出す, 弾き出す, ほうり出す, 抛り出す, 放り出す, たたき出す, 叩き出す, 追い出す
0.0002982    2 bonito         : 鰹出し, 鰹出汁
0.0002965   10 setting        : 出際, 出題, 門出, 船出, 出帆, 出発, 出店, 出船, 出航, 出港
0.0002961   13 performance    : 出囃子, 出来ばえ, 出来映え, 出来栄え, 出し物, 上出来, 出演, 追出し, 追い出し, 打ち出す, ...
0.0002952   15 produce        : 引き出す, 引出す, とり出す, 取り出す, 取出す, つくり出す, 作り出す, 創り出す, 造り出す, 出す, ...
0.0002929    6 winning        : 出アガリ, 出し投げ, 突出し, 吊り出し, つき出し, 突き出し
0.0002922   11 bare           : むき出す, 剝き出す, 剥き出す, 露出, むき出し, 剝き出し, 剥き出し, まる出し, 丸出し, さらけ出す, ...
0.0002913   10 bill           : 書出し, 書き出し, 付け出し, 振り出す, 振出す, 振り出, 振り出し, 振出, 振出し, 提出
0.0002912    7 prostitute     : 出女, 呼び出し, 呼出, 呼出し, 受け出す, 請け出す, 請出す
0.0002902   13 point          : 出がけ, 出っ鼻, 出鼻, 出っ端, 出はな, 出ばな, 出端, 振り出, 振り出し, 振出, ...
0.0002880    6 house          : 蹴り出す, つかみ出す, 掴み出す, 出来たて, 出来立て, 出入
