Summary: {Weight} {token}: {words[0:10]}
0.0009953    2 recommendation : 勧め, 勧告
0.0009935    3 low            : 低劣, 下劣, 劣等
0.0009878    1 forestry       : 林務
0.0009836   18 energy         : 勢力, 潮力, 威勢, 勢, 勢い, 余力, 力落し, 力落とし, 馬力, 注力, ...
0.0009761    3 palpitation    : 動気, 動悸, 鼓動
0.0009746    3 bill           : 勘定, 割り勘, 割勘
0.0009620    4 recruitment    : 急募, 募集, 徴募, 公募
0.0009587   14 movement       : 泳動, 地動, 身動ぎ, 運動, 攻勢, 荷動き, 微動, 値動き, 動態, 動作, ...
0.0009572    1 earnings       : 所務
0.0009454    1 medal          : 勲章
0.0009429    6 Buddhist       : 勧化, 功力, 勝楽, 務め, 不動, 勤め
0.0009416    2 thumping       : 動気, 動悸
0.0009404    3 quality        : 劣悪, 劣化, 優劣
0.0009316   15 ability        : 泳力, 走力, 微力, 脚力, 学力, 筆力, 力試し, 力倆, 力量, 聴力, ...
0.0009316    6 add            : つけ加える, 付け加える, 付加える, 附け加える, 加える, 書き加える
0.0009287    1 oracle         : 神勅
0.0009235    6 condition      : 動勢, 加減, 病勢, 形勢, 国勢, 動静
0.0009213    1 whale          : 勇魚
0.0009146    6 illness        : 所労, 労き, 労災, 病勢, 功, 労り
0.0009072    2 stimulus       : 励振, 励み
0.0008997    2 inducement     : 勧誘, 奨励
0.0008925    1 figure         : 勇姿
0.0008909    2 wages          : 労銀, 労賃
0.0008865    4 efficiency     : 卓効, 実効, 効率, 実力
0.0008846    2 pressing       : 先務, 急務
0.0008796    2 inkling        : 勘づく, 勘付く
0.0008724    4 gallant        : 勇姿, 勇壮, 勇敢, 勇ましい
0.0008566    4 effectiveness  : 効能, 効果, 効き, 功能
0.0008556    3 decision       : 勅裁, 勇断, 決勝
0.0008541    2 study          : 勉強, 勉学
0.0008486    2 important      : 先務, 要務
0.0008474    1 F              : 勝絶
0.0008428    4 feeling        : 心勝り, 心劣り, 動揺, 動かす
0.0008418    2 stimulation    : 勧奨, 奨励
0.0008343    2 Acanthopanax   : 五加木, 五加
0.0008312   11 person         : がり勉, ガリ勉, 寺務, 主務, 露助, 債務, 加冠, 活動, 人助け, 助兵衛, ...
0.0008270   10 physical       : 力役, 力仕事, 膂力, 大力, 運動, 腕力, 力倆, 力量, 体力, 筋力
0.0008227    3 numerical      : 劣勢, 無勢, 多勢
0.0008211    4 routine        : 励行, 俗務, 雑務, 常務
0.0008205    1 ruling         : 勅裁
0.0008160    2 guesswork      : ヤマ勘, 山勘
0.0008151    4 sense          : 勘づく, 勘付く, 勘, 目力
0.0008092    1 feudal         : 所務
0.0007983    5 heart          : 動気, 勇躍, 勢いづく, 勢い付く, 動悸
0.0007955   11 motion         : 差動, 体動, 躍動, 脈動, 波動, 動作, 動議, 動, 運動, 動き, ...
0.0007926    2 contemptible   : 卑劣, 鄙劣
0.0007915    2 grind          : がり勉, ガリ勉
0.0007877    1 chromatic      : 勝絶
0.0007859    2 pounding       : 動気, 動悸
0.0007848    2 grade          : 低劣, 劣等
0.0007847    4 treat          : 割り勘, 割勘, 労る, 労わる
0.0007824    2 hunch          : ヤマ勘, 山勘
0.0007819    1 strict         : 励行
0.0007661    1 constitution   : 勅裁
0.0007613    3 practice       : 練功, 励行, 実務
