Summary: {Weight} {token}: {words[0:10]}
0.0012230   10 reap           : 苅る, 刈, 刈り上げる, 刈り取る, 刈取る, 刈り込む, 刈込む, 刈り入れる, 刈入れる, 刈る
0.0012217    3 coin           : 匁, 硬貨, 文目
0.0012204    1 jealousy       : 悋気
0.0012200    7 new            : 嫩葉, 邀える, 改暦, 改行, 新政, 衣更え, 改訳
0.0012053    1 fruit          : 林檎
0.0011974    8 ceremony       : 儀仗, 斎行, 斎食, 改まる, 厳か, 斎場, 数奇者, 数寄者
0.0011969    3 university     : 大學, 學生, 教室
0.0011964   23 cut            : 苅る, 刈りそろえる, 刈り揃える, 切り放つ, 刈り込む, 刈込む, 刈り干す, 刈, 刈り上げる, 切り散らす, ...
0.0011937   13 revision       : 版数, 改案, 更改, 変更, 更訂, 更正, 変改, 改版, 改廃, 改訂, ...
0.0011932    6 uncommon       : 希世, 希有, 希代, 稀代, 稀世, 稀有
0.0011859   11 game           : 泥警, 警泥, 赦す, 敗着, 碁敵, 勝敗, 駆りたてる, 駆り立てる, 駆立てる, 対局, ...
0.0011859   15 harvest        : 苅る, 麦刈り, 豊凶, 刈り上げる, 凶年, 刈り取る, 刈取る, 刈り込む, 刈込む, 刈り入れる, ...
0.0011802    5 emotion        : 淋漓, 激情, 感激, 突き離す, 突き放す
0.0011718    1 slug           : 熬海鼠
0.0011685    2 imitation      : 摸倣, 模倣
0.0011674   24 figure         : 痩躯, 長躯, 巨躯, 三枚目, 躯, 左図, 中枢, 右図, 上図, 大丈夫, ...
0.0011666   19 crest          : 紋付, 紋付き, 代紋, 三つ紋, 桐紋, 替え紋, 替紋, 紋服, 紋所, 紋帖, ...
0.0011660   19 respect        : 宿禰, 敬愛, 敬する, 敬す, 恭敬, 敬う, 敬い, 表敬, 尊敬, 敬老, ...
0.0011633    4 brought        : 薮蛇, 甦える, 甦る, 藪蛇
0.0011628    4 unit           : 匁, 文目, 文節, 一文
0.0011611   12 love           : 情史, 擒, 二枚目, 首っ丈, 敬慕, 敬愛, 恋敵, 投げ文, 惚気話, 恋文, ...
0.0011602    1 ceremonial     : 儀仗
0.0011531    1 cantonment     : 廠舎
0.0011506    4 refutation     : 論駁, 弁駁, 駁論, 反駁
0.0011463    4 European       : 欧文, 欧露, 欧字, 米欧
0.0011423    2 silver         : 匁, 文目
0.0011418    7 grass          : 苅る, 藪蘭, 刈萱, 刈草, 牧草, 笹藪, 刈る
0.0011407    1 discourse      : 論攷
0.0011385    5 reason         : 故無い, 理致, 働き甲斐, 生き甲斐, 生甲斐
0.0011352    1 warrior        : 貔貅
0.0011296    4 pivot          : 枢戸, 枢, 枢軸, 中枢
0.0011131   19 pattern        : 見倣う, 阿彌陀, 地紋, 風紋, 斑紋, 小紋, 紋紋, 紋様, 紋, 擦文, ...
0.0011115    2 regalia        : 剣璽, 神璽
0.0011101   11 rescue         : 救い上げる, 救済, 救ける, 救う, 救い出す, 救い, 救難, 救助, 救恤, 救出, ...
0.0011051    1 sardine        : 熬り子
0.0010941    2 according      : 移牧, 斎日
0.0010909    1 album          : 橄欖
0.0010892   20 give           : 言い做す, 言做す, 鞭打つ, 赦す, ぶん殴る, ブン殴る, 打ん殴る, 撒く, 敗ける, かじり散らす, ...
0.0010879    5 refreshing     : 爽涼, 爽秋, 清爽, 爽快, 爽やか
0.0010823    2 lazuli         : 琉璃, 瑠璃
0.0010815    3 learn          : 見倣う, 學ぶ, 教わる
0.0010794   16 body           : 躯体, 躯, 老躯, 病躯, 躯幹, 巨躯, 体躯, 身の丈, 故障, 放く, ...
0.0010747    2 research       : 論攷, 政調
0.0010682    1 afar           : 稀人
0.0010664   20 place          : 藪沢, 拉致る, 駆けずり回る, 斎王, 故山, 故地, 故里, 攻め口, 故郷, 敵地, ...
0.0010653    7 staff          : 御幣, 杖術, 杖道, 錫杖, 杖, 教職員, 教員
0.0010635   36 government     : 大學, 刀禰, 憲政, 政変, 政体, 朝敵, 自警, 軍政, 朝政, 太政, ...
0.0010613    3 sacred         : 剣璽, 神籬, 聖教
0.0010559    3 brush          : 淋漓, 筆致, 筆使い
0.0010552    3 concealment    : 掩蔽, 陰蔽, 隠蔽
0.0010545    2 hinge          : 枢戸, 枢
0.0010500   12 party          : 肴, 離宴, 離筵, 吃驚, 喫驚, 敵方, 党史, 政党, 政調, 吏党, ...
0.0010433   14 ward           : 区営, 港区, 区政, 区道, 区名, 区長, 区議, 区立, 区会, 同区, ...
0.0010412    4 decorated      : 神籬, 紋付, 紋付き, 紋服
0.0010397   12 land           : 神籬, 刈り跡, 更地, 故地, 牧野, 牧, 牧場, 図南, 故国, 街区, ...
0.0010376    8 pardon         : 大赦, 容赦, 赦す, 赦し, 特赦, 赦免, 恩赦, 使わす
0.0010372    8 fish           : 佳肴, 嘉肴, 焼き肴, 焼肴, 蚊絶やし, 平政, 放流, 放生
0.0010321    2 academic       : 論攷, 斯文
0.0010302    5 prune          : 苅る, 刈り込む, 刈込む, 刈, 刈る
0.0010224    3 whipping       : 攪拌, 鞭打ち, 鞭撻
0.0010166   12 strong         : 厳責, 強靱, 強硬, 硬い, 丈夫, 頑丈, 激臭, 厳談, 厳重, 激しい, ...
0.0010148    3 Aedes          : 薮蚊, 藪蚊, やぶ蚊
0.0010106    1 arsenal        : 工廠
0.0010086    1 junior         : 権禰宜
0.0010081    6 pity           : 憐憫, 憫笑, 憫察, 憫れむ, 憫れみ, 憫れ
0.0009983    4 mow            : 苅る, 刈り取る, 刈取る, 刈る
0.0009940   15 evil           : 悪弊, 余弊, 弊風, 病弊, 通弊, 積弊, 宿弊, 弊害, 豆撒き, 凶相, ...
0.0009883    5 discussion     : 論攷, 史論, 政談, 激論, 対話
0.0009869    4 measure        : 仭, 失対, 対策, 約数
0.0009838    1 normal         : 粳米
0.0009825    4 poultry        : 禽, 禽舎, 家禽, 羽数
0.0009749    1 bast           : 靱皮
0.0009733    1 visitor        : 稀人
0.0009701    7 Shinto         : 三教, 禊教, 禰宜, 奉幣, 幣物, 幣束, 斎部
0.0009700    3 stirring       : 薮蛇, 攪拌, 藪蛇
0.0009698    1 verdure        : 嫩葉
0.0009681    1 inquiry        : 論攷
0.0009502    5 clip           : 苅る, 刈, 刈り込む, 刈込む, 刈る
0.0009473    5 opposed        : 粳米, 対する, 対す, 正文, 実数
0.0009319    1 oil            : 蓖麻
0.0009313   10 night          : 五更, 三更, 深更, 夜更かし, 夜更し, 初更, 夜警, 夜更け, 敵娼, 夜気
0.0009210    4 sending        : 遣欧, 使聘, 送致, 下放
0.0009196   23 defeat         : 斃す, 必敗, 敗滅, 惜敗, 惨敗, 完敗, 敗報, 敗勢, 敗残, 敗軍, ...
0.0009191   31 chest          : はと胸, ハト胸, 鳩胸, 胸章, 胸回り, 胸幅, 両胸, 胸前, 左胸, 胸あて, ...
0.0009167   24 change         : 變, 改氏, 改号, 変更, 衣更え, 更迭, 変改, 政変, 改名, 改変, ...
0.0009159   17 used           : 鼈, 大幣, 幌蚊帳, 竹篦, 故紙, 警策, 対自, 便壺, 使途, 文箱, ...
0.0009127    4 yang           : 陽爻, 爻, 陽数, 陽気
0.0009111    1 miser          : 吝ん坊
0.0009089    6 flat           : 變, 枚数, 枚, 千畳敷, 閑散, 気抜け
