Summary: {Weight} {token}: {words[0:10]}
0.0015491   13 trim           : 刈りそろえる, 刈り揃える, 剪み切る, 刈, 剪る, 刈り込む, 刈込む, 刈る, はさみ切る, 挟み切る, ...
0.0015445    3 funny          : 剽軽, 喜劇, 茶利
0.0015409    1 Picris         : 髪剃菜
0.0015409    1 oxtongue       : 髪剃菜
0.0015409    1 hawkweed       : 髪剃菜
0.0015224    2 realize        : 思い到る, 想い到る
0.0015192   11 place          : 卒制, 到る, 刑場, 分際, 分, 区切り, 句切り, 切り, 切り捨てる, 切捨てる, ...
0.0014817    5 victory        : 剋, 刻, 捷利, 勝利, 制勝
0.0014794   21 two            : 剋, 両刀, 刻, 切り割る, 中分, 前々, 前前, 割り注, 割注, 前書, ...
0.0014675    7 hollow         : 刳れる, 刳る, 刳り, 刳り抜く, 刳り貫く, 刳貫く, 陰刻
0.0014672    2 shaver         : ひげ剃り, 髭剃り
0.0014609   11 chip           : 削片, 剝片, 刃こぼれ, 刃毀れ, 削ぎ落とす, 剥片, 削ぐ, 創, 木切れ, 切れはし, ...
0.0014598    4 finishing      : 刷了, 読み切り, 読切, 読切り
0.0014454   34 line           : 劃する, 劃す, 横列, 列ぶ, 列する, 縦列, 列, 並列, 同列, 列ねる, ...
0.0014179   11 drama          : 旧劇, 詩劇, 史劇, 剣劇, 劇談, 悲劇, 新劇, 劇評, 劇, 活劇, ...
0.0014013   17 hair           : 刺毛, 剃り落とす, 刈り上げる, 刎ねる, 毛刈り, とら刈り, 虎刈, 虎刈り, 裾刈り, 刈り上げ, ...
0.0013983   21 peel           : ひん剝く, 剝げる, 剝ける, 剝く, 剝げ落ちる, 剝ぐ, 剝がれる, 剝がす, 剥がれ落ちる, ひん剥く, ...
0.0013902    1 adhesive       : 糊剤
0.0013902    1 dope           : 糊剤
0.0013749    5 sprout         : 卵割り, 穎割, 穎割り, 貝割り, 貝割
0.0013740    4 deputy         : 副編, 副長, 副使, 副
0.0013738    1 pagoda         : 刹
0.0013615    1 stolen         : 根刮ぎ
0.0013533   10 law            : 刑律, 定則, 方則, 法則, 反則, 犯則, 鉄則, 則, 刑法, 村八分
0.0013488   24 beginning      : 劈頭, 草創, 初葉, 初口, 月初, 月初め, 本初, 原初, 当初, 太初, ...
0.0013392    2 moreover       : 剰, 剰え
0.0013188   28 interest       : 刮目, 削ぐ, 別趣, 付利, 重利, 金利, 利札, 持ち分, 持分, 複利, ...
0.0013169    3 board          : 板割り, 仕切り板, 板前
0.0013111    7 strength       : 剛力, 強剛, 剛強, 剛毅, 思いっ切し, 思いっ切り, 思い切り
0.0013110    4 associate      : 副編, 副手, 副, 副う
0.0013076   14 opening        : 劈頭, 創開, 開創, 前明き, 前座, 初め, 初日, 前開き, 前面, 前文, ...
0.0013071    1 scraper        : 削器
0.0013062   11 head           : 中剃り, 剃髪, 刈り上げる, 副長, 別当, 刀禰, 前, 親分, たたき切る, 叩き切る, ...
0.0013052   20 fish           : 剥身, 剝き身, 剝身, 剥き身, 太刀魚, 刺, 刺し, 刺し身, 刺身, 骨切り, ...
0.0012940    1 staff          : 剰員
0.0012811    2 useless        : 剰員, 錆刀
0.0012755    2 realm          : 刹, 分野
0.0012750   26 person         : 刑徒, 強剛, 剛の者, 刷り師, 剛腕, 副葬, 両刀, 顔利き, 左利き, 別人, ...
0.0012701   11 stone          : 削器, 剝片, 刻銘, 剥片, 石刻, 割栗, 石切り, 切り石, 切石, 水切り, ...
0.0012554    1 salve          : 糊剤
0.0012491   16 seal           : 加判, 刻印, 割り判, 割判, 判取り, 書き判, 書判, 印判, 連判, 判子, ...
0.0012465    5 flake          : 剝片, 剥片, 剝げる, 剥がれ落ちる, 剥げる
0.0012440   19 sharp          : 劃然, 利刃, 劇臭, 利剣, 劇痛, 急劇, 刺々しい, 刺刺しい, 利し, 刺, ...
0.0012372   10 second         : 十刹, 刹那, 別火, 宮刑, 副将, 初午, 反切, 切腹, 切り捨て, 切捨て
0.0012292   11 penalty        : 刑戮, 刑名, 主刑, 罰則, 極刑, 死刑, 減刑, 刑罰, 刑, 処分, ...
0.0012223   10 issue          : 発刊, 日刊, 増刊, 月刊, 刊行, 前号, 別巻, 別冊, 初号, 切る
0.0012173    1 condemned      : 刑徒
0.0012148    7 additional     : 付則, 附則, 増し刷り, 副, 増刷, 別冊, 別枠
0.0012137    5 brush          : 一劃, 刷毛塗り, 刷く, 刷子, 刷毛
0.0012120   11 size           : 中判, 判型, 判形, 菊判, 判, 小判, 大判, 間切, 切りそろえる, 切り揃える, ...
0.0012080   31 start          : 劈頭, 創める, 本初, 初発, 初手, 初学, 初め, 初まり, 馴れ初め, 当初, ...
0.0012074    7 stripping      : 剥取, 剝奪, 剝ぎ取り, 皮剥, 皮剥ぎ, 剥奪, 剥ぎ取り
0.0012069    5 spare          : 替え刃, 替刃, 剰す, 割く, 共切れ
0.0012060   57 separate       : 別便, 別口, 別義, 別巻, 別建て, 別立て, 別戸, 別納, 別送, 別間, ...
0.0012046    1 telescope      : 副鏡
0.0012022    3 arrival        : 到来, 到着, 到達
0.0012006    2 dosage         : 剤形, 剤型
0.0012004    1 central        : 刹
0.0011971    1 pillar         : 刹
0.0011968    1 bloodletting   : 刺胳
0.0011864    5 single         : 一刀, 刹那, 片刃, 盛り切り, 盛切り
0.0011818    1 reflecting     : 副鏡
0.0011813    4 outset         : 劈頭, 初め, 当初, 最初
0.0011643   10 severe         : 峻刻, 劇震, 劇暑, 酷刑, 厳刑, 宮刑, 劇務, 劇甚, 深刻, 切実
0.0011580   21 come           : 立ち到る, 到る, 剝がれる, 剝げる, 剝ける, 剥がれる, 剥げる, 剥ける, 剥れる, 割り切る, ...
0.0011579    2 filings        : 削りかす, 削り滓
0.0011536   24 new            : 新刊, 初刷り, 初刷, 創薬, 新券, 創案, 初月, お初, 初乗り, 着初め, ...
0.0011478    6 sale           : 売券, 估券, 沽券, 前売, 前売り, 見切り
0.0011428    1 liver          : レバ刺し
0.0011424   26 paper          : 夕刊, 判型, 判形, 菊判, 合い判, 相判, 間判, 合判, 判, 小判, ...
0.0011348    5 skinning       : 剥取, 剝ぎ取り, 皮剥, 皮剥ぎ, 剥ぎ取り
0.0011325    8 judge          : 判者, 判士, 判ずる, 判じる, 量刑, 判官, 判事, 審判
0.0011299   14 breaking       : 板割り, 反則, 犯則, 鏡割, 鏡割り, 音割れ, 雪割, 分解, 割り込み, 割込み, ...
0.0011276   10 pierce         : 劈く, 刺し貫く, 刺し通す, 刺通す, つき刺す, 突き刺す, 突刺す, 突き刺さる, 刺す, 刺さる
0.0011228    3 top            : 中剃り, 半切れ, 切れる
0.0011101    7 keen           : 刮目, 犀利, 利し, 鋭利, 痛切, 切実, 切れる
0.0011085   30 used           : 剝片, 判型, 判形, 剥片, 合い判, 相判, 間判, 合判, 判子, 刀子, ...
0.0011063    6 lot            : 一劃, 区劃, 分筆, 分, 多分, 大分
0.0011040    2 drilling       : 削井, 火切り
0.0010960   10 certificate    : 売券, 切り手, 本券, 地券, 株券, 証券, 證券, 券, 金券, 切手
0.0010886    4 excess         : 剰員, 過剰, 付利, 余分
0.0010868    3 addition       : 剰, 剰え, 足し前
0.0010852    5 general        : 総則, 概則, 原則, 通則, 大別
0.0010783    2 plot           : 一劃, 区劃
0.0010763   14 splitting      : 板割り, 叩き分け, 別け, スイカ割り, 西瓜割り, 割り勘, 割勘, 手分け, 背割り, 分け, ...
0.0010762    8 supplementary  : 補則, 付則, 附則, 副食, 副, 別冊, 別記, 別館
0.0010758    9 crop           : 刈りそろえる, 刈り揃える, 刈り上げる, 刈り込む, 刈込む, 丸刈, 丸刈り, お初, 前作
0.0010749    2 root           : 根刮ぎ, 株分け
0.0010728   29 share          : 分かち取る, 割り前, 割前, 取り分, 分け前, 別ける, 別つ, 持ち分, 持分, 分かち与える, ...
0.0010705    5 credit         : 貸し剝がし, 貸し剥がし, 貸し剥し, 估券, 沽券
0.0010658    4 excavate       : 刳る, 刳り抜く, 刳り貫く, 刳貫く
0.0010604    6 plant          : 根刮ぎ, 副え木, 初花, 根分け, 胴切り, 切り戻す
0.0010544    4 gouge          : 刳る, 刳り抜く, 刳り貫く, 刳貫く
0.0010535    3 japonica       : 髪剃菜, 刈萱, 刈草
0.0010505   44 front          : 前蹴り, 前壁, 前扉, 前列, 前室, 前玉, 前明き, 前, 前側, 前端, ...
0.0010410    2 balance        : 剰余, 余剰
0.0010375   17 stab           : 刺創, 刺し傷, 刺傷, 刺しちがえる, 刺し違える, 刺違える, 刺し通す, 刺通す, つき刺す, 突き刺す, ...
0.0010366   12 harvest        : 麦刈り, 刈り上げる, 刈り取る, 刈取る, 刈り込む, 刈込む, 刈り入れる, 刈入れる, 刈る, 刈り入れ, ...
0.0010330    9 reap           : 刈, 刈り上げる, 刈り取る, 刈取る, 刈り込む, 刈込む, 刈り入れる, 刈入れる, 刈る
0.0010309    3 country        : 刹, 別墅, 国別
0.0010222    1 hoof           : 削蹄
0.0010195    8 printed        : 初刷り, 刊本, 初刷, 刷数, 別刷り, 刷り物, 刷り本, 刷本
0.0010162    4 stubble        : 剃り跡, 刈り株, 切り株, 切株
0.0010106   14 carve          : 彫り刻む, 刳り抜く, 刳り貫く, 刳貫く, 刻する, 刻む, 刻みつける, 刻み付ける, 刻みこむ, 刻み込む, ...
0.0010022   17 strip          : 剝ぐ, 劇画, ひん剝く, 剝く, 剝ぎ取る, 剝がす, 剥ぐ, ひん剥く, 引ん剥く, 桂剥き, ...
0.0009985    1 paradigm       : 範列
0.0009955    4 bore           : 刳る, 刳り抜く, 刳り貫く, 刳貫く
0.0009935    5 tearing        : 剥取, 剝ぎ取り, 剥ぎ取り, 切り取り, 切取り
0.0009846   15 prune          : 刈り込む, 刈込む, 削ぎ落とす, 刈, 剪る, 刈る, 切り戻す, 切り払う, 切払う, 切りさげる, ...
0.0009802    9 paste          : 糊剤, 西伯利, 西伯利亜, 西比利亜, 切り張り, 切張り, 切貼, 切貼り, 切り貼り
0.0009791    1 watching       : 刮目
0.0009762   38 end            : 石剣, 到頭, 新劇, 書き判, 書判, 前端, 幕切れ, 切り, 切, 打ち切り, ...
0.0009719    1 mirror         : 副鏡
0.0009677    6 newspaper      : 創刊, 初刷り, 朝刊, 初刷, 切り抜き, 切抜き
0.0009533   25 special        : 増刊, 刊, 別義, 別儀, 別科, 別物, 別命, 別間, 別嬪, 別品, ...
0.0009528    4 briefly        : 剥身, 剝き身, 剝身, 剥き身
0.0009459   13 book           : 刊本, 新刊, 刻本, 菊判, 前扉, 翻刻, 大判, 刷り本, 刷本, 貸し切る, ...
0.0009354    8 execution      : 刑戮, 刑死, 磔刑, 行刑, 火刑, 実刑, 処刑, 刑場
0.0009315    9 margin         : 余剰, 削り代, 粗利, 荒利, 利幅, 利ざや, 利ザヤ, 利鞘, ぶっち切り
0.0009305    3 dugout         : 刳り舟, 刳舟, 刳船
0.0009246    5 machine        : 削り出す, 刷版, 制御, 制禦, 制馭
0.0009182    1 significance   : 十刹
0.0009161   12 clip           : 剪み切る, 剪む, 刈, 刈り込む, 刈込む, 刈る, 割れる, はさみ切る, 挟み切る, 切りぬく, ...
0.0009159    6 traditional    : 刺胳, 歳刑, 刺青, 節分, 初午, 反切
0.0009051    4 demon          : 羅刹, 生剝げ, 生剥, 妖刀
0.0008972   10 thin           : 薄刃, 剥身, 剝き身, 剝身, 削ぎ切り, 剥き身, 切り金, 切金, 薄切り, そぎ切り
0.0008971    4 removing       : 剥取, 剝ぎ取り, 剥ぎ取り, 雪割
0.0008966    4 penal          : 罰則, 徒刑, 体刑, 刑法
0.0008950   15 death          : 絞刑, 銃刑, 刑する, 死刑, 刑死, 極刑, 刺殺, 刺し殺す, 初盆, 死に別れる, ...
0.0008922    3 canoe          : 刳り舟, 刳舟, 刳船
0.0008881    9 magazine       : 創刊, 増刊, 再刊, 分載, 前号, 初号, 読み切り, 読切, 読切り
0.0008831    2 concealed      : 暗刻, 門前
0.0008722    8 replacement    : 替え刃, 替刃, 切換え, 切り換え, 切り替え, 切換, 切替, 切替え
0.0008707   36 break          : 劈く, 踏み割る, かち割る, カチ割る, 搗ち割る, 別ける, 別れる, 割れ返る, 分ける, 分裂, ...
0.0008628   10 close          : 刮目, 立て切る, 締め切る, 締切る, 閉め切る, 切りあげる, 切り上げる, 切上げる, 打ち切る, 打切る
0.0008610    1 stoneware      : 石剣
0.0008598    6 exclusive      : 借り切る, 買い切る, 借り切り, 貸し切る, 貸し切り, 貸切
0.0008550    4 swordsman      : 剣聖, 剣士, 剣客, 剣豪
0.0008477    1 supernumerary  : 剰員
0.0008472    3 shape          : 別体, 剣形, 切る
0.0008462    1 attention      : 刮目
0.0008442    1 cordiality     : 懇到
0.0008412    1 prisoner       : 刑徒
0.0008359    3 tip            : 倶利迦羅, 刀尖, 剣尖
0.0008331   21 use            : 借り切る, 買い切る, 飾太刀, 利かす, 借り切り, 利雪, 利活用, 貸し切る, 貸し切り, 貸切, ...
0.0008277    5 found          : 石剣, 判る, 創る, 分かる, 分る
0.0008233    6 prison         : 刑獄, 体刑, 刑期, 実刑, 刑余, 別荘
0.0008193   38 division       : 区劃, 分周, 創部, 分点, 組み分け, 組分け, 外分, 手分け, 別け, 分業, ...
0.0008193    4 puncture       : 刺創, 刺し傷, 刺傷, 穿刺
0.0008183   16 distinction    : 劃然, 判別, 別け隔て, 利達, 別ち, 弁別, 別, 性別, 峻別, 差別, ...
0.0008174    5 reissue        : 復刊, 再刊, 復刻, 複刻, 覆刻
0.0008148    1 rakshasa       : 羅刹
0.0008025    5 burst          : 劈く, 割ける, 吹っ切れる, はち切れる, 切れる
0.0007997    1 verbiage       : 剰語
0.0007997    1 wordiness      : 剰語
0.0007997    1 blabber        : 剰語
0.0007983    1 ointment       : 基剤
0.0007969    3 charter        : 借り切る, 買い切る, 貸し切る
0.0007959   19 sentence       : 重刑, 体刑, 行刑, 量刑, 実刑, 判決, 減刑, 刑罰, 刑, 求刑, ...
0.0007958    3 reach          : 立ち到る, 到る, 物別れ
0.0007924    1 plural         : 御前方
0.0007920    1 attentiveness  : 懇到
0.0007907    8 serious        : 立ち到る, 劇症, 真剣, 深刻, 別条, 別状, 大切, 切実
0.0007901    7 length         : 刈りそろえる, 刈り揃える, 刃渡, 刃渡り, 切立, 切り立て, 切立て
0.0007877    5 deed           : 売券, 券文, 地券, 估券, 沽券
0.0007858    6 area           : 一劃, 顔利き, 反別, 段別, 前線, 板前
0.0007811   11 play           : 劇中, 剣劇, 旧劇, 寸劇, 悲劇, 劇, 楽劇, 演劇, 見切れる, 打ち切り, ...
0.0007772    3 substance      : 劇物, 金剛, 剤
0.0007764    1 cessation      : 終刊
0.0007745   19 meat           : 剥身, 剝き身, 剝身, 剥き身, 鳥刺, 鳥刺し, たたき切る, 叩き切る, 切り落し, 切り落とし, ...
0.0007741    9 dagger         : 毒刃, 兇刃, 凶刃, 懐剣, 刀剣, 短剣, 懐刀, 短刀, 切り殺す
0.0007718    1 unshaven       : 剃り残し
0.0007688    1 tautology      : 剰語
0.0007676    1 dating         : 石剣
0.0007663    9 talk           : 剰語, 劇談, 持ち切る, 別れ話, 評判, 持ち切り, 切りだす, 切り出す, 切出す
0.0007634   15 make           : 刈りそろえる, 刈り揃える, 創る, 判ずる, 判じる, 創りあげる, 創り上げる, 別製, 初めまして, 利する, ...
