Summary: {Weight} {token}: {words[0:10]}
0.0010601   10 mind           : 宸襟, 器宇, 気宇, 牢記, 沈着, 容気, 思い定める, 安らぎ, 安心, 安神
0.0010592   17 Japan          : 八宗, 山窩, 大學, 元寇, 帰米, 帰日, 衆院, 参院, 旧字, 作字, ...
0.0010573    2 reprimand      : 叱咤, 搾る
0.0010562    4 view           : 豁然, 管窺, 実景, 管見
0.0010491    4 scolding       : 叱咤, 搾る, 剣突, 剣突く
0.0010448   19 system         : 大炊寮, 大學, 大宰府, 寮, 運脚, 冠位, 国守, 内官, 被管, 軍制, ...
0.0010406    7 leaves         : 粽, 茶殻, 宿す, 葉擦れ, 縮れ, 宝さがし, 宝探し
0.0010393    1 babbling       : 淙淙
0.0010393    1 brook          : 淙淙
0.0010387    9 tranquility    : 寧静, 静寧, 寂静, 沈静, 安らぎ, 平安, 安穏, 安泰, 定まり
0.0010360    6 narrow         : 管窺, 宇, 窮屈, 搾る, 管見, 縮まる
0.0010346   11 child          : 螟蛉, 寵児, 若宮, 宮参り, 実子, 大宮, 子宝, 写し絵, 寄坐, 寝かしつける, ...
0.0010284    1 mutton         : 鞍下
0.0010260   62 person         : 喧し屋, 確り者, 恋塚, 審神者, 木守, 壺湯, 鶴首, 牢人, 田守, 富者, ...
0.0010250    5 storage        : 貯湯, 貯留, 貯蔵, 貯水, 保管
0.0010212    4 conscientious  : 叮嚀, 丁寧, 忠実忠実しい, 忠実
0.0010200    5 absorbed       : 窶す, 読み耽ける, 読み耽る, 耽ける, 耽る
0.0010123   22 hunting        : 鉈, 大鉈, 兎狩り, キツネ狩り, 狐狩り, 鹿狩, 鹿狩り, 熊狩り, 猪狩, 狩り場, ...
0.0010103    5 casket         : 寝棺, 棺おけ, 棺桶, 棺, 容れ物
0.0010098    7 village        : 村掟, 帰村, 寒村, 寄り合い, 寄合, 寄合い, 荘官
0.0010074   36 form           : 佇い, 佇まい, 完調, 宇賀神, 冥加, 訛字, 譌字, 宿曜, 按摩, 麗容, ...
0.0010023    1 liver          : 鮟肝
0.0009904   14 established    : 確説, 大學, 定論, 定則, 欽定, 既定, 定例, 定評, 定着, 定説, ...
0.0009888    3 breadwinner    : 稼ぎ人, 稼ぎ頭, 稼ぎ手
0.0009831    1 prospect       : 宏図
0.0009772    2 unlocking      : 開錠, 解錠
0.0009768   14 temporary      : 瞑眩, 寓居, 仮寓, 仮宅, 寄寓, 枕飾り, 苟安, 殯宮, 仮宮, 行宮, ...
0.0009696    2 courteous      : 叮嚀, 丁寧
0.0009634   21 water          : 貯湯, 瀉下, 牽く, 沈溺, 貯水, 溶く, 水管, 軍持, 舟運, 管渠, ...
0.0009584    6 kiln           : 瓦窯, 登り窯, 土窯, 炭窯, 窯, 窯出し
0.0009579    1 lamb           : 鞍下
