Summary: {Weight} {token}: {words[0:10]}
0.0017914    2 veil           : 薄絹, 薄衣
0.0017850    1 rote           : 記誦
0.0017754    1 talent         : 博才
0.0017672    8 tie            : 縛る, ふん縛る, 縛りつける, 縛り付ける, 縛りあげる, 縛り上げる, からめ捕る, 搦め捕る
0.0017026    2 sheer          : 薄絹, 薄衣
0.0017025    1 cylinder       : 蝋管
0.0016697   22 capture        : 捕縛, 捕える, 捕らえる, 分捕る, ひっ捕える, ひっ捕らえる, 引っ捕える, 引っ捕らえる, 生け捕る, からめ捕る, ...
0.0016456    5 counter        : 舗, 鋪, 通り, 通話, 通
0.0016397    1 top            : 太傅
0.0016248    2 second         : 太傅, 兼補
0.0016169    1 three          : 太傅
0.0016161    1 Malabar        : 蒲桃
0.0016143   11 road           : 鋪道, 鋪装, 舗道, 舗装, 切り通す, 開通, 切り通し, 切通, 切通し, 通る, ...
0.0016106    2 poem           : 記誦, 愛誦
0.0016046    1 unaccounted    : 簿外
0.0015687    2 record         : 公簿, 原簿
0.0015377    2 southern       : 地縛, 地縛り
0.0015278    2 mystery        : 薄絹, 薄衣
0.0015262    1 coast          : 曲浦
0.0015256    7 binding        : 縛り, 緊縛, 束縛, 呪縛, 繋縛, 金縛り, 縛め
0.0015073    1 roster         : 名簿
0.0014973    2 language       : 葡, 通用
0.0014913    1 winding        : 曲浦
0.0014778    8 assistance     : 輔翼, 輔弼, 輔助, 輔佐, 補翼, 補弼, 補助, 補佐
0.0014718    3 well           : 涌き起こる, 涌き起る, 涌く
0.0014682   57 use            : 併せ用いる, 頓用, 専用, 占用, 正用, 自用, 通用, 客用, 医用, 農用, ...
0.0014517    1 notebook       : 簿冊
0.0014505    1 nobleman       : 師傅
0.0014486    1 beak           : 嘴
0.0014404    2 pulsation      : 脈搏, 搏動
0.0014372    7 aid            : 輔翼, 輔助, 輔佐, 輔ける, 補翼, 補助, 補佐
0.0014335    5 reading        : 読誦, 誦経, 博覧, 渉猟, 通読
0.0014193    8 understanding  : 記誦, 捕そく, 捕捉, 通り, 通じ, 通, 疎通, 疏通
0.0013827    1 guardian       : 師傅
0.0013758    6 catching       : 鳥捕り, 採捕, 捕殺, 魚捕り, 捕り方, 捕方
0.0013710    2 recite         : 誦する, 愛誦
0.0013314    2 drugstore      : 薬鋪, 薬舗
0.0013177    1 oft            : 鳥捕り
0.0013174    2 chemist        : 薬鋪, 薬舗
0.0013026    1 bubbling       : 涌泉
0.0012969    1 bound          : 簿冊
0.0012958    5 become         : 薄れゆく, 薄れ行く, 薄れる, 薄らぐ, 薄まる
0.0012956    2 ledger         : 原簿, 帳簿
0.0012815    2 iris           : 菖蒲, 花菖蒲
0.0012551    2 pharmacy       : 薬鋪, 薬舗
0.0012370    7 wooden         : 木樋, 風呂桶, 湯桶, 火桶, 折敷, 板敷, 板敷き
0.0012205    1 cortege        : 鹵簿
0.0012175    1 sort           : 何用
0.0012096    1 tuition        : 傅育
0.0012071    2 breed          : 涌かす, 涌く
0.0011974    2 kind           : 何用, 床敷
0.0011769    6 deposit        : 搏つ, 敷引, 敷引き, 敷, 敷き, 敷金
0.0011745    3 beat           : 搏つ, 痛めつける, 痛め付ける
0.0011701    4 doctor         : 医博, 文博, 博, 博士
0.0011663    1 village        : 浦里
0.0011622    3 empty          : 空桶, 空き屋敷, 空屋敷
0.0011569    1 calamus        : 菖蒲
0.0011472    1 rose           : 蒲桃
0.0011376    5 consecutive    : 一通, ぶっ通し, 打っ通し, 通し, 通巻
0.0011235    3 game           : 博戯, 猟鳥, 猟
0.0011225    1 apple          : 蒲桃
0.0011205    1 plum           : 蒲桃
0.0011152   12 street         : 鋪道, 舗道, 捕まえる, 表通, 表通り, 裏通, 本通り, 裏通り, 通り, 通り名, ...
0.0011020    1 seacoast       : 浦辺
0.0011007    6 extensive      : 博識, 博学, 博引, 該博, 博雅, 博覧
0.0010928   13 catch          : とっ捕まえる, 取っ捕まえる, 捕球, 好捕, 捕える, 捕らえる, 捕まえる, 生け捕る, からめ捕る, 搦め捕る, ...
0.0010809    5 wide           : 博捜, 博大, 博覧, 博物, 渉猟
0.0010779    1 chicken        : 鳥捕り
0.0010676    2 flume          : 樋, 木樋
0.0010620    4 Japan          : 生蝋, 日葡, 木蝋, 敷島
0.0010374    2 burst          : 涌き起こる, 涌き起る
0.0010373    1 fountain       : 涌泉
0.0010328    2 rain           : 雨樋, 通り雨
0.0010239    1 roll           : 名簿
0.0010236    4 assistant      : 少輔, 輔佐, 補佐, 補
0.0010185    1 child          : 師傅
0.0010141    7 residence      : 中屋敷, 屋敷林, 空き屋敷, 空屋敷, 下屋敷, 組屋敷, 屋敷
0.0010126    3 bill           : 嘴, 通る, 通過
0.0010060   10 seize          : ひっ捕まえる, 引っ捕まえる, 捕まえる, 分捕る, ひっ捕える, ひっ捕らえる, 引っ捕える, 引っ捕らえる, 捕える, 捕らえる
0.0010055    2 list           : 名簿, 候補
0.0009943    4 restrain       : 縛する, 縛りつける, 縛り付ける, 捕まえる
0.0009800   10 period         : 少輔, 縛り, 博士, 踊り場, 踊場, 組屋敷, 用人, 通事, 通詞, 通辞
0.0009654    2 springing      : 涌き, 涌出
0.0009566    2 matter         : 何用, 小用
0.0009461    2 welling        : 涌き, 涌出
0.0009437   15 used           : 風呂桶, 蒲団, 湯桶, 留桶, 博多, 痛棒, 捕り縄, 捕縄, 踊り字, 現用, ...
0.0009331    2 surfacing      : 鋪装, 舗装
0.0009331    2 asphalt        : 鋪装, 舗装
0.0009260    1 nine           : 一通
0.0009213   21 common         : 蒲, 通性, 通弊, 通則, 通り言葉, 通用, 通分, 通念, 共通, 共用, ...
0.0009147    1 gable          : 搏風
0.0009080    2 straight       : 一通, 通る
0.0009062    8 traffic        : 一通, 人通り, 通り, 通ずる, 通じる, 通行, 交通, 開通
0.0008954   14 Japanese       : 花菖蒲, 蝋梅, 水蝋, 蒲団, 湯桶, 敷島, 薄様, 薄葉, 花薄, 敷, ...
0.0008924    2 catcher        : 鳥捕り, 捕逸
0.0008920    2 withheld       : 敷引, 敷引き
0.0008915    2 gush           : 涌く, 涌き出る
0.0008814    3 moving         : 敷引, 敷引き, 踊り食い
0.0008797    3 early          : 少輔, 歌舞伎踊り, 薄明かり
0.0008786    6 standing       : 老鋪, 老舗, 通せんぼ, 通せんぼう, 通せん坊, 目通り
0.0008705    1 copy           : 一通
0.0008626    4 medicine       : 医博, 補薬, 補法, 服用
0.0008567    1 pure           : 一通
0.0008564    2 batik          : 蝋染, 蝋染め
0.0008545    6 bedding        : 蒲団, 床敷, 敷きわら, 敷き藁, 敷わら, 敷藁
0.0008366    1 procession     : 鹵簿
0.0008317    1 suit           : 一通
0.0008258    2 system         : 少輔, 大輔
0.0008202    1 journalization : 簿記
0.0008190    1 document       : 一通
0.0008129    1 bookshop       : 書舗
0.0008015    1 winning        : 一通
