Summary: {Weight} {token}: {words[0:10]}
0.0008017    1 strap          : 遊環
0.0007938    2 hire           : 買い切る, 置く
0.0007864    5 consonant      : 濁点, 連濁, 濁る, 濁り, 濁音
0.0007861    1 lined          : 罫紙
0.0007834    2 accursed       : 罰当たり, 罰当り
0.0007786    1 peaceful       : 寧日
0.0007593    5 reserve        : 買い切る, 取り置く, 買い置き, 買置き, 取って置き
0.0007520    1 dismissal      : 罷免
0.0007519    1 eaves          : 風鐸
0.0007452    1 exclusive      : 買い切る
0.0007389    5 cloudy         : 濁り酒, 濁る, 濁す, 混濁, 溷濁
0.0007376    1 brocade        : 蜀錦
0.0007371    1 stability      : 安寧
0.0007343    1 elbow          : 環
0.0007336    1 tranquillity   : 安寧
0.0007258    1 wooden         : 木鐸
0.0007248    2 cursed         : 罰当たり, 罰当り
0.0007217    3 dot            : 網点, 網かけ, 網掛け
0.0007174    1 crease         : 罫線
0.0007137    1 available      : 買い切る
0.0007104    2 damned         : 罰当たり, 罰当り
0.0007028    1 Hibiscus       : 黄蜀葵
0.0006937    1 Indian         : 蜀黍
0.0006936    3 unrefined      : 濁り酒, 濁酒, 濁り
0.0006852    1 discharge      : 罷免
0.0006829    3 restoration    : 返還, 還付, 還元
0.0006806    1 watch          : 遊環
0.0006685    1 sweet          : 甘薯
0.0006667    1 dud            : 薯
0.0006562    3 emperor        : 親署, 奉還, 還御
0.0006561    1 border         : 罫線
0.0006532    1 sunset         : 黄蜀葵
0.0006524    1 Zea            : 玉蜀黍
0.0006484    2 discipline     : 科罰, 懲罰
0.0006469    1 job            : 罷める
0.0006449    1 shogi          : 罫
0.0006447    1 duo            : 鐸
0.0006418    1 tuber          : 薯
0.0006411    1 headquarters   : 本署
0.0006326    1 Solanum        : 馬鈴薯
0.0006311    1 chart          : 罫線
0.0006304    1 outer          : 外環
0.0006290    4 turbid         : 濁る, 濁す, 混濁, 溷濁
0.0006279    1 score          : 罫線
0.0006276    1 everything     : 買い切る
0.0006210    7 position       : 罷免, 置く, 位置, 買い越し, 置きかえる, 置き換える, 置き替える
0.0006169    3 made           : 鉄網, 環, 網地
0.0006105    1 yokel          : 薯
0.0005945    1 four           : 風鐸
0.0005928    1 conscientious  : 丁寧
0.0005903    1 maize          : 玉蜀黍
0.0005710    1 courteous      : 丁寧
0.0005615    3 unvoiced       : 清濁, 連濁, 濁点
0.0005570    1 thorough       : 丁寧
0.0005524    1 beginning      : 曙
0.0005518    1 bumpkin        : 薯
0.0005510    1 temple         : 風鐸
0.0005436    2 use            : 買い切る, 残置
0.0005357    1 emulsion       : 乳濁
0.0005318    1 taro           : 薯
0.0005315    1 vessel         : 銅鐸
0.0005301    1 polite         : 丁寧
0.0005131    2 repatriation   : 送還, 帰還
0.0005124    2 finger         : 環指, 指環
0.0005003    3 bag            : 網袋, 置き引き, 置引き
0.0004981    1 gymnastic      : 吊環
0.0004860    1 corn           : 玉蜀黍
0.0004856    5 criminal       : 刑罰, 罪人, 罪状, 仕置, 仕置き
0.0004845    2 said           : 羅睺, 同署
0.0004843    1 worthless      : 薯
0.0004826    4 game           : 罠, 罰杯, 置き碁, 置碁
0.0004815    1 type           : 蜀錦
0.0004810    1 handle         : 鐸
0.0004799    1 civil          : 丁寧
0.0004768    2 world          : 濁世, 濁り
0.0004750    4 offense        : 微罪, 罪過, 罪科, 犯罪
0.0004745    1 careful        : 丁寧
0.0004744    3 insect         : すくい網, 掬い網, 網戸
0.0004722    3 life           : 浮環, 還俗, 濁世
0.0004720    1 Ursus          : 羆
0.0004667    1 main           : 本署
0.0004628    2 sign           : 署する, 代署
0.0004528    2 denunciation   : 罵倒, 痛罵
0.0004469    4 water          : 濁り水, 濁水, 汲み置き, 汲置き
0.0004467    2 vilification   : 罵倒, 悪罵
0.0004392    1 ruse           : 罠
0.0004383    2 gridiron       : 焼き網, 焼網
0.0004352    2 celestial      : 羅睺, 緊那羅
0.0004324    2 evil           : 羅睺, 清濁
0.0004304    2 empress        : 還啓, 還御
0.0004285    3 grill          : 焼き網, 焼網, 餅網
0.0004285    1 subterfuge     : 罠
0.0004171    1 bracelet       : 環
0.0004143    2 convection     : 還流, 環流
0.0004136    3 expiation      : 滅罪, 罪ほろぼし, 罪滅ぼし
0.0004133   11 leaving        : 置き勉, 放置, 据え置き, 据置き, さて置き, 扠置き, 置きざり, 置き去り, 置去り, 置いてきぼり, ...
0.0004132    4 thing          : 薯, 対置, 据え置き, 据置き
0.0004123    1 bracer         : 環
0.0004118    2 heaven         : 天罰, 天網
0.0004085    4 dragnet        : 引き網, 引網, 曳き網, 曳網
0.0004072    2 long           : 鐸, 買い越し
0.0004067    1 snare          : 罠
0.0004047    3 sound          : 濁る, 連濁, 濁音
0.0004041    1 ambassador     : 召還
0.0003956    4 fishing        : 網漁, 網打ち, 漁網, 魚網
0.0003939    1 mythological   : 羅睺
0.0003925    4 haul           : まき網, 巻き網, 巻網, 旋網
0.0003921    2 shout          : 罵声, 罵る
0.0003913    1 archer         : 環
0.0003900    4 purse          : まき網, 巻き網, 巻網, 旋網
0.0003879    1 summons        : 召還
0.0003873    2 reflux         : 還流, 環流
0.0003873    1 countersignature: 副署
